Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,-0.1,9.66,-1.55,0.02,-0.02,-0.04,-0.38
20,-0.15,9.62,-1.46,0.02,-0.03,-0.03,-0.23
40,-0.12,9.57,-1.43,0.02,-0.04,-0.04,-0.23
60,-0.19,9.57,-1.43,0.02,-0.03,-0.04,-0.46
80,-0.17,9.58,-1.5,0.02,-0.03,-0.04,-0.46
100,-0.16,9.61,-1.56,0.02,-0.03,-0.03,-0.46
120,-0.12,9.61,-1.45,0.02,-0.04,-0.03,-0.17
140,-0.04,9.63,-1.58,0.02,-0.03,-0.04,-0.17
160,-0.13,9.62,-1.48,0.01,-0.01,-0.04,-0.17
180,-0.14,9.59,-1.52,0.01,-0.01,-0.04,-0.17
200,-0.12,9.56,-1.49,0.02,-0.01,-0.05,-0.17
220,-0.09,9.62,-1.53,0.02,-0.0,-0.05,-0.36
240,-0.23,9.57,-1.5,0.01,-0.02,-0.05,-0.36
260,-0.23,9.63,-1.49,0.01,-0.03,-0.05,-0.31
280,-0.16,9.64,-1.49,0.01,-0.04,-0.05,-0.31
300,-0.21,9.58,-1.34,0.01,-0.03,-0.06,-0.31
320,-0.12,9.64,-1.62,0.01,-0.03,-0.05,-0.53
340,-0.16,9.59,-1.6,0.01,-0.02,-0.06,-0.53
360,-0.22,9.63,-1.53,0.01,-0.0,-0.06,-0.53
380,-0.2,9.58,-1.53,0.01,-0.0,-0.05,-0.53
400,-0.23,9.61,-1.58,0.01,-0.02,-0.05,-0.53
420,-0.2,9.59,-1.49,0.0,-0.02,-0.04,-0.24
440,-0.18,9.65,-1.62,0.01,-0.02,-0.05,-0.24
460,-0.19,9.57,-1.51,0.0,-0.02,-0.04,-0.54
480,-0.24,9.65,-1.49,0.0,-0.02,-0.05,-0.54
500,-0.26,9.61,-1.52,0.0,-0.02,-0.05,-0.54
520,-0.24,9.61,-1.49,0.0,-0.01,-0.04,-0.49
540,-0.22,9.6,-1.47,0.0,-0.02,-0.04,-0.49
560,-0.14,9.57,-1.57,0.01,-0.02,-0.04,-0.49
580,-0.13,9.57,-1.52,0.0,-0.02,-0.04,-0.49
600,-0.23,9.65,-1.41,0.01,-0.03,-0.04,-0.49
620,-0.16,9.61,-1.6,0.0,-0.02,-0.04,-0.42
640,-0.18,9.64,-1.57,0.01,-0.02,-0.04,-0.42
660,-0.21,9.59,-1.51,0.01,-0.02,-0.04,-0.17
680,-0.17,9.65,-1.51,0.01,-0.03,-0.04,-0.17
700,-0.15,9.63,-1.53,0.01,-0.02,-0.04,-0.17
720,-0.21,9.6,-1.52,0.01,-0.02,-0.05,-0.32
740,-0.17,9.57,-1.54,0.01,-0.02,-0.05,-0.32
760,-0.26,9.64,-1.48,0.01,-0.03,-0.06,-0.32
780,-0.35,9.61,-1.47,0.02,-0.03,-0.05,-0.32
800,-0.19,9.63,-1.41,0.02,-0.02,-0.04,-0.32
820,-0.32,9.67,-1.52,0.01,-0.01,-0.05,-0.38
840,-0.21,9.59,-1.43,0.01,-0.03,-0.04,-0.38
860,-0.2,9.64,-1.49,0.01,-0.03,-0.04,-0.36
880,-0.27,9.65,-1.46,0.01,-0.03,-0.04,-0.36
900,-0.28,9.62,-1.45,0.02,-0.02,-0.03,-0.36
920,-0.34,9.61,-1.58,0.02,-0.02,-0.03,-0.37
940,-0.3,9.64,-1.46,0.01,-0.03,-0.03,-0.37
960,-0.32,9.64,-1.5,0.01,-0.02,-0.03,-0.37
980,-0.23,9.56,-1.56,0.02,-0.03,-0.03,-0.37
1000,-0.27,9.6,-1.46,0.02,-0.03,-0.02,-0.37
1020,-0.14,9.63,-1.53,0.02,-0.01,-0.03,-0.02
1040,-0.2,9.58,-1.47,0.02,-0.0,-0.03,-0.02
1060,-0.25,9.66,-1.46,0.02,-0.0,-0.03,-0.13
1080,-0.28,9.65,-1.53,0.02,-0.01,-0.03,-0.13
