Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,0.27,9.46,-2.21,-0.19,0.04,-0.08,-0.56
20,-0.01,9.73,-2.1,-0.21,-0.07,-0.09,-0.56
40,0.21,9.62,-1.87,-0.23,-0.19,-0.08,-0.36
60,0.84,9.3,-1.76,-0.21,-0.22,-0.12,-0.36
80,1.33,9.26,-2.09,-0.19,-0.02,-0.23,-0.39
100,1.25,9.45,-2.16,-0.19,0.17,-0.32,-0.39
120,0.86,9.39,-2.02,-0.21,0.32,-0.41,-0.39
140,1.09,9.19,-1.64,-0.22,0.28,-0.55,-0.5
160,1.57,9.7,-1.88,-0.24,0.21,-0.79,-0.5
180,2.2,9.98,-1.87,-0.25,-0.0,-1.07,-0.5
200,2.16,10.01,-1.26,-0.28,-0.09,-1.36,-0.5
220,2.21,10.47,-1.3,-0.29,-0.38,-1.68,-0.5
240,0.98,10.84,-1.34,-0.31,-0.48,-2.04,-0.5
260,-0.23,11.49,-2.06,-0.23,-0.47,-2.18,-0.5
280,-1.13,12.96,-2.98,-0.15,-0.48,-2.18,-0.42
300,-1.04,13.84,-3.22,-0.2,-0.69,-2.01,-0.42
320,-1.53,12.58,-4.39,-0.27,-0.91,-2.0,-0.42
340,-1.08,10.74,-3.12,-0.1,-0.98,-1.74,-0.72
360,-0.98,8.52,-3.4,0.24,-1.02,-1.09,-0.72
380,-0.52,7.67,-2.82,0.52,-1.15,-0.29,-0.72
400,0.97,8.0,-1.66,0.71,-1.1,0.36,-0.72
420,2.52,6.81,-1.82,0.9,-0.62,0.84,-0.72
440,3.22,6.44,-0.04,1.05,-0.05,1.35,-0.59
460,2.7,6.83,-0.46,1.17,0.63,1.75,-0.59
480,1.9,8.72,-0.62,1.1,1.19,2.2,-0.56
500,0.85,9.51,-0.89,0.98,1.43,2.6,-0.56
520,-0.15,10.57,-1.35,0.82,1.46,2.93,-0.56
540,-0.68,11.26,-1.15,0.6,1.34,3.13,-0.66
560,-0.52,11.15,-1.15,0.38,1.06,3.23,-0.66
580,0.19,11.08,-1.1,0.27,0.82,3.26,-0.66
600,0.48,11.05,-1.29,0.19,0.77,3.26,-0.66
620,0.04,10.94,-1.73,0.16,0.88,3.15,-0.66
640,-0.86,12.89,-2.53,0.03,0.97,2.94,-0.61
660,-0.41,10.78,-2.2,-0.4,1.21,2.68,-0.61
680,1.43,7.44,-0.58,-0.52,1.78,2.15,-0.41
700,0.64,8.36,-1.14,-0.04,2.44,1.06,-0.41
720,-2.62,8.69,-3.52,0.28,3.01,-0.05,-0.41
740,-5.14,7.49,-4.43,0.45,2.99,-0.95,0.12
760,-6.15,8.47,-4.74,0.64,2.49,-1.98,0.12
780,-5.59,9.68,-5.78,0.65,0.97,-2.56,0.12
800,1.91,19.61,1.23,-0.6,-1.68,-0.51,0.12
820,9.07,11.96,4.7,-0.03,-4.37,0.63,0.12
840,3.22,9.84,-5.1,0.35,-2.84,-2.52,0.05
860,1.59,12.11,-0.92,0.63,-0.43,-2.87,0.05
880,3.1,4.07,-1.78,0.81,2.04,-1.77,-0.23
900,0.45,6.98,-3.57,1.24,3.26,-2.2,-0.23
920,-3.17,11.63,-4.68,0.98,2.81,-2.0,-0.23
940,-8.07,11.42,-5.76,0.62,0.48,-1.58,-0.23
960,-5.99,8.63,-4.12,0.19,-1.74,-0.49,-0.23
