Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,0.25,9.47,-1.16,-0.0,-0.08,-0.21,-0.72
20,0.1,9.56,-1.28,0.03,-0.02,-0.25,-0.73
40,-0.02,9.63,-1.2,0.05,0.0,-0.3,-0.73
60,-0.16,9.59,-1.51,0.06,0.06,-0.31,-0.73
80,-0.45,9.62,-1.5,0.07,0.08,-0.33,-0.73
100,-0.52,9.73,-1.09,0.08,0.05,-0.35,-0.73
120,-0.55,9.58,-1.24,0.11,0.01,-0.34,-0.65
140,-0.87,9.56,-1.34,0.12,-0.05,-0.37,-0.65
160,-0.59,9.62,-0.88,0.14,-0.14,-0.4,-0.65
180,-0.3,9.42,-0.95,0.21,-0.12,-0.42,-0.77
200,-0.27,9.86,-0.79,0.28,-0.14,-0.47,-0.77
220,-0.61,10.69,-0.93,0.41,-0.07,-0.51,-0.8
240,0.06,10.58,-0.83,0.47,0.02,-0.53,-0.8
260,0.43,9.15,-1.19,0.53,0.15,-0.64,-0.8
280,-0.49,9.6,-1.96,0.58,0.38,-0.68,-0.8
300,-1.02,10.22,-2.6,0.55,0.44,-0.62,-0.8
320,-1.56,10.43,-2.57,0.48,0.23,-0.6,-0.63
340,-1.76,10.28,-2.17,0.41,-0.09,-0.58,-0.63
360,-1.24,10.02,-1.78,0.25,-0.4,-0.46,-0.63
380,-0.49,9.48,-1.81,0.15,-0.38,-0.33,-0.75
400,-0.15,9.73,-1.77,-0.0,-0.22,-0.18,-0.75
420,-0.12,9.55,-1.62,-0.13,-0.01,-0.01,-0.83
440,-0.63,9.21,-1.55,-0.23,0.1,0.14,-0.83
460,-1.06,9.43,-1.48,-0.37,0.07,0.29,-0.83
480,-1.38,9.87,-1.48,-0.49,-0.04,0.49,-0.83
500,-0.82,9.59,-1.41,-0.6,-0.11,0.64,-0.83
520,-0.33,9.42,-1.31,-0.69,0.05,0.73,-1.05
540,-0.33,9.35,-1.39,-0.73,0.31,0.77,-1.05
560,-0.83,10.09,-1.6,-0.76,0.56,0.88,-1.05
580,-1.07,10.33,-1.76,-0.82,0.63,1.04,-0.85
600,-0.87,9.64,-1.52,-0.88,0.6,1.05,-0.85
620,-0.82,9.61,-1.31,-0.93,0.57,1.0,-0.72
640,-0.67,9.7,-0.99,-0.94,0.49,0.93,-0.72
660,-0.45,9.44,-1.2,-0.91,0.46,0.83,-0.72
680,-0.42,9.44,-1.09,-0.87,0.44,0.78,-0.72
700,-0.28,9.4,-0.84,-0.82,0.44,0.76,-0.72
720,-0.29,9.63,-0.66,-0.77,0.4,0.74,-0.8
740,-0.26,9.73,-0.57,-0.75,0.32,0.74,-0.8
760,0.48,9.21,-0.59,-0.66,0.27,0.71,-0.8
780,0.29,8.99,-1.19,-0.47,0.35,0.51,-0.56
800,0.31,9.83,-0.92,-0.43,0.34,0.44,-0.56
820,0.46,9.92,-0.1,-0.42,0.36,0.47,-0.52
840,0.45,9.68,-0.18,-0.38,0.39,0.41,-0.52
860,0.25,9.59,-0.34,-0.35,0.34,0.4,-0.52
880,0.28,9.63,-0.04,-0.34,0.25,0.42,-0.52
900,0.64,9.68,-0.01,-0.33,0.16,0.43,-0.52
920,0.78,9.05,-0.01,-0.26,0.15,0.39,-0.4
940,0.65,8.63,-0.32,-0.18,0.17,0.29,-0.4
960,0.95,8.73,-0.12,-0.15,0.15,0.28,-0.4
980,1.58,9.02,0.15,-0.13,0.21,0.33,-0.16
1000,1.85,9.33,0.23,-0.1,0.33,0.32,-0.16
1020,1.3,9.26,0.27,-0.08,0.31,0.35,-0.2
1040,0.98,9.17,0.2,-0.02,0.1,0.38,-0.2
1060,0.83,9.22,0.4,0.08,-0.26,0.34,-0.2
1080,1.47,9.45,0.42,0.1,-0.51,0.31,-0.21
1100,2.05,9.19,0.29,0.13,-0.42,0.26,-0.21
1120,2.22,8.97,0.53,0.17,-0.19,0.18,-0.21
1140,1.77,8.97,0.72,0.25,-0.06,0.14,-0.21
1160,1.42,9.0,0.52,0.32,-0.07,0.12,-0.21
1180,1.18,9.11,0.66,0.37,-0.17,0.07,-0.38
1200,1.37,9.23,0.66,0.42,-0.24,0.01,-0.38
1220,1.89,9.61,0.84,0.47,-0.19,-0.14,-0.31
1240,2.34,11.79,2.5,0.33,-0.32,-0.03,-0.31
1260,3.71,11.63,2.9,0.33,-0.28,0.27,-0.31
1280,4.08,9.34,0.02,0.62,0.22,0.01,-0.3
1300,2.75,9.91,-0.69,0.81,0.65,-0.39,-0.3
1320,1.67,10.37,0.75,0.76,0.96,-0.44,-0.3
1340,1.07,9.49,0.65,0.82,0.9,-0.41,-0.3
1360,-0.1,9.12,0.06,0.86,0.38,-0.39,-0.3
1380,0.77,9.39,-0.32,0.89,-0.4,-0.27,-0.24
1400,1.64,9.36,-1.2,0.85,-0.79,-0.18,-0.24
1420,2.43,8.98,-1.02,0.79,-0.81,-0.21,-0.42
1440,2.07,8.98,-1.34,0.78,-0.46,-0.19,-0.42
1460,1.37,9.73,-1.26,0.77,-0.23,-0.23,-0.42
1480,1.36,9.65,-1.36,0.77,-0.19,-0.21,-0.42
1500,1.36,9.56,-1.91,0.74,-0.1,-0.22,-0.42
