Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,0.3,9.95,-1.97,-0.21,-0.12,-0.56,-1.47
20,0.54,9.63,-2.14,-0.24,-0.11,-0.67,-1.47
40,0.9,9.61,-2.04,-0.25,-0.1,-0.81,-1.47
60,0.61,9.79,-1.91,-0.26,-0.07,-0.97,-1.47
80,-0.4,9.91,-1.83,-0.26,-0.05,-1.11,-1.72
100,-0.89,10.01,-1.68,-0.27,-0.1,-1.21,-1.72
120,-0.79,10.33,-1.87,-0.24,-0.32,-1.29,-1.79
140,-0.87,10.9,-1.99,-0.19,-0.47,-1.35,-1.79
160,-0.61,11.61,-2.43,-0.19,-0.53,-1.41,-1.79
180,-0.78,11.88,-2.64,-0.13,-0.49,-1.5,-1.8
200,-1.87,11.35,-2.06,-0.17,-0.51,-1.5,-1.8
220,-2.99,10.24,-1.73,-0.19,-0.49,-1.43,-1.8
240,-3.1,9.47,-1.88,-0.15,-0.53,-1.24,-1.8
260,-1.79,8.81,-2.2,-0.05,-0.62,-0.77,-1.8
280,-0.63,8.14,-1.98,0.13,-0.7,-0.29,-2.02
300,-0.47,8.52,-1.01,0.17,-0.81,0.19,-2.02
320,-0.12,8.01,-1.08,0.25,-0.57,0.59,-1.32
340,0.62,7.88,-0.27,0.34,-0.3,1.01,-1.32
360,0.98,7.73,0.09,0.34,-0.11,1.43,-1.32
380,0.84,8.41,-0.33,0.45,0.4,1.67,-1.84
400,0.46,9.07,-0.5,0.4,0.76,2.0,-1.84
420,-0.39,9.23,-0.8,0.41,1.02,2.23,-1.84
440,-0.66,10.12,-0.88,0.33,1.11,2.47,-1.84
460,-0.4,10.61,-0.93,0.17,1.14,2.66,-1.84
480,-0.15,10.89,-1.05,0.04,1.17,2.74,-1.62
500,-0.04,10.68,-1.39,-0.07,1.28,2.75,-1.62
520,0.11,10.04,-1.61,-0.08,1.39,2.71,-1.8
540,-0.09,9.32,-2.08,0.02,1.42,2.56,-1.8
560,-0.54,9.87,-2.74,0.07,1.49,2.3,-1.8
580,-0.14,11.08,-2.44,-0.08,1.48,2.21,-1.66
600,0.46,10.57,-2.04,-0.25,1.36,2.13,-1.66
620,0.06,9.68,-1.91,-0.23,1.13,1.86,-1.66
640,-1.1,8.67,-1.76,-0.03,0.64,1.56,-1.66
660,-1.93,8.27,-2.08,0.24,-0.1,1.17,-1.66
680,-0.45,8.58,-1.69,0.3,-0.52,0.94,-1.71
700,1.75,9.22,-1.49,0.24,-0.43,0.68,-1.71
720,1.28,8.96,-1.74,0.3,-0.17,0.06,-1.53
740,0.18,7.75,-1.5,0.27,-0.08,-0.44,-1.53
760,0.39,8.53,-1.73,0.41,0.07,-0.99,-1.53
780,1.6,9.5,-1.98,0.44,0.47,-1.3,-1.16
800,4.38,10.91,-0.75,0.15,0.35,-0.78,-1.16
820,8.97,11.8,4.92,-0.08,-1.18,0.82,-1.16
840,6.07,9.38,1.36,0.4,-2.24,0.35,-1.16
860,1.49,10.94,-1.67,0.23,-1.08,-1.2,-1.16
880,5.47,11.26,-1.61,0.37,0.2,-0.97,-1.36
900,6.45,7.72,-4.68,1.1,1.48,-1.03,-1.36
920,3.33,10.49,-5.6,0.98,2.12,-1.63,-1.38
940,-1.13,9.17,-2.96,0.6,1.45,-1.51,-1.38
960,-6.21,9.24,-2.73,0.42,-0.53,-0.98,-1.38
980,-3.91,10.5,-2.02,0.32,-2.06,-0.3,-1.57
1000,3.29,9.6,-1.99,0.35,-2.12,-0.11,-1.57
1020,6.08,9.39,-3.97,0.37,-0.91,-0.54,-1.57
1040,3.92,9.19,-3.45,0.23,0.09,-0.77,-1.57
1060,1.91,8.29,-3.37,0.31,0.16,-0.71,-1.57
1080,1.21,8.83,-4.31,0.27,-0.33,-0.63,-1.65
1100,1.24,9.06,-5.06,0.17,-0.65,-0.45,-1.65
1120,2.08,8.91,-4.67,0.08,-0.81,-0.37,-1.67
1140,2.1,9.57,-3.68,0.01,-0.87,-0.41,-1.67
1160,2.51,8.95,-3.09,0.01,-0.81,-0.51,-1.67
1180,2.09,9.27,-3.3,0.05,-0.65,-0.61,-1.59
1200,1.19,9.25,-2.87,0.07,-0.6,-0.62,-1.59
1220,0.31,9.24,-3.13,0.07,-0.66,-0.5,-1.59
1240,0.15,9.55,-3.49,0.02,-0.73,-0.43,-1.59
1260,0.45,9.5,-3.39,-0.02,-0.98,-0.31,-1.59
1280,0.77,9.44,-3.53,-0.08,-1.11,-0.25,-1.77
1300,2.0,9.22,-3.0,-0.05,-1.02,-0.26,-1.77
1320,2.08,9.37,-3.48,-0.05,-0.79,-0.35,-1.86
1340,1.51,9.16,-3.44,0.0,-0.6,-0.4,-1.86
1360,1.98,8.81,-4.13,0.08,-0.3,-0.48,-1.86
1380,1.81,8.87,-4.1,0.1,-0.09,-0.66,-1.87
1400,-0.23,9.38,-3.32,0.06,-0.09,-0.78,-1.87
1420,-0.75,9.61,-2.2,0.0,-0.37,-0.81,-1.87
1440,0.59,9.6,-2.98,0.01,-0.44,-0.83,-1.87
1460,1.33,9.27,-3.61,0.05,-0.19,-0.88,-1.87
1480,-0.7,9.5,-2.46,0.01,0.01,-1.06,-1.68
