Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,-0.63,11.03,-4.44,1.32,-0.88,-0.64,-2.2
20,-2.54,11.25,-7.71,1.86,-0.7,-0.85,-2.2
40,-3.68,13.38,-8.28,2.15,-0.78,-1.14,-2.24
60,-4.78,13.08,-8.15,2.33,-1.1,-1.4,-2.24
80,-5.46,13.33,-7.55,2.6,-1.73,-1.62,-2.24
100,-5.35,13.49,-7.21,2.7,-2.29,-1.68,-2.61
120,-4.57,12.08,-6.49,2.59,-2.66,-1.81,-2.61
140,-2.64,11.18,-4.19,2.25,-2.72,-1.68,-2.61
160,-0.25,9.28,-2.47,1.93,-2.33,-1.35,-2.61
180,1.76,7.33,-1.43,1.59,-1.51,-0.88,-2.61
200,3.76,6.56,-1.49,1.08,-0.36,-0.41,-2.41
220,3.2,6.13,-1.46,0.48,0.82,-0.06,-2.41
240,1.49,6.63,-0.88,-0.24,1.5,0.47,-2.77
260,0.92,6.24,-0.86,-0.84,1.68,1.03,-2.77
280,0.42,5.98,-1.1,-1.47,1.64,1.48,-2.77
300,-1.01,6.03,-1.79,-2.08,1.45,1.85,-2.74
320,-2.27,5.54,-1.25,-2.48,0.82,2.21,-2.74
340,-2.07,5.29,-1.27,-2.63,0.11,2.46,-2.74
360,-1.24,5.41,-1.78,-2.69,-0.06,2.48,-2.74
380,-1.89,5.86,-2.57,-2.7,0.15,2.36,-2.74
400,-2.41,6.69,-3.46,-2.58,0.2,2.24,-2.92
420,-2.62,6.94,-4.36,-2.35,0.16,2.07,-2.92
440,-2.35,6.37,-4.76,-1.86,0.43,1.78,-2.39
460,-2.18,6.52,-5.68,-1.45,0.94,1.35,-2.39
480,-3.14,6.31,-6.87,-1.19,1.26,0.67,-2.39
500,-3.25,7.12,-6.46,-0.72,1.24,0.27,-2.35
520,-3.1,7.64,-4.97,-0.37,1.03,0.0,-2.35
540,-2.29,7.7,-3.71,0.08,0.67,-0.2,-2.35
560,-1.62,7.57,-3.36,0.37,0.39,-0.39,-2.35
580,-1.74,6.02,-6.76,1.01,0.28,-0.78,-2.35
600,-2.75,13.45,-3.85,0.75,-0.51,-1.1,-2.52
620,-1.36,17.82,-0.2,0.6,-1.1,-0.55,-2.52
640,7.13,13.65,-0.43,0.4,-1.71,0.04,-2.4
660,2.6,3.11,0.63,1.55,-1.0,-1.73,-2.4
680,-0.2,4.13,-5.5,1.28,-0.33,-1.64,-2.4
700,-1.07,6.59,-2.4,1.08,0.52,-0.5,-2.27
720,-0.26,10.83,-2.22,0.94,0.8,-0.34,-2.27
740,0.56,11.41,-3.4,0.96,0.89,-0.66,-2.27
760,-2.57,9.02,-4.72,0.96,1.05,-0.69,-2.27
780,-5.59,9.7,-6.02,0.83,0.88,-0.72,-2.27
800,-5.34,10.21,-5.5,0.58,0.28,-0.25,-2.41
820,-3.2,8.78,-5.28,0.41,-0.14,0.03,-2.41
840,-0.92,8.5,-4.84,0.29,-0.22,0.23,-2.59
860,-0.44,8.92,-5.34,0.22,-0.06,0.19,-2.59
880,-1.46,9.55,-5.52,0.12,0.01,0.13,-2.59
900,-1.23,9.07,-5.71,0.02,-0.06,0.18,-2.42
920,-1.32,9.14,-5.25,-0.18,-0.23,0.19,-2.42
940,-0.07,8.71,-4.6,-0.2,-0.2,0.28,-2.42
960,0.23,8.71,-5.3,-0.25,-0.1,0.25,-2.42
980,-1.94,9.42,-4.63,-0.39,-0.08,0.2,-2.42
1000,-3.26,9.42,-3.22,-0.41,-0.44,0.39,-2.05
1020,-2.47,9.15,-3.1,-0.33,-0.81,0.64,-2.05
1040,-1.88,8.83,-2.83,-0.27,-0.92,0.76,-2.27
1060,-1.13,9.21,-2.77,-0.17,-0.82,0.74,-2.27
1080,1.41,9.12,-3.98,-0.2,-0.8,0.94,-2.27
1100,2.84,8.8,-4.78,-0.17,-0.5,0.77,-2.15
1120,0.51,9.2,-3.75,-0.15,-0.17,0.38,-2.15
1140,0.77,9.07,-3.44,-0.18,-0.44,0.4,-2.15
1160,0.8,8.7,-2.74,-0.13,-0.78,0.29,-2.15
1180,2.04,8.3,-2.85,-0.04,-0.83,0.09,-2.15
1200,1.92,9.17,-2.91,0.04,-0.61,-0.01,-2.11
1220,1.67,9.73,-3.56,0.07,-0.39,-0.26,-2.11
1240,0.47,9.51,-2.98,0.1,-0.22,-0.48,-2.33
1260,0.54,11.48,-3.33,0.07,-0.5,-0.49,-2.33
1280,-0.24,12.32,-3.9,-0.04,-0.97,-0.76,-2.33
1300,-1.91,13.53,-2.91,-0.12,-1.55,-0.6,-1.98
