Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,1.46,9.37,-2.72,-0.03,-0.27,-0.25,-0.34
20,1.11,9.36,-2.58,0.0,-0.17,-0.29,-0.34
40,1.34,9.39,-2.51,0.01,-0.16,-0.29,-0.34
60,1.77,9.24,-2.67,0.03,-0.19,-0.34,-0.34
80,1.64,9.35,-3.1,0.02,-0.14,-0.41,-0.34
100,0.91,9.39,-2.7,0.0,-0.1,-0.44,-0.31
120,0.83,9.41,-2.5,0.0,-0.13,-0.45,-0.31
140,0.51,9.62,-2.6,0.02,-0.12,-0.49,-0.51
160,1.47,9.51,-2.98,0.03,-0.2,-0.48,-0.51
180,0.87,9.2,-2.89,0.03,-0.07,-0.51,-0.51
200,-0.69,10.68,-2.44,0.06,-0.1,-0.48,-0.35
220,-0.58,10.41,-1.66,0.06,-0.37,-0.46,-0.35
240,2.11,7.64,0.01,0.21,-0.91,-0.77,-0.35
260,4.85,8.93,-1.29,0.46,-0.75,-0.96,-0.35
280,3.45,10.23,-1.39,0.66,-0.44,-1.46,-0.35
300,0.96,11.8,-1.08,0.86,-0.53,-1.74,-0.3
320,0.19,15.18,-1.5,1.09,-0.87,-1.84,-0.3
340,1.62,19.2,0.5,1.32,-1.43,-2.0,-0.44
360,4.36,19.61,-0.58,1.26,-1.74,-2.33,-0.44
380,4.79,19.61,-2.85,0.98,-1.17,-2.81,-0.44
400,3.53,11.45,-9.16,1.68,0.58,-3.13,-0.44
420,-1.52,9.56,-18.67,2.21,2.14,-4.3,-0.44
440,-10.8,18.44,-12.43,1.14,2.91,-4.22,-0.44
460,-12.89,10.98,-8.35,1.33,1.37,-2.18,-0.44
480,-9.74,7.96,-4.53,1.0,-0.62,-1.4,-0.44
500,-5.2,7.95,-3.64,0.72,-1.86,-0.66,-0.51
520,-1.48,5.74,-3.38,0.31,-1.57,-0.21,-0.51
540,0.47,2.94,-2.66,-0.09,-0.53,0.3,-0.39
560,1.39,1.05,-1.03,-0.46,0.39,0.87,-0.39
580,1.25,-0.39,0.72,-0.76,0.94,1.41,-0.39
600,0.74,-0.07,1.35,-1.12,1.36,1.68,-0.59
620,0.79,1.48,-0.42,-1.55,2.19,1.76,-0.59
640,-0.77,2.15,-0.68,-2.08,2.88,1.85,-0.59
660,-2.72,1.73,-1.08,-2.36,2.74,1.87,-0.59
680,-4.2,2.21,-1.73,-2.61,2.1,1.89,-0.59
700,-5.33,2.87,-2.0,-2.69,1.2,1.71,-0.42
720,-6.99,4.55,-2.84,-2.61,0.46,1.25,-0.42
740,-7.02,6.62,-4.55,-2.2,0.14,0.86,-0.55
760,-6.2,6.33,-7.88,-1.78,0.31,0.48,-0.55
780,-5.19,4.92,-9.56,-1.14,0.65,-0.08,-0.55
800,-3.87,7.94,-6.71,-0.94,0.76,-0.38,-0.4
820,-1.63,8.4,-5.54,-0.45,1.0,-0.35,-0.4
840,-0.14,4.74,-7.53,0.32,1.67,-0.48,-0.4
860,-2.32,6.53,-9.77,1.0,1.55,-1.08,-0.4
880,-5.1,9.82,1.47,0.77,0.67,-0.45,-0.4
900,-7.21,19.61,-1.8,0.81,-0.89,0.21,-0.47
920,1.08,9.42,3.01,0.05,-1.22,0.11,-0.47
940,-1.08,1.39,-5.76,1.33,-1.71,-0.56,-0.64
960,-3.13,6.68,-6.99,0.75,0.12,-0.87,-0.64
980,-2.94,9.24,-2.72,0.42,0.15,0.48,-0.64
1000,-0.73,8.92,-6.44,0.41,1.27,0.43,-0.56
1020,-0.87,10.67,-5.02,0.12,1.11,0.11,-0.56
1040,-1.98,9.96,-3.83,0.1,1.03,0.17,-0.56
1060,-1.64,10.15,-5.09,0.11,1.01,0.22,-0.56
1080,-2.05,9.18,-4.69,-0.11,0.68,0.26,-0.56
1100,-3.22,8.21,-3.75,-0.22,0.02,0.35,-0.49
1120,-3.15,9.26,-3.78,-0.34,-0.43,0.53,-0.49
1140,-1.76,9.97,-3.77,-0.37,-0.46,0.62,-0.72
1160,-1.16,9.77,-3.47,-0.39,-0.43,0.75,-0.72
1180,-0.63,8.77,-2.67,-0.28,-0.26,0.72,-0.72
1200,0.37,8.39,-2.4,-0.14,0.01,0.64,-0.44
1220,0.63,9.49,-4.55,-0.34,0.38,0.61,-0.44
1240,0.37,9.31,-3.02,-0.28,0.56,0.54,-0.44
1260,-0.07,9.42,-3.91,-0.34,0.3,0.46,-0.44
1280,-0.83,9.36,-3.13,-0.46,-0.24,0.47,-0.44
1300,-0.46,9.42,-3.54,-0.53,-0.7,0.52,-0.55
1320,-0.39,9.47,-1.79,-0.53,-0.83,0.54,-0.55
1340,0.71,9.11,-2.36,-0.42,-0.7,0.58,-0.44
1360,2.32,8.9,-2.44,-0.36,-0.47,0.46,-0.44
1380,1.91,8.62,-1.74,-0.24,-0.01,0.31,-0.44
1400,1.52,9.24,-1.96,-0.15,0.17,0.21,-0.96
1420,0.62,8.96,-1.62,-0.07,0.09,0.12,-0.96
1440,0.52,9.13,-1.67,0.01,-0.09,0.1,-0.48
1460,1.92,9.22,-2.27,0.07,-0.19,0.01,-0.48
1480,2.32,9.46,-1.19,0.18,-0.16,-0.25,-0.48
1500,2.15,9.05,-1.72,0.26,-0.12,-0.41,-0.48
1520,1.0,9.16,-2.22,0.38,-0.22,-0.6,-0.48
1540,-1.67,10.39,-3.28,0.3,-0.11,-0.62,-0.45
1560,-0.9,10.1,-2.9,0.21,-0.44,-0.3,-0.45
1580,1.11,9.73,-2.51,0.18,-0.75,-0.34,-0.45
1600,1.61,10.55,-2.81,0.2,-0.74,-0.51,-0.54
1620,0.26,11.43,-3.75,0.13,-0.55,-0.67,-0.54
1640,-2.16,13.3,-3.85,-0.0,-0.37,-0.62,-0.66
1660,-3.27,14.1,-2.14,-0.16,-0.98,-0.21,-0.66
1680,-1.57,14.29,-1.42,-0.26,-1.51,-0.02,-0.66
1700,0.73,14.66,-0.75,-0.35,-1.63,0.05,-0.66
1720,1.9,14.77,0.72,-0.38,-1.61,0.09,-0.66
1740,4.44,13.14,2.57,-0.34,-1.56,0.08,-0.59
1760,6.26,10.98,2.75,-0.25,-1.21,-0.05,-0.59
1780,8.0,8.98,-0.27,0.02,-0.39,-0.1,-0.59
1800,6.58,6.92,-6.4,1.06,0.81,-0.61,-0.46
1820,4.31,11.65,-11.55,2.62,2.08,-1.98,-0.46
1840,-3.14,15.45,-13.53,3.13,1.9,-4.09,-0.75
1860,-8.2,16.88,-9.61,3.34,0.74,-4.37,-0.75
1880,-10.17,16.18,-7.13,3.05,-0.58,-3.95,-0.75
1900,-8.06,13.81,-6.61,3.02,-1.82,-3.62,-0.75
1920,-6.33,15.31,-7.87,2.75,-2.7,-4.0,-0.75
1940,-3.8,16.43,-6.85,2.08,-2.3,-3.42,-0.68
1960,0.52,11.57,-2.89,1.36,-1.49,-2.47,-0.68
1980,2.4,6.61,0.05,0.92,-1.01,-1.58,-0.68
2000,3.41,3.33,0.41,0.59,-0.41,-0.91,-0.93
2020,3.59,1.42,-0.05,0.25,0.69,-0.21,-0.93
2040,2.55,1.19,-0.46,-0.15,2.09,0.67,-0.93
2060,1.52,2.15,-0.66,-0.67,2.95,1.36,-0.93
