Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,1.99,12.18,-0.72,0.44,-0.63,-0.77,-1.81
20,1.89,11.94,-0.96,0.58,-0.61,-0.85,-1.81
40,0.78,12.25,-1.7,0.64,-0.51,-0.93,-1.81
60,0.38,11.63,-2.37,0.64,-0.47,-0.91,-1.8
80,-0.07,10.58,-3.87,0.7,-0.25,-0.93,-1.8
100,-1.53,10.59,-7.13,1.03,0.08,-1.22,-1.8
120,-2.83,12.21,-6.46,0.97,0.14,-1.58,-1.6
140,-3.06,11.28,-5.99,1.04,-0.0,-1.67,-1.6
160,-3.63,11.26,-6.16,1.08,-0.3,-1.81,-1.7
180,-4.33,11.45,-6.22,1.08,-0.69,-1.89,-1.7
200,-4.44,11.15,-5.79,1.0,-1.12,-1.9,-1.7
220,-3.46,9.91,-5.03,0.86,-1.35,-1.79,-1.7
240,-2.23,9.04,-4.59,0.7,-1.24,-1.65,-1.7
260,-1.44,8.12,-4.51,0.54,-0.79,-1.46,-1.8
280,-1.16,7.96,-3.99,0.35,-0.36,-1.2,-1.8
300,-1.17,7.24,-3.58,0.13,0.1,-0.91,-1.8
320,-0.75,6.52,-3.15,-0.07,0.49,-0.61,-1.76
340,-0.29,5.99,-2.34,-0.29,0.76,-0.25,-1.76
360,-0.57,5.7,-1.96,-0.54,0.94,0.14,-1.7
380,-0.65,5.46,-2.05,-0.73,1.12,0.45,-1.7
400,-0.36,5.61,-1.95,-1.0,1.4,0.79,-1.7
420,-0.38,5.44,-2.21,-1.25,1.76,1.1,-1.7
440,-0.89,5.4,-2.87,-1.46,1.96,1.35,-1.7
460,-2.26,5.76,-2.76,-1.74,1.74,1.68,-1.97
480,-2.19,5.98,-2.76,-1.8,1.29,1.91,-1.97
500,-2.58,6.64,-2.94,-1.87,0.93,1.94,-1.97
520,-2.76,6.93,-3.07,-1.92,0.7,1.93,-2.0
540,-2.37,7.08,-3.3,-1.9,0.62,1.83,-2.0
560,-2.49,7.03,-4.04,-1.79,0.58,1.59,-1.67
580,-2.89,7.32,-4.39,-1.64,0.47,1.4,-1.67
600,-2.85,7.49,-4.15,-1.43,0.29,1.22,-1.67
620,-2.46,7.96,-3.41,-1.21,0.18,0.92,-1.61
640,-2.12,8.19,-3.14,-0.97,0.28,0.5,-1.61
660,-1.44,7.74,-3.6,-0.65,0.71,0.08,-1.65
680,-1.58,7.87,-4.0,-0.41,1.07,-0.29,-1.65
700,-1.06,8.55,-3.47,-0.21,1.2,-0.44,-1.65
720,-0.96,8.39,-3.42,-0.01,1.19,-0.49,-1.6
740,-1.25,7.96,-2.99,0.17,0.93,-0.57,-1.6
760,-0.99,5.89,-6.33,0.87,0.8,-0.59,-1.6
780,-1.41,14.17,-3.68,0.69,-0.14,-0.92,-1.6
800,-0.79,9.04,1.7,0.62,-0.62,-0.23,-1.6
820,0.08,10.96,-0.48,0.87,-1.5,-0.32,-1.72
840,1.76,16.88,1.7,0.61,-1.73,-0.02,-1.72
860,0.97,16.35,-3.68,0.65,-0.22,-0.8,-1.72
880,-1.19,8.44,-0.72,0.8,0.24,-1.33,-1.72
900,-1.28,6.96,-2.39,0.81,0.2,-0.98,-1.72
920,-0.3,5.88,-3.01,0.92,0.6,-0.63,-1.45
940,-1.44,4.31,-2.96,1.01,0.91,-0.57,-1.45
960,-4.62,9.58,-1.53,0.87,0.78,-0.61,-1.55
980,-2.07,18.69,-2.48,0.7,0.59,-0.44,-1.55
1000,-0.43,6.92,-3.95,0.92,-0.01,-0.44,-1.55
1020,-2.52,8.47,-4.7,0.81,-0.09,-0.46,-1.75
1040,-3.7,9.71,-3.6,0.71,-0.17,-0.19,-1.75
1060,-3.2,9.56,-5.56,0.49,-0.23,-0.1,-1.75
1080,-2.36,8.64,-5.35,0.31,-0.34,0.09,-1.75
1100,-1.45,8.87,-4.57,0.21,-0.21,0.23,-1.75
1120,-0.75,9.27,-5.05,0.16,0.29,0.19,-1.63
1140,-1.61,9.47,-4.78,0.1,0.52,0.21,-1.63
1160,-1.87,9.15,-4.42,0.02,0.38,0.22,-1.87
1180,-1.47,8.83,-4.75,-0.06,0.27,0.22,-1.87
1200,-1.12,8.91,-4.77,-0.14,0.28,0.29,-1.87
1220,-1.71,9.19,-4.39,-0.21,0.34,0.31,-1.85
1240,-2.08,9.26,-3.94,-0.26,0.14,0.36,-1.85
1260,-1.55,9.32,-4.09,-0.27,-0.02,0.45,-1.85
1280,-1.15,9.27,-4.34,-0.32,0.06,0.47,-1.85
1300,-0.69,9.44,-4.18,-0.36,0.2,0.44,-1.85
1320,-0.09,8.81,-4.51,-0.39,0.3,0.48,-2.09
1340,-0.17,9.08,-4.28,-0.46,0.35,0.37,-2.09
1360,-0.42,9.17,-3.91,-0.49,0.24,0.37,-1.81
1380,-1.16,8.97,-3.33,-0.54,-0.01,0.4,-1.81
1400,-2.04,9.73,-2.48,-0.51,-0.31,0.48,-1.81
1420,-0.49,9.45,-2.53,-0.5,-0.58,0.53,-2.03
1440,1.08,8.6,-2.37,-0.44,-0.63,0.44,-2.03
1460,1.57,8.81,-1.91,-0.38,-0.43,0.35,-2.03
1480,1.81,9.12,-2.81,-0.31,-0.24,0.17,-2.03
1500,0.61,8.68,-1.22,-0.22,-0.34,-0.0,-2.03
1520,0.65,9.15,-1.77,-0.13,-0.52,-0.11,-1.71
1540,2.12,9.09,-2.55,-0.02,-0.44,-0.24,-1.71
1560,1.98,9.04,-1.64,0.12,-0.17,-0.58,-1.61
1580,1.61,9.78,-1.73,0.25,0.03,-0.82,-1.61
1600,-0.72,9.47,-2.85,0.28,0.01,-0.87,-1.61
1620,-1.76,10.04,-2.83,0.26,-0.31,-0.78,-1.88
1640,-0.55,10.15,-2.83,0.24,-0.53,-0.7,-1.88
1660,-0.35,11.17,-3.63,0.19,-0.47,-0.85,-1.88
1680,-0.65,12.44,-2.89,0.17,-0.29,-0.87,-1.88
1700,-0.03,13.35,-0.93,0.15,-0.13,-0.84,-1.88
1720,-0.59,12.95,-1.7,0.23,-0.33,-0.71,-1.67
1740,1.24,14.9,-1.65,0.31,-0.56,-0.71,-1.67
1760,2.39,15.1,0.2,0.51,-0.87,-0.64,-1.82
1780,2.95,14.2,1.92,0.69,-1.13,-0.52,-1.82
1800,2.09,13.05,0.99,0.74,-1.1,-0.36,-1.82
1820,-0.56,9.95,-4.03,1.04,-0.74,-0.3,-1.74
1840,-2.56,13.72,-6.73,1.47,-0.29,-1.01,-1.74
1860,-2.42,11.47,-9.1,2.0,0.03,-1.15,-1.74
1880,-4.54,12.73,-5.88,2.17,-0.21,-1.81,-1.74
1900,-5.88,13.16,-4.64,1.94,-1.05,-1.59,-1.74
1920,-7.89,11.57,-4.86,1.93,-1.97,-1.5,-1.82
1940,-8.02,13.45,-6.13,1.94,-2.82,-1.75,-1.82
1960,-6.57,12.86,-7.29,1.75,-3.11,-1.8,-2.1
1980,-5.04,10.62,-7.24,1.53,-2.71,-1.93,-2.1
2000,-3.09,7.83,-6.17,1.38,-1.74,-1.86,-2.1
2020,-1.3,8.68,-2.99,0.73,-0.9,-1.53,-2.01
2040,0.4,6.27,-4.46,0.53,0.69,-1.12,-2.01
2060,0.04,4.36,-3.44,0.02,1.51,-0.62,-2.01
2080,-4.06,2.68,-1.7,0.01,1.26,-0.22,-2.01
2100,-7.53,2.62,-2.33,-0.18,0.17,-0.04,-2.01
2120,-4.93,2.43,-0.96,-0.4,-0.55,0.61,-1.96
2140,0.05,1.7,-0.35,-0.63,-0.08,1.17,-1.96
2160,2.5,1.71,-0.74,-0.79,1.26,1.42,-2.03
2180,2.34,1.21,-1.14,-1.01,2.34,1.77,-2.03
2200,2.67,1.78,-1.41,-1.31,3.01,2.22,-2.03
2220,0.31,3.05,-2.44,-1.63,3.21,2.45,-2.18
2240,-3.1,4.06,-2.02,-2.04,2.65,2.68,-2.18
2260,-4.27,4.3,-2.41,-2.22,1.87,2.86,-2.18
2280,-4.26,3.93,-4.88,-2.18,1.54,2.71,-2.18
2300,-3.51,4.59,-6.62,-2.08,1.43,2.53,-2.18
2320,-4.22,6.02,-8.3,-1.81,1.03,2.32,-2.2
2340,-6.25,7.35,-7.07,-1.48,0.1,1.82,-2.2
2360,-7.17,5.55,-7.83,-1.12,-0.56,0.99,-1.97
2380,-5.33,3.64,-9.93,-0.78,-0.16,0.19,-1.97
2400,-1.95,0.03,-14.41,0.07,0.83,-0.51,-1.97
2420,-1.66,5.27,-13.15,0.9,1.37,-1.21,-1.67
2440,-5.11,10.61,-2.07,0.79,0.38,-1.0,-1.67
2460,3.2,19.61,6.03,0.46,-1.86,1.08,-1.67
2480,0.97,2.8,-0.24,1.11,-0.7,-1.72,-1.67
2500,-5.6,4.86,-7.45,0.65,-0.33,-2.25,-1.67
2520,-1.79,5.29,-4.34,0.6,-0.35,0.01,-2.14
2540,-2.08,9.35,-5.31,0.4,0.27,-0.24,-2.14
2560,-1.49,11.89,-6.72,0.29,0.45,-0.52,-1.98
2580,-1.76,8.35,-5.16,0.16,0.29,-0.26,-1.98
2600,-1.37,9.51,-4.65,0.17,0.45,-0.29,-1.98
2620,-2.83,9.54,-5.25,0.12,0.49,-0.23,-2.14
2640,-3.41,9.0,-5.43,-0.04,0.19,-0.1,-2.14
2660,-2.93,9.04,-4.83,-0.15,-0.18,0.21,-2.14
