Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,-0.63,8.87,-1.61,-0.98,0.5,2.41,0.04
20,-0.76,9.26,-2.24,-1.24,0.92,2.43,0.04
40,-1.46,11.55,-2.06,-1.39,1.12,2.45,0.37
60,-1.59,10.85,-2.88,-1.53,1.1,2.29,0.37
80,-2.26,10.58,-2.55,-1.6,0.96,2.1,0.37
100,-2.27,9.81,-2.85,-1.55,0.67,1.83,0.69
120,-1.72,9.48,-3.21,-1.34,0.38,1.51,0.69
140,-1.13,9.24,-3.66,-1.01,0.31,1.24,0.68
160,-1.0,8.5,-3.64,-0.67,0.27,0.96,0.68
180,-1.27,7.75,-4.65,-0.1,0.21,0.62,0.68
200,-2.36,8.2,-5.71,0.32,-0.03,0.15,0.68
220,-3.53,9.21,-4.12,0.52,-0.61,-0.32,0.68
240,-0.82,10.16,-1.61,0.44,-1.23,-0.4,0.25
260,3.35,11.66,1.27,0.09,-1.58,-0.05,0.25
280,7.53,9.16,2.29,0.24,-1.27,0.33,0.25
300,6.0,7.94,-1.58,0.65,-0.33,-0.19,0.45
320,2.85,9.03,-2.32,0.77,0.42,-0.74,0.45
340,2.74,8.71,-3.27,0.8,1.31,-0.72,0.47
360,2.07,9.72,-2.91,0.81,1.85,-0.7,0.47
380,0.06,9.57,-2.01,0.81,1.87,-0.74,0.47
400,-1.24,9.58,-1.72,0.9,1.21,-0.82,0.47
420,-2.3,9.5,-3.1,0.82,0.28,-0.67,0.47
440,-0.9,9.59,-3.06,0.69,-0.61,-0.46,0.57
460,1.9,8.92,-2.65,0.7,-0.88,-0.36,0.57
480,3.18,8.82,-3.62,0.76,-0.65,-0.6,0.57
500,1.94,9.02,-4.54,0.78,-0.22,-0.83,0.53
520,0.54,9.3,-4.12,0.66,0.03,-0.89,0.53
540,0.12,9.23,-3.86,0.66,0.18,-0.85,0.57
560,0.61,9.36,-3.76,0.65,0.28,-0.87,0.57
580,1.99,8.7,-3.68,0.71,0.34,-0.91,0.57
600,-0.11,8.12,-3.73,0.75,0.45,-1.04,0.57
620,-1.93,8.7,-2.88,0.79,0.31,-1.14,0.57
640,-1.29,9.04,-2.5,0.87,-0.01,-1.05,0.72
660,0.06,8.26,-2.9,1.04,-0.33,-0.98,0.72
680,-1.23,8.33,-2.73,1.21,-0.39,-1.06,0.72
700,-3.15,7.71,-2.03,1.34,-0.45,-1.13,0.74
720,-3.73,8.13,-3.04,1.55,-0.71,-1.09,0.74
740,-0.83,7.83,-4.42,1.62,-1.01,-1.0,0.73
760,-0.15,6.45,-5.25,1.67,-1.24,-0.9,0.73
780,-2.86,7.35,-5.78,1.64,-0.91,-1.13,0.73
800,-2.91,7.47,-5.87,1.64,-0.99,-1.09,0.73
820,-2.88,6.33,-5.96,1.7,-1.19,-1.12,0.73
840,-3.35,6.85,-6.01,1.69,-1.23,-1.13,0.36
860,-2.79,6.38,-7.06,1.58,-1.47,-1.09,0.36
880,-1.7,7.01,-8.51,1.54,-1.38,-1.09,0.36
900,-2.99,6.94,-9.82,1.36,-0.98,-1.4,0.39
920,-1.75,4.9,-13.0,1.28,-0.72,-1.49,0.39
940,-5.25,5.76,-11.4,0.72,-0.86,-1.03,0.25
960,-9.41,11.78,-7.4,0.52,-1.53,-1.16,0.25
980,-8.37,19.17,-7.96,0.8,-1.29,-1.55,0.25
1000,-5.13,19.61,-7.95,1.01,-0.54,-1.84,0.25
1020,-1.5,19.61,-7.64,0.6,0.12,-1.86,0.25
1040,2.82,10.38,1.99,0.32,-0.54,-1.24,0.15
1060,4.23,0.04,-2.87,0.68,0.24,-1.1,0.15
1080,5.53,2.05,0.71,-1.0,1.63,0.07,0.15
1100,8.5,-1.07,0.5,-1.45,2.95,3.12,0.25
1120,4.22,7.22,-1.14,-2.27,2.95,3.56,0.25
1140,-1.18,11.16,-0.51,-3.21,2.18,3.73,0.09
1160,-5.2,7.71,-2.83,-3.61,1.56,3.94,0.09
1180,-6.58,5.13,-3.76,-4.1,1.32,4.29,0.09
1200,-7.39,5.31,-3.43,-4.24,0.3,4.37,0.09
