Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,2.15,9.05,-2.75,0.04,-0.47,-0.25,-2.57
20,2.42,9.1,-3.16,0.08,-0.33,-0.33,-2.57
40,1.54,9.25,-3.34,0.05,-0.23,-0.44,-2.57
60,0.74,9.06,-2.8,0.06,-0.37,-0.44,-2.57
80,1.07,9.38,-3.17,0.08,-0.42,-0.43,-2.57
100,1.85,9.11,-3.1,0.1,-0.35,-0.5,-2.67
120,1.68,8.87,-2.88,0.14,-0.26,-0.62,-2.67
140,1.79,9.12,-2.86,0.2,-0.27,-0.74,-2.67
160,2.22,8.98,-2.8,0.27,-0.25,-0.87,-2.67
180,2.27,9.01,-3.08,0.34,-0.17,-1.07,-2.67
200,1.39,8.98,-2.92,0.41,-0.07,-1.26,-2.64
220,0.71,9.22,-2.84,0.5,-0.03,-1.36,-2.64
240,0.29,9.28,-1.86,0.63,-0.08,-1.49,-2.57
260,0.35,9.54,-2.33,0.77,-0.18,-1.62,-2.57
280,-0.03,10.72,-3.79,0.91,-0.12,-1.72,-2.57
300,-0.89,11.78,-3.06,0.93,-0.03,-1.86,-2.4
320,-0.55,11.14,-2.54,1.12,-0.21,-1.9,-2.4
340,-0.52,10.96,-2.96,1.27,-0.4,-2.04,-2.4
360,-1.43,11.44,-3.77,1.38,-0.55,-2.06,-2.4
380,-2.31,12.42,-4.53,1.32,-0.73,-1.91,-2.4
400,-2.55,12.15,-4.45,1.19,-1.1,-1.56,-2.62
420,-1.45,9.72,-4.29,1.12,-1.39,-1.09,-2.62
440,-0.78,7.96,-4.88,1.02,-1.19,-0.63,-2.6
460,-0.36,8.44,-4.87,0.49,-0.73,0.17,-2.6
480,-0.1,7.68,-2.38,-0.14,-0.44,1.29,-2.6
500,0.72,6.62,-2.11,-0.38,-0.18,1.92,-2.91
520,0.56,7.06,-3.48,-0.66,0.07,2.31,-2.91
540,-0.78,7.46,-3.34,-1.11,0.38,2.81,-2.91
560,-1.85,8.06,-2.74,-1.28,0.48,3.22,-2.91
580,-2.25,8.48,-3.51,-1.33,0.28,3.56,-2.91
600,-2.15,9.05,-4.94,-1.54,0.2,3.78,-2.87
620,-2.9,10.35,-4.8,-1.68,0.12,3.96,-2.87
640,-3.17,9.62,-5.86,-1.77,-0.13,3.91,-2.63
660,-3.65,8.91,-5.71,-1.92,-0.55,3.52,-2.63
680,-4.56,9.18,-3.82,-1.87,-0.87,2.86,-2.63
700,-5.14,9.22,-4.2,-1.54,-0.86,2.0,-2.24
720,-4.72,8.56,-4.61,-1.19,-0.58,1.27,-2.24
740,-3.83,7.55,-3.94,-0.76,-0.25,0.93,-2.24
760,-2.52,7.02,-3.44,-0.32,0.09,0.5,-2.24
780,-1.68,7.39,-3.73,-0.01,0.42,-0.19,-2.24
800,-0.45,8.05,-4.0,0.48,0.82,-0.63,-2.33
820,4.43,19.61,0.52,-0.2,-0.26,0.71,-2.33
840,8.99,9.73,1.09,0.4,-0.39,1.02,-2.39
860,5.76,3.83,-4.42,1.04,0.04,-1.68,-2.39
880,-0.42,9.42,-2.75,0.96,-0.28,-2.0,-2.39
900,-0.82,10.23,-4.55,0.78,0.22,-0.73,-2.4
920,-1.09,9.33,-3.34,0.57,0.41,-0.4,-2.4
940,1.02,9.61,-2.88,0.57,-0.12,-0.32,-2.12
960,2.26,8.77,-3.11,0.46,-0.45,-0.23,-2.12
980,2.54,8.61,-2.88,0.48,-0.57,-0.5,-2.12
1000,2.32,9.39,-2.61,0.53,-0.42,-0.66,-2.12
1020,2.43,9.11,-3.15,0.62,-0.28,-0.57,-2.12
1040,2.17,9.0,-3.88,0.61,-0.19,-0.6,-2.19
1060,1.59,9.09,-3.26,0.6,-0.12,-0.85,-2.19
1080,1.1,9.22,-2.82,0.7,-0.09,-0.86,-2.19
1100,1.09,9.04,-3.93,0.73,-0.09,-0.7,-2.11
1120,0.62,9.04,-4.1,0.68,-0.14,-0.68,-2.11
1140,0.42,9.26,-4.26,0.63,-0.28,-0.64,-2.34
1160,1.03,9.28,-4.37,0.57,-0.39,-0.65,-2.34
1180,1.52,8.41,-3.95,0.62,-0.37,-0.7,-2.34
1200,-0.04,8.16,-3.81,0.65,-0.23,-0.74,-2.34
1220,-0.51,8.84,-4.14,0.73,-0.29,-0.59,-2.34
1240,0.01,8.78,-4.05,0.77,-0.38,-0.57,-2.25
1260,0.52,8.47,-4.2,0.83,-0.35,-0.65,-2.25
1280,1.24,8.28,-3.91,0.93,-0.32,-0.71,-2.25
1300,0.89,7.72,-5.63,0.98,-0.22,-0.85,-2.38
1320,-0.44,8.04,-4.88,0.92,-0.06,-1.04,-2.38
1340,-0.46,8.2,-4.9,1.02,-0.12,-1.04,-2.65
1360,-0.19,6.99,-5.64,1.07,-0.22,-1.04,-2.65
1380,-1.76,7.41,-5.49,0.97,-0.22,-1.13,-2.65
1400,-2.06,8.64,-4.99,1.13,-0.26,-1.05,-2.65
1420,-1.19,8.88,-5.53,1.18,-0.64,-1.0,-2.65
1440,-0.2,6.77,-6.31,1.14,-0.96,-1.03,-2.74
1460,-1.28,5.32,-7.09,1.0,-1.11,-0.98,-2.74
1480,-2.43,7.58,-6.04,0.97,-0.89,-1.12,-2.74
1500,-1.59,8.09,-7.22,0.93,-1.05,-1.14,-2.53
1520,-1.15,5.17,-6.51,0.95,-1.12,-1.23,-2.53
1540,-1.44,6.87,-7.15,0.87,-0.81,-1.16,-3.04
1560,-1.89,7.04,-8.72,0.86,-0.93,-1.11,-3.04
1580,-3.52,6.51,-7.74,0.7,-0.7,-1.43,-3.04
1600,-4.03,3.81,-9.51,0.6,-0.62,-1.34,-3.04
1620,-6.93,5.91,-8.24,0.5,-0.89,-1.08,-3.04
1640,-7.88,10.29,-8.84,0.44,-1.14,-0.78,-2.87
1660,-6.71,9.99,-4.64,0.53,-1.47,-0.7,-2.87
