Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,0.23,9.94,-2.06,0.14,-0.13,0.1,0.11
20,0.68,9.63,-2.0,0.13,-0.16,0.15,0.11
40,1.09,9.47,-2.25,0.13,-0.04,0.14,0.11
60,0.85,9.66,-2.09,0.12,0.08,0.15,0.11
80,0.55,10.38,-2.01,0.12,0.13,0.22,0.11
100,1.0,9.21,-1.66,0.11,0.05,0.21,0.27
120,1.35,8.66,-1.51,0.16,0.02,0.15,0.27
140,1.51,9.5,-1.68,0.21,0.13,0.13,0.54
160,1.14,9.61,-2.1,0.22,0.15,0.11,0.54
180,1.22,9.41,-2.02,0.22,0.17,0.12,0.54
200,1.12,9.62,-2.11,0.23,0.2,0.14,0.53
220,0.96,9.51,-2.05,0.24,0.15,0.13,0.53
240,1.36,9.45,-2.67,0.22,0.01,0.12,0.53
260,1.53,9.38,-2.54,0.19,-0.04,0.1,0.53
280,1.23,9.5,-2.61,0.16,-0.05,0.1,0.53
300,1.16,9.52,-2.38,0.12,-0.03,0.13,0.23
320,1.32,9.47,-2.36,0.12,0.02,0.14,0.23
340,1.57,9.43,-2.67,0.12,0.06,0.13,0.05
360,1.69,9.4,-2.68,0.08,0.08,0.12,0.05
380,1.51,9.37,-2.67,0.06,0.04,0.1,0.05
400,1.37,9.43,-2.49,0.03,-0.09,0.09,0.11
420,1.76,9.4,-2.16,0.04,-0.21,0.08,0.11
440,2.35,9.22,-2.42,0.07,-0.19,0.0,0.11
460,2.15,9.37,-2.7,0.06,-0.12,-0.05,0.11
480,1.58,9.64,-2.51,0.04,-0.22,-0.09,0.11
500,1.89,9.2,-2.65,0.01,-0.39,-0.12,0.18
520,2.03,9.24,-2.79,0.01,-0.35,-0.16,0.18
540,1.71,9.4,-2.58,-0.0,-0.22,-0.21,0.18
560,1.74,9.35,-2.52,-0.0,-0.11,-0.22,0.18
580,1.74,9.42,-2.61,0.0,0.01,-0.24,0.18
600,1.4,9.33,-2.44,-0.0,0.04,-0.27,0.28
620,1.17,9.35,-2.44,0.01,-0.01,-0.26,0.28
640,1.23,9.5,-2.47,0.01,-0.05,-0.27,0.28
660,1.09,9.45,-2.64,0.0,-0.07,-0.29,0.28
680,1.36,9.38,-2.47,0.0,-0.12,-0.29,0.28
700,2.0,9.25,-1.98,0.03,-0.17,-0.36,0.28
720,2.05,9.35,-2.35,0.09,-0.12,-0.47,0.28
740,2.2,9.5,-2.49,0.1,-0.04,-0.58,0.05
760,1.96,9.27,-1.95,0.13,-0.1,-0.7,0.05
780,1.55,9.17,-1.35,0.24,-0.24,-0.83,0.05
800,1.06,9.29,-1.05,0.38,-0.35,-0.93,0.16
820,1.0,9.39,-0.51,0.54,-0.39,-1.06,0.16
840,1.26,9.97,-1.84,0.73,-0.29,-1.15,0.16
860,-0.66,10.16,-3.56,0.76,-0.02,-1.19,0.16
880,-2.08,10.3,-3.35,0.7,-0.12,-1.08,0.16
900,-1.61,10.73,-2.45,0.62,-0.47,-0.9,0.04
920,-1.03,10.48,-2.78,0.66,-0.67,-0.84,0.04
940,-1.08,10.27,-3.25,0.69,-0.81,-0.75,-0.22
960,-1.87,10.13,-3.15,0.67,-0.92,-0.73,-0.22
980,-1.8,10.43,-3.12,0.62,-1.07,-0.62,-0.22
1000,-1.8,9.33,-2.99,0.63,-1.12,-0.49,-0.22
1020,-1.32,9.01,-3.81,0.58,-0.98,-0.35,-0.22
1040,-1.38,8.52,-4.12,0.53,-0.71,-0.25,-0.22
1060,-0.89,9.91,-2.04,0.15,-0.7,-0.05,-0.22
1080,-0.26,8.38,-1.1,-0.24,-0.7,0.44,-0.22
1100,-1.19,8.4,-0.88,-0.56,-0.97,0.69,-0.21
1120,-0.74,9.38,-1.04,-0.88,-1.04,1.0,-0.21
1140,-0.09,9.32,-1.57,-1.1,-0.8,1.27,-0.2
1160,0.25,9.51,-1.85,-1.25,-0.55,1.46,-0.2
1180,0.71,9.76,-2.09,-1.37,-0.23,1.66,-0.2
1200,0.75,9.55,-2.14,-1.42,0.13,1.78,-0.24
1220,0.79,9.49,-2.23,-1.43,0.48,1.79,-0.24
1240,0.43,9.95,-2.09,-1.42,0.75,1.83,-0.24
1260,-0.24,10.81,-2.5,-1.45,0.82,1.86,-0.24
1280,-0.81,10.64,-2.37,-1.58,0.58,1.73,-0.24
1300,-0.51,9.33,-1.29,-1.56,0.21,1.54,-0.49
1320,-0.15,9.33,-1.6,-1.41,0.06,1.38,-0.49
1340,-0.07,8.96,-1.75,-1.22,-0.07,1.14,-0.49
1360,0.06,8.54,-1.99,-1.02,-0.12,1.01,-0.49
1380,0.35,8.26,-2.19,-0.78,-0.07,0.87,-0.49
1400,0.24,8.18,-2.3,-0.48,-0.01,0.6,-0.56
1420,0.68,8.6,-1.81,-0.31,-0.03,0.34,-0.56
1440,0.36,8.59,-1.47,-0.05,-0.06,0.1,-0.56
1460,0.08,8.53,-1.64,0.11,-0.34,-0.04,-0.56
1480,0.3,8.71,-1.67,0.27,-0.7,-0.11,-0.56
1500,1.22,9.33,-1.67,0.43,-0.88,-0.2,-0.61
1520,2.03,9.61,-1.44,0.53,-0.8,-0.36,-0.61
1540,5.48,13.61,2.46,0.25,-0.79,-0.16,-0.8
1560,10.38,10.83,2.54,0.42,-0.23,0.4,-0.8
1580,4.19,7.11,-0.22,0.79,0.76,-0.55,-0.8
1600,-0.46,10.51,-0.77,1.35,1.09,-1.4,-0.75
1620,-1.21,11.31,0.7,1.16,0.37,-1.24,-0.75
1640,0.69,7.14,-1.02,1.11,0.19,-0.73,-0.75
1660,1.14,8.56,-2.11,1.17,0.29,-0.55,-0.75
1680,2.24,9.68,-2.06,1.1,0.28,-0.48,-0.75
1700,-0.54,9.9,-3.77,0.99,0.09,-0.53,-0.46
1720,-2.85,11.09,-2.9,0.8,-0.48,-0.62,-0.46
1740,-0.86,9.64,-1.52,0.69,-0.98,-0.26,-0.42
1760,1.5,9.05,-2.67,0.72,-0.96,-0.27,-0.42
1780,2.39,9.25,-2.43,0.75,-0.5,-0.39,-0.42
1800,1.89,9.2,-3.05,0.77,-0.15,-0.56,-0.3
1820,0.67,9.43,-3.43,0.71,-0.01,-0.55,-0.3
1840,-0.53,9.97,-3.77,0.59,-0.13,-0.39,-0.24
1860,-0.06,9.79,-3.05,0.54,-0.38,-0.31,-0.24
1880,1.02,9.13,-3.03,0.51,-0.49,-0.3,-0.24
1900,1.45,9.04,-2.77,0.52,-0.37,-0.33,-0.24
1920,1.13,8.97,-3.15,0.56,-0.19,-0.36,-0.24
1940,0.71,8.88,-2.89,0.61,-0.1,-0.44,-0.15
1960,1.07,9.0,-3.17,0.65,-0.03,-0.51,-0.15
1980,0.82,8.85,-3.14,0.71,-0.06,-0.57,-0.15
2000,0.3,8.83,-2.91,0.75,-0.11,-0.65,-0.14
2020,0.26,8.99,-3.16,0.81,-0.18,-0.65,-0.14
2040,0.44,8.94,-3.74,0.86,-0.16,-0.71,-0.11
2060,0.1,8.6,-3.08,0.89,-0.26,-0.8,-0.11
2080,0.4,8.06,-4.09,1.0,-0.26,-0.86,-0.11
2100,-0.63,8.43,-3.25,1.09,-0.14,-0.98,-0.11
2120,-0.51,8.2,-4.09,1.23,-0.26,-0.9,-0.11
2140,-1.22,8.66,-5.04,1.27,-0.31,-0.92,-0.1
2160,-1.43,8.49,-5.15,1.21,-0.5,-0.88,-0.1
2180,-1.45,8.32,-5.03,1.21,-0.67,-0.96,-0.1
2200,-0.45,7.53,-5.3,1.18,-0.62,-1.11,-0.05
2220,-0.45,7.27,-6.07,1.23,-0.54,-1.14,-0.05
2240,-3.23,7.78,-5.0,1.22,-0.54,-1.15,-0.42
2260,-2.66,7.6,-6.68,1.19,-0.67,-1.23,-0.42
2280,-1.92,6.71,-5.71,1.18,-0.83,-1.29,-0.42
2300,-3.35,5.11,-6.74,1.21,-0.82,-1.24,-0.42
2320,-3.14,7.69,-6.94,1.21,-0.73,-1.21,-0.42
2340,-0.01,5.94,-8.95,1.18,-0.48,-1.07,-0.78
2360,-4.82,5.82,-8.63,1.03,-0.43,-1.3,-0.78
