Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,-0.37,9.57,-1.77,0.01,-0.01,-0.04,-0.12
20,-0.81,9.61,-1.64,0.01,0.01,-0.04,-0.12
40,-0.76,9.43,-1.88,0.01,-0.0,-0.03,-0.12
60,-0.74,9.51,-1.75,0.01,-0.03,-0.04,-0.12
80,-0.48,9.51,-1.67,0.0,-0.02,-0.04,-0.0
100,-0.6,9.64,-1.84,0.0,-0.02,-0.04,-0.0
120,-0.67,9.53,-1.76,0.0,-0.03,-0.03,0.07
140,-0.89,9.54,-1.65,0.0,-0.04,-0.03,0.07
160,-0.71,9.47,-1.8,0.01,-0.03,-0.03,0.07
180,-0.58,9.5,-1.73,0.01,-0.03,-0.03,0.05
200,-0.42,9.67,-1.71,0.01,-0.01,-0.04,0.05
220,-0.77,9.58,-1.71,0.02,0.01,-0.05,0.05
240,-0.75,9.57,-1.77,0.01,-0.0,-0.04,0.05
260,-0.79,9.5,-1.8,0.01,-0.02,-0.03,0.05
280,-0.79,9.44,-1.7,0.0,-0.03,-0.03,-0.07
300,-0.63,9.56,-1.73,0.01,-0.02,-0.03,-0.07
320,-0.49,9.6,-1.81,0.02,0.01,-0.04,-0.14
340,-0.83,9.53,-1.65,0.01,0.01,-0.03,-0.14
360,-0.84,9.57,-1.81,0.01,-0.02,-0.03,-0.14
380,-0.58,9.51,-1.82,-0.0,-0.05,-0.03,-0.11
400,-0.31,9.63,-1.86,0.0,-0.04,-0.03,-0.11
420,-0.8,9.56,-1.65,0.01,0.0,-0.04,-0.11
440,-0.87,9.49,-1.78,0.0,-0.01,-0.04,-0.11
460,-0.51,9.54,-1.73,0.0,-0.03,-0.03,-0.11
480,-0.61,9.62,-1.79,0.0,-0.01,-0.05,0.04
500,-0.7,9.63,-1.81,0.0,-0.01,-0.04,0.04
520,-0.86,9.56,-1.86,0.0,-0.03,-0.04,-0.12
540,-0.77,9.48,-1.77,0.0,-0.04,-0.03,-0.12
560,-0.63,9.51,-1.72,0.0,-0.03,-0.03,-0.12
580,-0.64,9.55,-1.72,0.01,-0.02,-0.04,-0.02
600,-0.64,9.57,-1.7,0.02,0.01,-0.04,-0.02
620,-0.8,9.5,-1.97,0.0,0.01,-0.04,-0.02
640,-0.96,9.5,-1.73,0.01,-0.02,-0.03,-0.02
660,-0.56,9.51,-1.75,0.01,-0.05,-0.02,-0.02
680,-0.47,9.58,-1.76,0.01,-0.03,-0.03,-0.09
700,-0.41,9.54,-1.8,0.01,-0.02,-0.04,-0.09
720,-0.91,9.51,-1.7,0.01,-0.0,-0.04,0.1
740,-0.84,9.51,-1.9,0.0,-0.02,-0.03,0.1
760,-0.77,9.52,-1.55,0.0,-0.03,-0.03,0.1
780,-0.67,9.58,-1.73,0.0,-0.01,-0.03,-0.02
800,-0.69,9.58,-1.69,0.01,-0.01,-0.03,-0.02
820,-0.76,9.57,-1.75,0.01,-0.02,-0.03,-0.02
840,-0.8,9.49,-1.72,0.0,-0.02,-0.03,-0.02
860,-0.68,9.49,-1.77,0.01,-0.02,-0.03,-0.02
880,-0.82,9.57,-1.61,0.01,-0.01,-0.02,-0.22
900,-0.67,9.5,-1.68,0.01,-0.02,-0.02,-0.22
920,-0.62,9.59,-1.79,0.01,-0.02,-0.03,-0.28
940,-0.82,9.56,-1.77,-0.0,-0.03,-0.03,-0.28
960,-0.55,9.55,-1.68,0.01,-0.03,-0.03,-0.28
980,-0.71,9.59,-1.74,0.01,-0.0,-0.03,-0.31
1000,-0.84,9.44,-1.85,0.0,-0.02,-0.03,-0.31
1020,-0.64,9.52,-1.67,0.0,-0.03,-0.02,-0.31
1040,-0.57,9.51,-1.71,0.0,-0.02,-0.03,-0.31
1060,-0.62,9.52,-1.69,0.01,-0.02,-0.04,-0.31
1080,-0.71,9.55,-1.72,0.0,-0.02,-0.03,-0.38
1100,-0.66,9.49,-1.61,0.01,-0.03,-0.03,-0.38
1120,-0.59,9.63,-1.81,0.0,-0.03,-0.03,-0.29
1140,-0.66,9.58,-1.72,0.01,-0.03,-0.03,-0.29
1160,-0.78,9.64,-1.72,0.0,-0.03,-0.03,-0.29
1180,-0.65,9.5,-1.6,0.0,-0.04,-0.03,-0.12
1200,-0.74,9.55,-1.77,0.0,-0.04,-0.04,-0.12
1220,-0.49,9.52,-1.66,0.01,-0.03,-0.04,-0.12
1240,-0.69,9.67,-1.6,0.01,-0.01,-0.05,-0.12
1260,-0.93,9.55,-1.7,0.01,-0.02,-0.04,-0.12
1280,-0.76,9.47,-1.74,0.01,-0.03,-0.03,-0.23
1300,-0.6,9.61,-1.75,0.01,-0.03,-0.03,-0.23
1320,-0.61,9.53,-1.74,0.0,-0.03,-0.04,-0.21
1340,-0.58,9.53,-1.53,0.01,-0.02,-0.04,-0.21
1360,-0.8,9.55,-1.79,0.02,0.01,-0.04,-0.21
1380,-0.75,9.55,-1.76,0.02,-0.02,-0.03,-0.2
1400,-0.73,9.48,-1.84,0.01,-0.03,-0.04,-0.2
1420,-0.72,9.55,-1.82,0.01,-0.02,-0.05,-0.2
1440,-0.71,9.64,-1.64,0.01,-0.04,-0.03,-0.2
1460,-0.78,9.53,-1.76,0.01,-0.03,-0.04,-0.2
1480,-0.68,9.53,-1.72,0.01,-0.02,-0.04,-0.07
1500,-0.68,9.52,-1.75,0.01,-0.01,-0.05,-0.07
1520,-0.67,9.63,-1.7,0.01,0.01,-0.04,-0.19
1540,-0.95,9.5,-1.73,0.01,0.01,-0.05,-0.19
1560,-0.74,9.48,-1.79,0.01,-0.03,-0.04,-0.19
1580,-0.69,9.52,-1.74,0.0,-0.03,-0.04,-0.23
1600,-0.69,9.65,-1.83,0.01,-0.02,-0.05,-0.23
1620,-0.6,9.6,-1.65,0.01,-0.0,-0.05,-0.23
1640,-0.9,9.54,-1.59,0.01,0.01,-0.06,-0.23
1660,-1.06,9.57,-1.65,0.01,0.01,-0.04,-0.23
