Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,-1.1,9.2,-2.92,0.05,-0.02,0.1,-1.15
20,-1.15,9.33,-2.69,0.04,-0.02,0.13,-1.07
40,-0.58,9.41,-2.79,0.03,-0.1,0.16,-1.07
60,-0.02,9.25,-2.86,0.02,-0.08,0.12,-0.81
80,0.17,9.18,-2.71,0.03,-0.02,0.07,-0.81
100,0.15,9.45,-2.98,0.01,0.03,0.01,-0.81
120,-0.27,9.44,-3.33,-0.02,0.03,-0.02,-0.81
140,0.39,9.35,-3.38,-0.07,-0.0,-0.06,-0.81
160,0.05,9.65,-3.66,-0.12,0.13,-0.12,-0.98
180,-0.88,9.47,-3.38,-0.19,0.08,-0.14,-0.98
200,-0.51,9.46,-2.89,-0.25,-0.12,-0.12,-0.98
220,-0.49,9.42,-2.48,-0.25,-0.13,-0.12,-1.03
240,-0.67,9.24,-2.55,-0.23,-0.04,-0.11,-1.03
260,-0.69,9.25,-2.2,-0.21,-0.08,-0.09,-1.1
280,-0.98,9.18,-2.56,-0.2,-0.1,-0.06,-1.1
300,-0.42,9.32,-2.77,-0.2,-0.04,-0.05,-1.1
320,0.55,9.34,-2.2,-0.18,-0.04,-0.09,-1.15
340,-0.53,9.71,-2.5,-0.17,0.03,-0.12,-1.15
360,-1.42,9.63,-2.25,-0.23,0.12,-0.1,-1.15
380,-1.29,9.56,-1.91,-0.22,-0.08,-0.05,-1.15
400,-1.74,9.5,-2.36,-0.22,-0.09,-0.0,-1.15
420,-1.46,9.52,-2.03,-0.21,-0.28,0.09,-1.04
440,-0.74,9.57,-2.29,-0.22,-0.35,0.12,-1.04
460,-0.11,9.27,-1.88,-0.18,-0.33,0.15,-1.26
480,-0.51,9.6,-2.05,-0.18,-0.18,0.1,-1.26
500,-0.63,9.52,-1.8,-0.2,-0.1,0.12,-1.26
520,-0.17,9.58,-1.84,-0.14,-0.19,0.13,-1.02
540,-0.71,9.58,-1.9,-0.16,-0.08,0.1,-1.02
560,-0.78,9.47,-1.76,-0.14,-0.14,0.14,-1.02
580,0.58,9.65,-2.39,-0.13,-0.03,0.19,-1.02
600,-0.87,9.73,-1.77,-0.17,0.03,0.12,-1.02
620,-0.91,9.66,-1.63,-0.14,-0.17,0.17,-0.86
640,0.8,10.18,-2.09,-0.04,-0.18,0.23,-0.86
660,-1.51,10.74,-1.64,-0.09,0.02,0.17,-1.01
680,-1.21,9.02,-1.41,-0.09,-0.22,0.23,-1.01
700,0.57,9.1,-1.69,-0.09,-0.3,0.18,-1.01
720,0.9,9.26,-1.56,-0.12,-0.23,0.07,-0.83
740,0.3,8.95,-1.34,-0.17,-0.26,-0.05,-0.83
760,1.63,8.74,-1.28,-0.14,-0.32,-0.1,-0.83
780,-1.19,9.22,-1.4,-0.11,-0.06,-0.16,-0.83
800,-1.84,8.65,-0.27,-0.09,-0.24,-0.0,-0.83
820,-0.98,8.86,-0.46,-0.08,-0.13,0.03,-0.93
840,0.9,8.94,-2.45,-0.05,-0.14,0.02,-0.93
860,0.64,10.81,-3.11,-0.02,0.0,-0.05,-0.95
880,-0.83,11.19,-2.24,-0.12,-0.08,-0.03,-0.95
900,2.3,10.54,-3.03,-0.22,-0.18,-0.13,-0.95
920,3.61,10.15,-4.37,-0.4,0.03,-0.44,-1.02
940,3.15,10.77,-5.64,-0.65,0.01,-0.84,-1.02
960,4.32,11.47,-6.06,-1.02,-0.27,-1.39,-1.02
980,6.61,12.57,-5.43,-1.27,-0.23,-1.96,-1.02
1000,1.19,14.6,-6.05,-1.42,0.15,-2.34,-1.02
1020,-5.55,12.9,-4.93,-1.26,0.1,-2.35,-0.81
1040,-8.64,11.23,-3.57,-1.04,-0.24,-2.12,-0.81
1060,-3.44,10.74,-3.48,-0.98,-0.18,-1.59,-1.4
1080,1.59,7.64,-2.4,-0.89,0.55,-1.51,-1.4
1100,-1.17,5.79,-3.23,-0.41,1.24,-1.45,-1.4
1120,-2.26,5.0,-1.77,0.06,0.92,-0.95,-1.35
1140,-2.29,6.28,-2.21,0.48,0.25,-0.33,-1.35
1160,0.15,6.02,-1.68,0.69,-0.04,0.27,-1.35
