Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,-0.72,9.56,-1.9,-0.01,0.03,-0.06,-0.33
20,-0.76,9.43,-1.97,-0.01,0.01,-0.04,-0.33
40,-0.47,9.48,-2.12,-0.02,-0.0,-0.05,-0.33
60,-0.57,9.59,-1.93,-0.01,0.01,-0.05,-0.33
80,-0.9,9.56,-1.87,-0.01,0.02,-0.04,-0.59
100,-0.71,9.49,-1.92,-0.01,-0.03,-0.02,-0.59
120,-0.53,9.51,-2.0,-0.01,-0.05,-0.03,-0.59
140,-0.5,9.43,-1.98,-0.0,-0.03,-0.03,-0.36
160,-0.7,9.61,-2.11,0.01,0.0,-0.01,-0.36
180,-0.76,9.57,-1.93,0.02,-0.04,0.0,-0.58
200,-0.69,9.41,-1.83,0.01,-0.03,0.01,-0.58
220,-0.66,9.49,-1.83,0.01,-0.06,0.01,-0.58
240,-0.34,9.46,-1.94,0.01,-0.07,0.01,-0.58
260,-0.31,9.6,-1.91,0.01,-0.05,0.0,-0.58
280,-0.84,9.68,-1.75,0.02,-0.04,0.01,-0.66
300,-1.2,9.66,-2.24,0.02,-0.04,0.04,-0.66
320,-0.67,9.47,-2.39,0.01,-0.12,0.08,-0.66
340,0.11,9.53,-2.18,-0.0,-0.13,0.07,-0.56
360,0.09,9.57,-1.94,-0.01,-0.05,0.0,-0.56
380,-0.57,9.55,-2.03,-0.02,-0.01,-0.0,-0.4
400,-0.7,9.47,-1.87,-0.03,-0.07,0.0,-0.4
420,-0.01,9.78,-2.13,-0.02,-0.1,0.01,-0.4
440,-0.62,9.58,-1.93,-0.04,-0.03,-0.01,-0.4
460,-1.64,9.5,-1.32,-0.04,-0.18,0.01,-0.4
480,-0.7,9.69,-1.94,-0.05,-0.33,0.08,-0.49
500,-0.24,9.71,-2.34,-0.06,-0.26,0.07,-0.49
520,0.58,9.71,-2.75,-0.03,-0.12,0.07,-0.49
540,-0.85,9.62,-2.1,-0.07,-0.04,0.04,-0.33
560,-0.85,9.3,-2.43,-0.07,-0.12,0.07,-0.33
580,0.06,9.23,-2.15,-0.11,-0.09,0.05,-0.41
600,0.39,9.38,-1.62,-0.12,-0.05,0.01,-0.41
620,-0.14,10.27,-1.99,-0.1,0.07,-0.01,-0.41
640,-0.87,9.59,-1.92,-0.12,0.05,0.01,-0.48
660,-0.89,9.52,-2.36,-0.13,-0.02,0.04,-0.48
680,-0.67,8.97,-1.59,-0.15,-0.06,0.05,-0.52
700,0.04,9.62,-1.32,-0.15,-0.16,0.03,-0.52
720,1.1,10.1,-2.14,-0.17,-0.14,-0.02,-0.52
740,0.99,10.21,-1.8,-0.21,-0.07,-0.13,-0.32
760,0.94,9.96,-2.01,-0.25,-0.17,-0.26,-0.32
780,2.24,10.51,-3.62,-0.35,-0.28,-0.45,-0.27
800,2.3,10.79,-3.62,-0.49,-0.15,-0.66,-0.27
820,0.88,10.87,-3.49,-0.59,-0.1,-0.86,-0.27
840,0.67,12.09,-3.77,-0.66,-0.2,-1.02,-0.55
860,1.44,12.47,-5.02,-0.84,-0.31,-1.21,-0.55
880,2.77,12.53,-3.83,-0.97,-0.44,-1.4,-0.55
900,0.25,13.6,-4.41,-1.09,-0.23,-1.43,-0.55
920,-2.75,12.9,-4.05,-1.16,-0.28,-1.32,-0.55
940,-2.57,11.03,-4.28,-1.14,-0.59,-1.19,-0.44
960,-2.44,9.08,-4.58,-1.02,-0.47,-1.16,-0.44
980,-2.44,6.28,-1.34,-0.75,-0.17,-1.08,-0.44
1000,-4.85,5.66,-1.69,-0.33,0.37,-0.97,-0.44
1020,-5.01,5.86,-1.81,-0.01,0.31,-0.59,-0.44
1040,-2.13,6.05,-1.81,0.41,0.32,-0.22,-0.38
1060,2.37,4.54,-0.5,0.75,0.47,0.11,-0.38
1080,3.25,4.18,-1.01,1.34,0.86,0.38,-0.38
1100,1.13,4.7,-1.3,1.81,1.15,0.72,-0.38
1120,-0.75,6.34,-2.2,2.12,1.09,1.21,-0.38
1140,0.05,7.61,-1.9,2.19,0.85,1.78,-0.4
1160,0.24,8.41,-1.56,2.21,0.62,2.2,-0.4
1180,-0.43,9.1,-1.81,2.27,0.4,2.52,-0.51
1200,0.38,10.31,-2.05,2.19,0.29,2.75,-0.51
1220,1.91,11.28,-2.11,2.02,0.54,2.83,-0.51
1240,2.52,11.19,-2.13,1.81,1.22,2.65,-0.25
1260,1.69,12.09,-2.31,1.66,1.89,2.44,-0.25
1280,0.09,12.37,-2.42,1.43,2.04,2.31,-0.25
1300,-0.31,11.94,-2.27,1.13,1.67,2.17,-0.25
1320,-0.11,10.93,-2.52,0.74,1.21,1.97,-0.25
1340,0.06,9.8,-1.93,0.44,0.84,1.5,-0.62
1360,-0.15,9.5,-1.72,0.37,0.8,0.9,-0.62
1380,0.17,9.21,-1.1,0.24,0.51,0.46,-0.62
1400,0.9,9.66,-0.92,-0.08,0.25,0.01,-0.62
1420,1.22,10.01,-0.84,-0.33,0.29,-0.54,-0.62
1440,1.41,9.34,-1.23,-0.57,0.66,-1.04,-0.58
1460,1.1,9.43,-0.79,-0.78,0.78,-1.57,-0.58
1480,-0.34,7.85,-5.06,-0.44,1.3,-1.93,-0.58
1500,5.15,8.54,-10.22,0.34,0.3,-0.57,-0.58
1520,12.64,12.6,-7.48,-0.38,-2.98,0.59,-0.58
1540,3.77,13.48,-0.71,-0.92,-2.83,-0.47,-0.73
1560,-3.66,11.6,-6.15,-0.69,-0.29,-2.06,-0.73
1580,8.04,10.02,2.1,-0.34,0.27,-1.42,-0.73
1600,-0.91,9.36,0.93,0.09,0.48,-2.21,-0.73
1620,-5.66,9.13,-6.09,0.12,-0.24,-1.79,-0.73
1640,-8.13,9.3,-3.12,-0.23,-0.9,-1.19,-0.27
1660,1.89,8.98,-3.08,-0.17,-1.24,-0.88,-0.27
1680,2.08,9.84,-4.16,-0.19,0.03,-0.98,-0.27
1700,-4.24,9.67,-3.83,-0.29,0.01,-0.87,-0.27
1720,-2.31,9.29,-3.11,-0.25,-0.62,-0.54,-0.27
1740,1.2,8.84,-3.34,-0.21,-0.42,-0.46,-0.62
1760,-0.97,8.84,-4.06,-0.17,0.11,-0.43,-0.62
1780,-1.68,8.8,-3.78,-0.16,-0.04,-0.29,-0.68
1800,0.59,8.3,-3.63,-0.15,-0.08,-0.22,-0.68
1820,-0.61,9.6,-3.96,-0.09,0.45,-0.24,-0.68
1840,-0.96,9.28,-2.34,-0.11,0.44,-0.2,-0.37
1860,-0.44,9.6,-1.55,-0.09,0.28,-0.17,-0.37
1880,-1.05,9.33,-3.51,-0.09,0.07,-0.15,-0.37
1900,-1.08,9.08,-3.58,-0.09,-0.06,-0.14,-0.37
1920,1.64,9.17,-3.46,-0.11,-0.17,-0.2,-0.37
1940,1.04,9.26,-3.79,-0.14,-0.1,-0.34,-0.35
1960,0.36,9.52,-3.6,-0.19,-0.12,-0.45,-0.35
1980,1.65,9.03,-4.4,-0.24,-0.17,-0.59,-0.3
2000,1.1,9.37,-3.39,-0.28,-0.11,-0.74,-0.3
2020,-0.73,9.53,-3.17,-0.31,-0.08,-0.8,-0.3
2040,-2.11,9.48,-3.0,-0.34,-0.32,-0.81,-0.38
2060,0.55,9.15,-3.5,-0.35,-0.45,-0.78,-0.38
2080,-0.54,9.54,-3.6,-0.41,-0.36,-0.91,-0.38
2100,-2.12,9.45,-1.93,-0.44,-0.52,-0.94,-0.38
2120,-0.93,9.31,-2.79,-0.45,-0.68,-0.97,-0.38
2140,-0.69,8.87,-3.62,-0.48,-0.56,-1.0,-0.38
2160,-3.44,9.38,-2.45,-0.51,-0.47,-1.04,-0.38
2180,-3.91,9.07,-2.04,-0.52,-0.77,-0.94,-0.61
2200,-2.54,9.15,-2.26,-0.56,-0.91,-0.87,-0.61
2220,-4.31,9.82,-0.98,-0.57,-0.96,-0.86,-0.61
2240,-2.47,9.47,-1.82,-0.56,-0.79,-0.72,-0.41
2260,-2.37,9.23,-2.89,-0.6,-0.59,-0.78,-0.41
2280,-3.23,10.17,-2.52,-0.68,-0.72,-0.81,-0.41
2300,-3.87,11.13,-1.28,-0.78,-0.96,-0.82,-0.41
2320,-0.95,11.31,-1.59,-0.9,-0.92,-0.77,-0.41
2340,-0.66,11.71,-2.24,-1.02,-0.44,-0.99,-0.58
2360,-2.62,12.48,-2.79,-1.11,-0.19,-1.11,-0.58
2380,-3.33,13.32,-3.4,-1.17,-0.11,-1.16,-0.42
2400,-1.77,12.71,-3.21,-1.15,-0.39,-1.2,-0.42
2420,-3.16,12.07,-1.67,-1.03,-0.68,-1.25,-0.42
2440,-1.81,13.4,-2.87,-1.08,-0.86,-1.15,-0.44
2460,1.92,13.19,-4.75,-1.12,-0.91,-1.29,-0.44
2480,2.49,12.38,-5.57,-1.06,-1.14,-1.72,-0.44
2500,0.9,12.9,-7.6,-1.24,-1.4,-2.07,-0.44
2520,0.01,11.67,-9.11,-1.56,-1.49,-2.06,-0.44
2540,2.07,7.43,-5.33,-1.18,-0.77,-1.95,-0.64
2560,-3.7,2.91,-3.43,-0.12,0.39,-2.04,-0.64
2580,-10.92,4.85,-3.32,0.69,0.47,-1.75,-0.94
2600,-9.35,7.72,-3.04,0.96,-0.02,-0.72,-0.94
2620,-0.64,5.03,-0.42,0.91,-0.66,0.63,-0.94
2640,0.91,3.52,0.74,1.36,-0.29,1.02,-0.87
2660,-0.69,4.71,0.09,1.86,0.66,1.36,-0.87
2680,-0.44,5.77,0.8,2.27,1.22,2.1,-0.87
2700,-1.94,7.37,1.75,2.54,1.28,2.65,-0.87
2720,-3.54,8.92,1.87,2.42,1.03,3.21,-0.87
2740,-2.8,9.53,2.53,2.24,1.12,3.8,-0.91
2760,-1.34,9.5,2.88,2.28,1.28,3.99,-0.91
2780,-0.74,11.21,2.52,2.24,1.84,4.09,-0.84
2800,-1.48,11.64,2.7,2.12,2.81,4.06,-0.84
2820,-2.44,11.51,2.3,1.89,3.64,3.9,-0.84
2840,-4.9,12.66,1.09,1.57,3.97,3.7,-0.76
2860,-7.35,13.37,-0.61,1.13,3.57,3.69,-0.76
2880,-6.33,13.34,-0.77,0.48,2.47,3.64,-0.76
2900,-4.61,12.04,-0.74,0.31,2.09,3.24,-0.76
2920,-3.96,10.96,-1.4,0.44,1.96,2.64,-0.76
2940,-5.5,9.61,-1.45,0.33,1.48,1.8,-0.78
2960,-5.05,9.72,-2.13,0.16,0.64,1.03,-0.78
2980,-3.19,8.76,-2.13,-0.11,-0.06,0.28,-0.73
