Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,-0.76,9.55,-1.92,0.02,0.02,-0.04,0.46
20,-0.84,9.43,-1.79,0.01,-0.01,-0.03,0.46
40,-0.53,9.48,-1.72,0.0,-0.06,-0.02,0.46
60,-0.06,9.64,-2.02,0.03,-0.04,-0.03,0.36
80,-0.76,9.71,-1.97,0.01,0.04,-0.04,0.36
100,-0.7,9.51,-2.01,0.01,-0.01,-0.02,0.37
120,-0.47,9.52,-2.02,0.0,-0.03,-0.02,0.37
140,-0.41,9.51,-2.04,-0.01,-0.03,-0.03,0.37
160,-0.11,9.61,-1.8,-0.0,-0.02,-0.04,0.38
180,-0.75,9.61,-1.87,-0.01,0.04,-0.04,0.38
200,-1.14,9.48,-1.97,-0.01,-0.02,-0.01,0.38
220,-0.44,9.44,-1.95,-0.02,-0.07,0.01,0.38
240,-0.38,9.65,-1.9,-0.01,-0.03,0.02,0.38
260,-0.92,9.61,-1.83,-0.01,0.01,0.02,0.44
280,-0.66,9.39,-2.02,-0.02,-0.05,0.06,0.44
300,-0.42,9.63,-1.85,-0.02,-0.05,0.06,0.33
320,-0.55,9.68,-1.77,-0.02,-0.08,0.06,0.33
340,0.09,9.52,-2.35,-0.03,-0.05,0.05,0.33
360,-0.22,9.7,-2.02,-0.04,-0.01,0.0,0.3
380,-0.51,9.46,-1.73,-0.05,-0.06,-0.0,0.3
400,0.02,9.56,-1.67,-0.04,-0.07,-0.01,0.3
420,-0.46,9.67,-1.64,-0.04,-0.03,-0.03,0.3
440,-1.03,9.68,-1.74,-0.04,-0.05,0.0,0.3
460,-0.74,9.45,-1.75,-0.04,-0.13,0.03,0.25
480,-0.01,9.34,-1.56,-0.04,-0.13,0.03,0.25
500,-0.21,9.61,-1.61,-0.01,-0.06,0.0,0.63
520,-0.59,9.75,-1.71,-0.02,-0.08,0.03,0.63
540,-0.5,9.22,-1.6,-0.02,-0.1,0.03,0.63
560,-0.33,9.55,-1.2,-0.03,-0.19,0.02,0.25
580,0.37,9.75,-2.3,-0.02,-0.05,-0.01,0.25
600,-1.12,9.65,-2.4,-0.04,-0.01,-0.01,0.25
620,-0.59,9.55,-2.17,-0.06,-0.14,0.03,0.25
640,0.14,9.59,-1.75,-0.07,-0.1,0.02,0.25
660,-0.11,9.6,-1.65,-0.08,-0.03,-0.01,0.37
680,-0.3,9.49,-1.66,-0.1,-0.01,-0.02,0.37
700,-0.49,9.81,-1.66,-0.09,-0.02,0.0,0.56
720,-0.66,9.63,-1.46,-0.09,-0.02,0.03,0.56
740,-0.89,9.46,-1.44,-0.09,-0.04,0.05,0.56
760,-0.28,9.31,-1.25,-0.08,-0.07,0.07,0.34
780,0.17,9.85,-1.44,-0.09,-0.02,0.05,0.34
800,-0.03,9.71,-2.21,-0.1,-0.0,0.01,0.34
820,1.26,9.53,-1.93,-0.12,-0.06,-0.07,0.34
840,2.99,9.99,-2.57,-0.19,0.07,-0.28,0.34
860,1.25,10.46,-3.88,-0.29,0.16,-0.5,0.34
880,0.53,10.51,-3.7,-0.43,-0.09,-0.61,0.34
900,1.48,10.93,-4.01,-0.59,-0.16,-0.76,0.11
920,1.45,11.77,-4.99,-0.72,-0.1,-0.98,0.11
940,1.14,12.06,-5.79,-0.99,-0.15,-1.22,0.11
960,0.9,12.23,-7.0,-1.18,-0.23,-1.43,0.31
980,0.6,10.75,-6.25,-1.17,-0.14,-1.56,0.31
1000,-3.41,10.62,-4.77,-1.03,0.05,-1.74,0.24
1020,-4.57,10.42,-2.44,-0.97,-0.01,-1.53,0.24
1040,-4.52,8.63,-2.54,-0.5,0.64,-1.5,0.24
1060,0.95,6.49,-2.61,-0.21,1.4,-1.18,0.24
1080,0.59,4.44,-2.02,0.52,1.63,-1.02,0.24
1100,-1.05,4.08,-2.69,1.23,1.57,-0.42,0.06
1120,-1.09,5.33,-3.0,1.62,0.91,0.25,0.06
1140,-0.66,6.7,-2.48,1.8,0.21,0.99,0.06
1160,0.08,7.43,-2.75,2.0,-0.28,1.59,-0.19
1180,1.41,8.33,-2.12,2.11,-0.55,2.03,-0.19
1200,2.82,8.93,-1.55,2.22,-0.26,2.31,-0.22
1220,3.17,10.07,-1.9,2.32,0.37,2.45,-0.22
1240,3.29,11.07,-2.06,2.23,1.08,2.54,-0.22
1260,2.26,11.18,-2.14,2.0,1.67,2.51,-0.22
1280,1.41,13.47,-3.35,1.7,1.93,2.56,-0.22
1300,1.78,12.11,-2.47,1.23,1.85,2.61,0.01
