Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,-0.73,9.49,-1.89,-0.0,-0.02,0.0,-0.2
20,-0.71,9.57,-1.93,0.01,-0.01,0.01,-0.2
40,-0.96,9.56,-2.04,-0.0,-0.02,0.01,-0.16
60,-0.66,9.47,-2.08,-0.01,-0.06,0.01,-0.16
80,-0.54,9.47,-2.05,-0.02,-0.05,0.01,-0.16
100,-0.58,9.6,-1.94,-0.02,-0.04,-0.0,-0.03
120,-0.57,9.59,-1.93,-0.03,-0.05,-0.01,-0.03
140,-0.4,9.37,-1.81,-0.03,-0.05,-0.02,-0.26
160,-0.67,9.52,-2.06,-0.04,-0.02,-0.04,-0.26
180,-0.78,9.47,-1.82,-0.03,-0.04,-0.02,-0.26
200,-0.47,9.51,-1.78,-0.01,-0.07,-0.02,-0.26
220,-0.79,9.57,-1.96,-0.02,-0.01,-0.01,-0.26
240,-1.17,9.59,-2.08,-0.02,-0.03,0.01,-0.1
260,-0.7,9.45,-1.84,-0.03,-0.06,0.03,-0.1
280,-0.55,9.4,-1.62,-0.02,-0.04,0.02,-0.1
300,-0.22,9.62,-1.9,-0.02,-0.05,0.0,0.02
320,-0.78,9.62,-1.84,-0.02,-0.0,-0.0,0.02
340,-0.96,9.51,-1.98,-0.02,-0.04,0.02,-0.16
360,-0.65,9.5,-1.99,-0.03,-0.08,0.03,-0.16
380,-0.63,9.46,-1.82,-0.05,-0.08,0.02,-0.16
400,-0.06,9.62,-1.71,-0.01,-0.07,0.02,-0.16
420,-0.82,9.5,-1.66,-0.01,0.01,0.01,-0.16
440,-0.99,9.6,-1.78,-0.0,-0.02,0.05,-0.08
460,-1.03,9.39,-2.0,-0.01,-0.03,0.07,-0.08
480,-0.84,9.44,-1.84,-0.02,-0.07,0.09,-0.08
500,-0.22,9.55,-1.87,-0.02,-0.08,0.08,-0.24
520,-0.3,9.62,-1.81,-0.01,-0.01,0.08,-0.24
540,-0.39,9.57,-1.72,-0.0,-0.0,0.08,-0.28
560,-1.0,9.58,-1.73,-0.01,0.03,0.09,-0.28
580,-0.79,9.44,-1.92,-0.01,-0.02,0.12,-0.28
600,-0.62,9.56,-1.73,-0.02,-0.06,0.13,-0.28
620,-0.18,9.6,-1.57,-0.02,-0.08,0.12,-0.28
640,-0.08,9.6,-1.9,-0.02,-0.0,0.1,-0.16
660,-0.21,9.63,-2.15,-0.02,0.0,0.1,-0.16
