Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,-0.83,9.25,-2.67,0.19,0.07,-0.07,-0.33
20,-1.78,9.54,-2.28,0.18,0.04,-0.06,-0.33
40,-1.34,9.17,-2.94,0.19,0.04,-0.04,-0.33
60,-1.25,9.34,-2.9,0.17,0.03,-0.05,-0.33
80,-1.08,9.19,-2.71,0.14,0.03,-0.06,-0.33
100,-1.29,9.57,-2.8,0.14,0.04,-0.09,-0.45
120,-0.86,9.11,-2.8,0.12,0.14,-0.08,-0.45
140,-1.16,9.21,-3.04,0.13,0.24,-0.1,-0.46
160,-2.37,9.25,-2.58,0.14,0.38,-0.07,-0.46
180,-2.63,9.34,-2.39,0.14,0.24,0.05,-0.46
200,-1.77,9.33,-2.5,0.15,0.09,0.11,-0.67
220,-0.45,9.13,-2.69,0.15,0.08,0.08,-0.67
240,-0.68,9.26,-3.56,0.15,0.18,0.02,-0.67
260,-0.93,9.12,-3.44,0.12,0.14,-0.02,-0.67
280,-0.54,9.24,-2.79,0.1,0.08,-0.05,-0.67
300,-0.81,9.33,-2.76,0.1,0.15,-0.11,-0.59
320,-1.68,9.26,-2.66,0.1,0.07,-0.09,-0.59
340,-2.29,9.26,-2.83,0.09,0.01,-0.05,-0.49
360,-1.61,8.92,-2.91,0.09,-0.04,0.04,-0.49
380,-1.37,9.49,-2.88,0.11,-0.06,0.03,-0.49
400,-0.82,9.43,-3.02,0.1,-0.09,0.04,-0.2
420,-2.02,9.24,-3.96,0.06,-0.01,0.06,-0.2
440,-1.19,8.98,-4.41,0.02,-0.11,0.11,-0.2
460,-0.71,9.29,-3.28,-0.03,-0.07,0.09,-0.2
480,-0.84,9.32,-3.18,-0.06,0.01,0.07,-0.2
500,-0.8,9.12,-3.02,-0.07,-0.01,0.03,-0.16
520,-0.34,9.17,-2.62,-0.06,-0.01,-0.0,-0.16
540,-1.49,9.21,-2.93,-0.05,0.07,-0.01,-0.32
560,-1.87,9.25,-2.93,-0.04,-0.05,0.03,-0.32
580,-1.19,9.42,-3.37,-0.06,-0.11,0.05,-0.32
600,-0.44,9.31,-3.7,-0.1,-0.11,0.03,-0.28
620,-1.04,9.45,-3.15,-0.14,-0.12,-0.0,-0.28
640,-1.03,9.28,-3.27,-0.19,-0.22,0.01,-0.28
660,-0.61,9.23,-3.1,-0.21,-0.27,-0.02,-0.28
680,-1.11,9.25,-2.69,-0.24,-0.19,-0.05,-0.28
700,-0.5,9.21,-2.45,-0.21,-0.21,-0.06,-0.32
720,-1.38,9.34,-2.38,-0.2,-0.19,-0.07,-0.32
740,-1.44,9.31,-2.59,-0.19,-0.15,-0.02,-0.28
760,-1.25,9.14,-2.55,-0.19,-0.17,-0.0,-0.28
780,-1.15,9.21,-2.4,-0.18,-0.19,0.0,-0.28
800,-1.11,9.56,-2.75,-0.18,-0.21,0.02,-0.61
820,-1.35,9.43,-2.66,-0.19,-0.17,0.02,-0.61
840,-1.47,9.33,-2.4,-0.2,-0.27,0.04,-0.61
860,-0.08,9.68,-2.64,-0.22,-0.3,-0.02,-0.61
880,0.89,9.56,-2.88,-0.27,-0.23,-0.15,-0.61
900,0.43,9.91,-3.22,-0.3,-0.16,-0.34,-0.57
920,0.56,10.41,-3.04,-0.37,-0.22,-0.49,-0.57
940,0.64,10.92,-3.61,-0.48,-0.35,-0.74,-0.49
960,1.09,11.7,-3.87,-0.57,-0.71,-1.03,-0.49
980,1.75,13.59,-3.86,-0.6,-1.13,-1.37,-0.49
1000,0.51,15.11,-5.38,-0.58,-1.23,-1.61,-0.27
1020,-0.47,16.04,-5.1,-0.76,-1.41,-1.69,-0.27
1040,-3.52,14.5,-3.96,-0.79,-1.47,-1.78,-0.27
1060,-8.37,12.75,-2.18,-0.66,-1.9,-2.03,-0.27
1080,-10.98,16.11,-4.52,-0.54,-1.8,-2.23,-0.27
1100,-6.91,13.85,-1.65,-0.96,-2.39,-1.96,-0.22
1120,-5.42,13.63,-0.55,-0.91,-2.12,-2.07,-0.22
1140,-2.79,11.76,-0.27,-0.96,-1.34,-2.04,-0.3
1160,-2.17,9.03,0.73,-0.78,-0.55,-1.94,-0.3
1180,-0.9,7.52,0.42,-0.63,0.21,-1.75,-0.3
1200,-0.81,5.51,0.03,-0.45,0.93,-1.49,-0.32
1220,-0.42,4.8,-0.63,-0.3,1.44,-1.02,-0.32
1240,-2.25,2.4,-0.16,-0.14,1.51,-0.49,-0.32
1260,-2.21,2.09,-0.28,0.07,1.46,0.06,-0.32
1280,-2.68,1.95,-0.44,0.3,1.13,0.62,-0.32
1300,-1.92,1.58,-0.3,0.56,0.81,1.15,-0.43
1320,-0.69,1.87,0.15,0.78,0.73,1.57,-0.43
1340,-1.24,2.24,0.56,0.95,1.0,1.87,-0.45
1360,-1.81,3.28,0.7,1.01,1.12,2.1,-0.45
1380,-2.19,4.01,1.06,1.04,1.04,2.2,-0.45
1400,-4.43,6.43,0.28,1.13,0.92,2.28,-0.47
1420,-4.37,7.96,0.45,0.91,0.59,2.31,-0.47
1440,-4.04,7.86,1.03,0.72,0.46,2.1,-0.47
1460,-5.42,8.17,0.83,0.75,0.51,1.79,-0.47
1480,-7.18,9.24,-0.18,0.5,0.81,1.38,-0.47
1500,-6.55,8.94,-1.38,0.4,0.89,0.98,-0.28
1520,-3.91,9.42,-0.37,0.17,0.42,0.6,-0.28
1540,-5.4,9.69,-1.93,0.09,0.26,0.26,-0.38
1560,-4.02,9.66,-1.51,-0.12,0.23,0.15,-0.38
1580,-3.46,8.76,-0.57,-0.27,0.06,-0.13,-0.38
1600,-3.97,6.99,-3.19,-0.07,0.72,-0.76,-0.57
1620,-3.68,11.38,-3.93,0.06,1.06,-0.91,-0.57
1640,-0.29,10.72,-4.06,-0.06,0.13,-0.79,-0.57
