Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,-1.25,9.4,-1.43,0.01,-0.01,0.02,0.16
20,-1.26,9.35,-1.37,0.02,0.01,0.01,0.16
40,-1.81,9.64,-1.28,0.05,0.04,0.03,-0.11
60,-1.64,9.5,-1.5,0.07,0.02,0.06,-0.11
80,-1.59,9.58,-1.86,0.06,-0.0,0.08,-0.11
100,-1.25,9.51,-1.73,0.05,-0.06,0.09,0.0
120,-0.84,9.55,-1.75,0.04,-0.05,0.07,0.0
140,-0.62,9.48,-2.05,0.02,-0.04,0.03,0.05
160,-1.61,9.49,-1.72,0.01,-0.04,0.01,0.05
180,-1.21,9.48,-1.62,0.0,-0.12,0.02,0.05
200,-0.73,9.48,-1.88,0.01,-0.07,-0.0,0.05
220,-1.23,9.38,-1.87,-0.0,-0.0,-0.01,0.05
240,-1.48,9.49,-1.6,-0.0,-0.02,0.01,-0.14
260,-1.24,9.56,-1.78,-0.01,-0.03,0.02,-0.14
280,-0.82,9.45,-1.82,-0.02,-0.01,0.01,-0.14
300,-1.25,9.45,-1.65,-0.02,0.01,0.01,-0.26
320,-1.13,9.47,-1.53,-0.02,-0.02,0.01,-0.26
340,-0.9,9.53,-1.76,-0.03,-0.02,-0.0,-0.22
360,-1.42,9.47,-1.7,-0.03,-0.02,-0.0,-0.22
380,-1.15,9.53,-1.61,-0.04,-0.07,0.0,-0.22
400,-0.94,9.45,-1.58,-0.04,-0.06,-0.0,-0.22
420,-0.91,9.39,-1.53,-0.02,-0.04,-0.01,-0.22
440,-1.16,9.57,-1.39,-0.02,0.01,-0.0,-0.39
460,-1.39,9.52,-1.48,-0.02,-0.01,0.0,-0.39
480,-1.05,9.52,-1.63,-0.02,-0.02,0.02,-0.39
500,-1.21,9.5,-1.65,-0.01,-0.01,0.02,-0.01
520,-1.42,9.48,-1.52,-0.01,-0.05,0.03,-0.01
540,-1.01,9.41,-1.6,-0.0,-0.06,0.04,-0.19
560,-0.93,9.57,-1.59,-0.02,-0.03,0.03,-0.19
580,-0.84,9.53,-1.69,-0.0,-0.06,0.01,-0.19
600,-0.83,9.56,-1.63,-0.02,-0.1,-0.0,-0.19
620,-0.86,9.54,-1.62,-0.03,-0.08,-0.02,-0.19
640,-0.93,9.41,-1.43,-0.0,-0.11,-0.03,-0.03
660,-0.92,9.53,-1.47,0.0,-0.08,-0.02,-0.03
680,-1.15,9.5,-1.49,0.01,-0.04,-0.03,-0.03
700,-1.07,9.5,-1.54,0.01,-0.02,-0.02,0.18
720,-0.97,9.54,-1.59,0.02,0.0,-0.03,0.18
740,-0.79,9.53,-1.44,0.03,0.01,-0.03,-0.21
760,-1.47,9.59,-1.61,0.02,0.04,-0.03,-0.21
780,-0.98,9.45,-1.55,0.03,-0.03,-0.01,-0.21
800,-0.8,9.49,-1.41,0.03,-0.02,-0.03,-0.21
820,-0.66,9.43,-1.32,0.05,0.03,-0.05,-0.21
840,-1.05,9.63,-1.72,0.07,0.1,-0.06,-0.16
860,-1.43,9.5,-1.55,0.06,0.08,-0.05,-0.16
880,-1.19,9.47,-1.59,0.04,0.04,-0.03,-0.16
900,-0.95,9.56,-1.73,0.04,0.08,-0.04,-0.05
920,-1.02,9.8,-1.66,0.01,0.04,-0.06,-0.05
940,0.03,9.42,-1.77,0.03,0.08,-0.08,-0.1
960,-1.53,9.76,-2.08,0.01,0.12,-0.16,-0.1
980,-0.68,9.83,-1.81,-0.01,0.01,-0.16,-0.1
1000,0.0,10.32,-2.58,-0.08,-0.13,-0.26,-0.1
1020,1.02,10.34,-3.22,-0.2,-0.25,-0.44,-0.1
1040,0.89,11.93,-3.33,-0.3,-0.28,-0.68,-0.21
1060,-0.21,13.34,-3.66,-0.36,-0.24,-0.82,-0.21
1080,-0.01,12.76,-5.24,-0.4,-0.34,-1.01,-0.21
1100,-0.85,13.8,-4.13,-0.6,-0.7,-1.06,-0.17
1120,-2.45,13.46,-3.97,-0.66,-0.85,-1.25,-0.17
1140,-6.95,12.64,-1.85,-0.69,-1.34,-1.46,-0.17
1160,-10.93,15.02,-3.39,-0.67,-1.7,-1.84,-0.17
1180,-4.18,14.3,-1.58,-1.04,-2.16,-1.7,-0.17
1200,-2.6,13.08,-0.56,-1.05,-1.35,-2.13,-0.17
1220,-3.16,11.99,-0.58,-1.05,-0.65,-2.22,-0.17
1240,-3.96,11.51,-0.11,-0.95,-0.46,-2.03,-0.04
1260,-2.36,10.1,0.08,-0.79,-0.39,-1.85,-0.04
1280,-1.73,9.41,-0.35,-0.65,-0.12,-1.55,-0.04
1300,-1.43,7.91,0.08,-0.55,0.15,-1.24,-0.15
1320,-1.7,6.07,0.19,-0.35,0.44,-0.93,-0.15
1340,-1.02,5.32,-0.26,-0.12,0.76,-0.47,-0.28
1360,-1.29,4.61,-0.23,0.09,0.87,-0.12,-0.28
