Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,-1.07,9.26,-3.36,0.07,0.01,-0.15,-0.84
20,-2.21,9.39,-2.77,0.05,0.09,-0.13,-0.84
40,-2.05,9.36,-2.77,0.01,-0.04,-0.04,-0.89
60,-0.59,9.31,-2.89,-0.03,-0.07,-0.03,-0.89
80,-1.53,9.29,-2.47,-0.03,-0.0,-0.02,-0.94
100,-1.48,9.56,-2.41,-0.02,-0.06,0.0,-0.94
120,-0.67,9.22,-2.91,-0.05,-0.06,-0.0,-0.94
140,-0.7,9.36,-3.36,-0.07,-0.02,-0.05,-0.94
160,-0.62,9.42,-3.64,-0.13,-0.07,-0.12,-0.94
180,-0.27,9.41,-3.23,-0.21,-0.17,-0.2,-0.69
200,-0.69,9.37,-2.97,-0.24,-0.09,-0.27,-0.69
220,-2.02,9.72,-2.4,-0.27,-0.19,-0.26,-0.69
240,-2.02,9.61,-2.65,-0.31,-0.3,-0.2,-0.74
260,-2.19,9.57,-2.85,-0.32,-0.35,-0.14,-0.74
280,-0.31,9.06,-2.72,-0.35,-0.38,-0.16,-0.74
300,-1.13,9.5,-1.7,-0.34,-0.26,-0.26,-0.74
320,-3.17,9.58,-0.45,-0.28,-0.29,-0.14,-0.74
340,-2.6,9.37,-0.58,-0.21,-0.44,0.01,-0.74
360,-2.45,10.04,-2.38,-0.2,-0.4,0.07,-0.74
380,-1.15,9.63,-2.38,-0.18,-0.69,0.14,-0.83
400,1.06,9.21,-2.7,-0.2,-0.51,0.02,-0.83
420,-1.14,9.02,-2.29,-0.24,-0.27,-0.14,-0.83
440,-1.3,9.02,-1.75,-0.21,-0.35,-0.12,-0.78
460,-1.11,9.72,-1.24,-0.17,-0.25,-0.16,-0.78
480,-2.19,9.7,-0.85,-0.18,-0.06,-0.16,-0.98
500,-2.19,9.39,-0.88,-0.18,-0.11,-0.13,-0.98
520,-1.13,9.42,-1.5,-0.2,-0.16,-0.14,-0.98
540,-1.9,9.52,-1.67,-0.21,-0.07,-0.15,-0.98
560,-1.91,9.51,-1.59,-0.19,-0.18,-0.13,-0.98
580,-1.3,9.56,-1.93,-0.25,-0.26,-0.16,-0.88
