Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,-0.77,9.64,-3.08,0.07,0.08,-0.27,-1.52
20,-0.64,9.15,-2.92,0.06,0.15,-0.28,-1.52
40,-1.1,9.13,-3.5,0.09,0.24,-0.26,-1.52
60,-1.62,9.45,-2.97,0.06,0.15,-0.25,-1.52
80,-1.3,9.39,-2.86,0.02,-0.02,-0.19,-1.52
100,-1.75,9.39,-2.71,0.03,0.01,-0.17,-1.52
120,-1.36,9.31,-2.96,0.01,-0.06,-0.13,-1.54
140,-0.65,9.19,-3.35,0.0,-0.04,-0.13,-1.54
160,-1.35,9.4,-3.09,-0.03,-0.04,-0.13,-1.54
180,-1.01,9.14,-3.09,-0.05,-0.06,-0.13,-1.62
200,-1.37,9.31,-3.25,-0.08,-0.01,-0.14,-1.62
220,-0.85,9.23,-3.12,-0.12,-0.11,-0.14,-1.62
240,-0.15,9.36,-2.8,-0.13,-0.07,-0.18,-1.62
260,-1.23,9.3,-2.98,-0.14,0.07,-0.23,-1.62
280,-1.9,9.38,-2.97,-0.15,-0.04,-0.21,-1.55
300,-2.58,9.33,-2.86,-0.17,-0.09,-0.13,-1.55
320,-2.5,9.49,-2.32,-0.16,-0.18,-0.03,-1.49
340,-1.72,9.49,-2.62,-0.16,-0.16,0.03,-1.49
360,-2.04,9.0,-2.51,-0.16,-0.11,0.07,-1.49
380,-1.33,9.2,-2.26,-0.15,-0.16,0.11,-1.62
400,-0.88,9.42,-2.28,-0.13,-0.08,0.11,-1.62
420,-1.23,9.24,-2.4,-0.11,0.01,0.1,-1.62
440,-1.73,9.46,-2.29,-0.11,-0.06,0.11,-1.62
460,-0.81,9.23,-2.57,-0.12,-0.16,0.11,-1.62
480,-0.09,9.22,-2.63,-0.15,-0.16,0.03,-1.54
500,-0.52,9.24,-2.11,-0.16,-0.12,-0.04,-1.54
520,-0.95,9.57,-2.04,-0.11,-0.06,-0.06,-1.59
540,-1.65,9.4,-2.2,-0.09,-0.02,-0.03,-1.59
560,-1.61,9.32,-2.47,-0.09,-0.04,-0.0,-1.59
580,-1.64,9.27,-2.25,-0.1,-0.09,0.02,-1.53
600,-0.97,9.48,-2.06,-0.1,-0.1,0.03,-1.53
620,-0.85,9.51,-1.86,-0.08,-0.1,0.02,-1.53
640,-1.27,9.45,-2.13,-0.07,-0.07,0.02,-1.53
660,-1.54,9.24,-2.16,-0.07,-0.06,0.05,-1.53
680,-1.14,9.44,-2.0,-0.06,-0.1,0.07,-1.8
700,-0.36,9.33,-2.13,-0.04,-0.11,0.06,-1.8
