Time(ms),accX,accY,accZ,gyX,gyY,gyZ,Pressure
0,-0.64,9.56,-1.89,0.01,-0.02,-0.02,0.04
20,-0.62,9.45,-1.93,0.01,-0.03,-0.01,0.22
40,-0.61,9.53,-1.86,0.01,-0.02,-0.01,0.22
60,-0.59,9.57,-1.82,0.02,-0.01,-0.02,0.38
80,-0.79,9.52,-1.98,0.02,0.01,-0.02,0.38
100,-0.53,9.52,-1.91,0.01,-0.01,-0.02,0.38
120,-0.55,9.58,-1.87,0.01,0.0,-0.03,0.21
140,-0.67,9.45,-1.87,0.01,0.01,-0.03,0.21
160,-0.76,9.5,-1.98,0.01,-0.02,-0.02,0.21
180,-0.42,9.47,-1.96,0.01,-0.02,-0.02,0.21
200,-0.69,9.51,-1.83,0.02,-0.01,-0.03,0.21
220,-0.75,9.51,-2.0,0.02,-0.02,-0.03,0.21
240,-0.69,9.56,-1.84,0.02,-0.03,-0.03,0.21
260,-0.49,9.46,-1.78,0.02,-0.04,-0.03,0.06
280,-0.39,9.52,-1.78,0.02,-0.01,-0.04,0.06
300,-0.83,9.54,-1.88,0.02,0.02,-0.04,0.06
320,-0.8,9.55,-1.91,0.02,-0.01,-0.03,0.28
340,-0.55,9.58,-1.98,0.02,-0.03,-0.03,0.28
360,-0.56,9.48,-1.94,0.02,-0.02,-0.04,0.28
380,-0.68,9.52,-1.91,0.02,-0.02,-0.04,0.28
400,-0.74,9.56,-1.97,0.02,-0.03,-0.03,0.28
420,-0.69,9.53,-1.96,0.02,-0.03,-0.03,0.3
440,-0.73,9.47,-1.84,0.01,-0.03,-0.03,0.3
460,-0.55,9.5,-1.85,0.01,-0.04,-0.03,0.16
480,-0.67,9.59,-1.88,0.01,-0.0,-0.03,0.16
500,-0.77,9.54,-1.81,0.02,-0.01,-0.03,0.16
520,-0.67,9.58,-1.96,0.01,-0.02,-0.02,0.31
540,-0.67,9.52,-2.04,0.01,-0.02,-0.02,0.31
560,-0.5,9.54,-2.01,0.01,-0.02,-0.03,0.31
580,-0.52,9.58,-1.97,0.01,-0.01,-0.04,0.31
600,-0.53,9.47,-1.86,0.01,-0.02,-0.05,0.31
620,-0.8,9.47,-1.99,0.0,-0.01,-0.04,0.23
640,-0.74,9.53,-1.85,0.0,-0.02,-0.04,0.23
660,-0.51,9.54,-1.87,0.0,-0.02,-0.03,0.28
680,-0.62,9.51,-1.9,0.0,-0.0,-0.04,0.28
700,-0.67,9.53,-1.96,0.0,-0.01,-0.04,0.28
720,-0.6,9.55,-1.97,-0.0,-0.01,-0.04,-0.03
740,-0.79,9.57,-1.9,-0.01,-0.01,-0.05,-0.03
760,-0.78,9.44,-1.86,0.0,-0.02,-0.03,-0.03
780,-0.64,9.52,-1.83,0.0,-0.02,-0.03,-0.03
800,-0.67,9.5,-1.89,0.0,-0.02,-0.04,-0.03
820,-0.46,9.55,-1.9,-0.0,-0.02,-0.04,0.17
840,-0.71,9.53,-1.95,-0.0,0.01,-0.05,0.17
860,-0.87,9.52,-1.97,-0.0,-0.01,-0.04,0.38
880,-0.71,9.54,-1.99,-0.01,-0.0,-0.04,0.38
900,-0.54,9.5,-1.95,-0.02,-0.0,-0.04,0.38
920,-0.42,9.52,-1.87,-0.02,0.01,-0.05,0.55
940,-0.68,9.45,-1.67,-0.0,0.02,-0.06,0.55
960,-0.7,9.53,-1.85,-0.0,0.04,-0.05,0.55
980,-0.7,9.6,-2.0,-0.01,0.06,-0.05,0.55
1000,-0.7,9.52,-1.85,-0.01,0.03,-0.05,0.55
1020,-0.83,9.45,-1.73,-0.0,0.05,-0.03,0.34
1040,-0.85,9.62,-1.7,-0.0,0.07,-0.03,0.34
1060,-0.66,9.36,-1.77,0.01,0.08,-0.02,0.45
1080,-0.78,9.6,-2.09,0.01,0.11,-0.01,0.45
1100,-1.09,9.61,-1.96,-0.0,0.09,0.0,0.45
1120,-0.88,9.69,-2.39,-0.02,0.06,-0.0,0.28
1140,-0.5,9.66,-2.32,-0.02,-0.06,-0.02,0.28
1160,-0.34,9.92,-2.13,-0.06,-0.29,-0.09,0.28
1180,2.3,10.32,-2.89,-0.13,-0.38,-0.24,0.28
1200,3.09,10.44,-4.72,-0.29,-0.29,-0.56,0.28
1220,1.44,11.83,-5.88,-0.46,-0.31,-0.88,0.15
1240,0.78,13.11,-5.73,-0.56,-0.47,-1.13,0.15
1260,-2.7,14.05,-7.68,-0.48,-1.07,-1.32,0.24
1280,-0.97,12.93,-5.39,-0.58,-1.94,-1.18,0.24
1300,0.46,10.78,-4.55,-0.58,-1.79,-1.14,0.24
1320,-0.02,7.89,-2.99,-0.37,-1.01,-1.1,-0.04
1340,-1.18,6.63,-1.95,0.12,-0.43,-1.03,-0.04
1360,0.26,6.06,-2.1,0.66,-0.01,-0.59,-0.04
1380,1.64,5.27,-1.81,1.07,0.26,-0.19,-0.04
1400,0.71,5.34,-1.6,1.4,0.2,0.3,-0.04
1420,0.3,6.37,-1.61,1.54,0.06,0.87,0.25
1440,0.52,7.68,-1.21,1.54,-0.04,1.39,0.25
1460,0.64,9.03,-0.71,1.48,-0.03,1.78,0.05
1480,1.46,9.79,-0.35,1.34,0.16,1.98,0.05
1500,1.97,10.55,0.38,1.15,0.55,2.02,0.05
1520,0.43,10.09,0.71,0.91,1.04,1.94,0.13
1540,-0.61,8.64,0.53,0.68,1.62,1.79,0.13
1560,-0.74,7.97,0.21,0.49,2.07,1.47,0.13
1580,-1.55,7.88,-0.44,0.38,2.3,1.18,0.13
1600,-2.83,7.56,-0.85,0.15,2.15,1.03,0.13
1620,-3.24,7.98,-1.19,-0.02,1.51,0.93,0.07
1640,-1.6,7.9,-1.24,-0.2,0.93,0.73,0.07
1660,-1.95,7.3,-0.77,-0.27,0.65,0.5,0.37
1680,-1.46,7.73,-1.12,-0.19,0.49,0.51,0.37
1700,-1.02,9.19,-1.63,-0.14,0.35,0.5,0.37
1720,0.05,8.17,-3.0,-0.27,0.36,0.4,0.5
1740,0.22,8.54,-3.16,-0.34,0.22,0.17,0.5
1760,-1.15,8.9,-3.34,-0.37,0.13,0.04,0.7
1780,-1.82,8.39,-2.8,-0.2,-0.34,-0.07,0.7
1800,-1.97,8.29,-4.06,-0.05,-0.93,-0.21,0.7
1820,-5.45,10.67,1.92,-0.25,-1.84,-0.61,0.7
1840,-0.96,13.67,-2.64,0.02,-0.21,-2.25,0.7
1860,3.52,11.42,-11.98,0.21,-1.3,-1.86,0.89
1880,10.07,11.7,-7.38,0.11,-2.39,-0.72,0.89
1900,-1.3,14.79,-6.88,0.09,-1.56,-1.68,0.89
1920,6.68,15.95,3.69,-0.37,-1.63,-0.84,0.52
1940,19.61,19.61,6.11,-0.7,-0.59,-1.9,0.52
1960,-7.63,-2.38,-8.77,-0.19,2.57,-2.92,0.42
1980,-16.37,6.05,-7.95,-0.18,-0.63,-1.63,0.42
2000,-6.07,6.84,-3.66,0.02,-0.7,-1.0,0.42
2020,4.73,11.78,-1.43,-0.1,-0.16,-0.76,0.42
2040,-2.74,8.36,-4.85,-0.11,1.25,-1.03,0.42
2060,-5.42,8.54,-6.2,-0.15,0.43,-0.71,0.14
2080,-1.38,9.24,-4.03,-0.25,0.1,-0.66,0.14
2100,-1.89,9.55,-2.63,-0.33,0.49,-0.66,0.14
2120,-2.86,9.45,-2.54,-0.36,0.56,-0.66,0.37
2140,-2.33,9.14,-1.67,-0.38,0.25,-0.64,0.37
2160,-3.36,9.55,-1.99,-0.34,0.2,-0.64,0.52
2180,-1.75,8.94,-1.94,-0.31,0.1,-0.63,0.52
2200,-1.56,9.03,-2.32,-0.29,-0.04,-0.71,0.52
2220,-2.21,8.86,-2.92,-0.31,-0.03,-0.77,0.52
2240,-1.13,8.21,-1.49,-0.25,-0.1,-0.81,0.52
2260,-0.57,9.07,-1.55,-0.15,0.03,-0.94,0.27
2280,-3.31,8.99,-1.54,-0.2,0.06,-1.01,0.27
2300,-3.28,8.89,-3.15,-0.25,-0.26,-1.03,0.27
2320,-3.39,8.72,-2.61,-0.32,-0.45,-1.1,0.33
2340,-2.16,8.46,-2.45,-0.41,-0.5,-1.16,0.33
2360,-3.68,8.55,-2.24,-0.49,-0.34,-1.33,0.16
2380,-3.12,7.96,-1.37,-0.6,-0.61,-1.34,0.16
2400,-1.73,9.0,-2.9,-0.58,-0.6,-1.38,0.16
2420,-5.26,8.12,-3.03,-0.6,-0.33,-1.63,0.16
2440,-5.18,7.63,-2.23,-0.73,-0.71,-1.59,0.16
2460,-5.72,8.0,-0.34,-0.78,-0.93,-1.59,0.2
2480,-4.52,6.63,-1.32,-0.74,-0.79,-1.61,0.2
2500,-6.43,6.75,-1.02,-0.69,-0.66,-1.56,0.2
2520,-6.86,7.78,0.29,-0.66,-0.77,-1.54,0.27
2540,-5.38,7.51,-0.57,-0.7,-0.9,-1.63,0.27
2560,-6.36,6.4,-0.77,-0.65,-0.79,-1.63,0.37
2580,-6.05,6.38,-1.25,-0.62,-0.53,-1.56,0.37
2600,-9.22,9.05,-0.62,-0.72,-0.72,-1.63,0.37
2620,-5.1,6.21,-1.28,-0.94,-0.55,-1.77,0.37
2640,-10.15,11.62,-1.77,-0.98,-0.43,-1.81,0.37
2660,-9.95,13.58,0.69,-1.21,-0.93,-1.79,0.26
2680,-9.73,14.92,2.23,-1.31,-0.74,-1.95,0.26
2700,-7.6,19.61,0.91,-1.74,-0.48,-2.01,0.26
2720,-5.79,19.58,-0.83,-1.94,0.17,-2.08,0.51
2740,-2.24,10.11,-2.67,-1.67,0.59,-1.57,0.51
2760,-2.42,-2.25,-1.49,-1.1,1.6,-0.81,0.37
2780,-3.98,-5.83,1.53,-0.69,1.47,0.03,0.37
2800,-2.32,-4.91,1.3,-0.12,0.02,1.75,0.37
2820,0.43,2.95,-0.58,0.25,-0.57,2.88,0.37
2840,0.0,1.29,0.72,0.67,0.05,3.28,0.37
2860,-0.34,1.89,0.24,0.96,0.9,3.78,0.45
2880,-2.31,2.07,-0.37,1.4,1.53,4.01,0.45
2900,-4.41,4.05,-0.83,1.81,1.36,4.25,0.45
2920,-7.25,5.55,-0.78,1.99,0.47,4.37,0.35
2940,-8.13,5.63,0.57,2.1,-0.42,4.37,0.35
2960,-6.22,6.45,1.83,2.21,-1.1,4.37,0.31
2980,-6.05,6.26,1.23,2.27,-0.81,4.29,0.31
3000,-5.59,7.13,1.43,2.18,0.16,3.82,0.31
3020,-5.91,8.78,0.22,2.0,1.19,3.16,0.31
3040,-6.74,9.9,-0.51,1.62,1.94,2.62,0.31
3060,-8.3,10.98,-0.84,1.31,1.82,2.17,0.7
3080,-7.77,9.79,-0.87,0.93,0.77,2.06,0.7
3100,-4.98,9.74,-1.08,0.56,-0.39,1.9,0.7
