timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,-0.70,9.35,-2.50,0.07,0.13,-0.23,-2.19
20,-0.58,9.36,-2.29,0.09,0.08,-0.22,-2.19
40,-0.66,9.50,-2.14,0.10,0.05,-0.21,-2.19
60,-0.79,9.54,-2.04,0.11,0.06,-0.22,-1.93
80,-0.57,9.34,-2.05,0.12,0.10,-0.21,-1.93
100,-1.13,9.25,-2.14,0.14,0.15,-0.23,-2.01
120,-1.01,9.13,-2.28,0.16,0.11,-0.21,-2.01
140,-0.77,9.14,-2.26,0.17,0.09,-0.18,-2.01
160,-1.22,9.29,-2.39,0.18,0.09,-0.19,-2.13
180,-1.22,9.35,-2.16,0.17,0.08,-0.17,-2.13
200,-0.66,9.22,-2.49,0.18,0.15,-0.15,-2.13
220,-1.23,9.07,-2.51,0.18,0.24,-0.16,-2.13
240,-1.58,9.00,-2.09,0.17,0.29,-0.13,-2.13
260,-1.85,9.28,-2.00,0.20,0.32,-0.09,-2.25
280,-1.67,9.45,-1.96,0.22,0.25,-0.03,-2.25
300,-1.47,9.60,-1.92,0.29,0.06,-0.00,-2.09
320,-1.13,9.21,-2.07,0.34,-0.08,0.03,-2.09
340,-0.82,8.88,-2.69,0.39,-0.03,0.02,-2.09
360,-2.13,9.32,-2.10,0.36,0.09,0.01,-2.11
380,-0.71,9.54,-2.39,0.45,-0.09,0.02,-2.11
400,-0.62,9.50,-3.63,0.46,-0.12,-0.05,-2.13
420,-0.84,9.16,-4.04,0.40,-0.11,-0.07,-2.13
440,-0.53,9.20,-4.00,0.34,-0.12,-0.14,-2.13
460,-1.10,9.73,-4.32,0.26,-0.14,-0.19,-2.13
480,-2.05,9.50,-4.64,0.15,-0.22,-0.15,-2.13
500,-1.74,9.27,-3.95,0.06,-0.34,-0.08,-1.94
520,-1.03,9.30,-3.66,0.03,-0.34,-0.08,-1.94
540,-0.51,9.31,-3.92,0.01,-0.26,-0.14,-1.94
560,-1.61,9.27,-3.37,-0.01,-0.33,-0.14,-2.04
580,-1.19,9.05,-3.20,-0.01,-0.34,-0.11,-2.04
600,-1.76,8.98,-3.17,-0.02,-0.27,-0.08,-1.92
620,-1.67,9.23,-3.17,-0.02,-0.25,-0.03,-1.92
640,-1.40,8.87,-3.48,-0.03,-0.10,0.01,-1.92
660,-1.51,9.00,-3.48,-0.04,-0.01,0.04,-1.92
680,-0.71,9.42,-4.07,-0.07,-0.04,0.04,-1.92
700,0.21,8.76,-3.85,-0.05,0.09,-0.09,-1.84
720,-0.11,8.56,-3.50,-0.05,0.21,-0.20,-1.84
740,-1.80,9.26,-2.21,-0.12,0.23,-0.31,-1.84
760,-1.29,9.44,-2.45,-0.11,0.06,-0.32,-2.11
780,-1.20,8.90,-3.30,-0.15,0.04,-0.39,-2.11
800,-1.38,8.74,-3.96,-0.20,0.03,-0.39,-2.05
820,-0.96,8.23,-3.87,-0.24,0.21,-0.39,-2.05
840,-2.71,9.34,-3.15,-0.21,0.28,-0.38,-2.05
860,-3.24,10.34,-2.25,-0.24,-0.01,-0.28,-2.05
880,-1.26,10.00,-2.94,-0.26,-0.15,-0.27,-2.05
900,-1.31,10.29,-3.40,-0.29,-0.25,-0.32,-2.11
920,0.74,10.62,-4.68,-0.33,-0.19,-0.43,-2.11
940,-1.48,12.44,-4.72,-0.43,0.10,-0.54,-2.11
960,-1.20,14.06,-4.32,-0.47,-0.06,-0.47,-2.04
980,-1.63,14.74,-3.55,-0.56,-0.04,-0.38,-2.04
1000,-1.99,15.50,-1.97,-0.51,-0.47,-0.18,-2.16
1020,0.89,15.83,-1.71,-0.52,-0.86,0.03,-2.16
1040,2.49,15.05,-2.72,-0.53,-1.37,0.15,-2.16
1060,3.98,11.82,-3.73,-0.59,-2.02,0.25,-2.16
1080,3.01,10.99,-3.00,-0.54,-1.93,-0.03,-2.16
1100,-1.87,11.52,-5.41,-0.22,-0.31,-1.38,-1.94
1120,-9.48,10.04,-4.61,0.38,0.22,-2.60,-1.94
1140,-18.66,17.98,-9.18,0.11,-0.29,-3.35,-1.94
1160,-7.89,15.47,-7.20,-0.34,-1.20,-3.91,-2.35
1180,-5.70,15.32,-2.43,-0.69,-1.80,-3.76,-2.35
1200,-5.94,12.53,-1.80,-0.95,-1.89,-3.76,-2.39
1220,-3.59,10.43,-2.58,-0.93,-1.22,-3.55,-2.39
1240,-0.11,8.43,-1.84,-0.96,0.35,-3.21,-2.39
1260,0.78,5.19,-0.59,-0.77,1.43,-2.88,-2.41
1280,-0.10,4.94,-0.01,-0.44,1.90,-2.70,-2.41
1300,-1.77,3.68,-0.58,-0.30,1.99,-2.06,-2.49
1320,0.46,1.82,-0.86,-0.26,2.05,-1.41,-2.49
1340,-1.49,1.24,-0.52,-0.00,2.05,-0.97,-2.49
1360,-2.65,2.33,-1.04,0.03,1.53,-0.12,-2.62
1380,-2.05,1.37,-0.18,0.02,1.13,0.57,-2.62
1400,0.29,1.26,-1.01,0.04,1.37,1.17,-2.31
1420,-0.24,1.65,-1.22,0.07,1.59,1.51,-2.31
1440,-1.29,2.20,-2.36,0.04,1.85,1.88,-2.31
1460,-4.67,2.55,-2.59,0.01,1.67,2.22,-2.69
1480,-4.79,3.22,-2.48,-0.02,1.01,2.64,-2.69
1500,-4.06,2.94,-1.58,0.05,0.76,2.83,-2.69
1520,-4.05,3.57,-1.53,0.12,0.87,2.88,-2.69
1540,-4.48,4.55,-1.92,0.20,1.09,2.77,-2.69
1560,-6.21,5.13,-2.13,0.23,0.88,2.66,-2.68
1580,-7.86,6.56,-2.65,0.28,0.68,2.62,-2.68
1600,-8.04,7.33,-2.73,0.34,0.25,2.39,-2.63
1620,-7.92,8.02,-2.57,0.33,0.02,2.04,-2.63
1640,-8.07,7.97,-2.75,0.27,-0.09,1.59,-2.63
1660,-6.62,7.80,-2.38,0.16,-0.04,1.12,-2.46
1680,-5.04,6.92,-1.76,0.03,0.17,0.67,-2.46
1700,-6.48,4.16,-0.44,-0.11,0.43,0.29,-2.46
1720,-19.61,19.61,-14.46,0.97,0.73,-1.84,-2.46
1740,-4.89,-3.39,10.34,-0.57,-1.57,0.16,-2.46
1760,5.99,8.91,-8.94,-0.15,-0.05,-0.98,-2.54
1780,-7.40,7.43,-4.58,-0.14,-0.34,-0.51,-2.54
