timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,-0.51,9.45,-2.52,0.01,-0.02,-0.04,-1.90
20,-0.51,9.45,-2.53,0.01,-0.02,-0.03,-1.90
40,-0.37,9.39,-2.51,0.02,-0.02,-0.03,-1.90
60,-0.47,9.40,-2.52,0.02,-0.00,-0.03,-1.90
80,-0.55,9.43,-2.57,0.02,-0.00,-0.03,-1.90
100,-0.36,9.44,-2.63,0.02,-0.01,-0.03,-1.93
120,-0.38,9.43,-2.52,0.02,-0.01,-0.02,-1.93
140,-0.51,9.50,-2.53,0.02,-0.01,-0.03,-1.93
160,-0.44,9.44,-2.56,0.01,-0.02,-0.02,-2.03
180,-0.41,9.35,-2.49,0.01,-0.02,-0.02,-2.03
200,-0.34,9.48,-2.59,0.02,-0.00,-0.03,-1.97
220,-0.35,9.43,-2.66,0.02,-0.01,-0.04,-1.97
240,-0.41,9.34,-2.66,0.02,-0.02,-0.03,-1.97
260,-0.34,9.40,-2.52,0.02,-0.02,-0.04,-1.97
280,-0.47,9.42,-2.57,0.02,-0.01,-0.04,-1.97
300,-0.42,9.39,-2.56,0.02,-0.02,-0.04,-2.11
320,-0.24,9.39,-2.62,0.01,-0.02,-0.05,-2.11
340,-0.52,9.43,-2.44,0.02,-0.00,-0.05,-2.11
360,-0.53,9.42,-2.59,0.02,-0.01,-0.04,-2.03
380,-0.38,9.35,-2.62,0.02,-0.02,-0.03,-2.03
400,-0.36,9.41,-2.68,0.02,-0.02,-0.04,-2.13
420,-0.51,9.39,-2.48,0.02,-0.02,-0.04,-2.13
440,-0.42,9.43,-2.62,0.02,-0.01,-0.03,-2.13
460,-0.43,9.35,-2.70,0.02,-0.02,-0.03,-2.13
480,-0.36,9.33,-2.58,0.02,-0.02,-0.03,-2.13
500,-0.47,9.42,-2.53,0.02,-0.01,-0.04,-2.14
520,-0.45,9.34,-2.61,0.01,-0.02,-0.04,-2.14
540,-0.30,9.42,-2.49,0.02,-0.02,-0.04,-2.14
560,-0.55,9.44,-2.49,0.01,-0.01,-0.04,-2.38
580,-0.52,9.41,-2.63,0.01,-0.03,-0.03,-2.38
600,-0.34,9.41,-2.52,0.01,-0.03,-0.03,-2.38
620,-0.42,9.47,-2.62,0.01,-0.01,-0.04,-2.38
640,-0.58,9.40,-2.59,0.01,-0.02,-0.04,-2.38
660,-0.42,9.42,-2.68,0.01,-0.03,-0.03,-2.17
680,-0.45,9.40,-2.55,0.01,-0.03,-0.04,-2.17
700,-0.35,9.43,-2.60,0.01,-0.02,-0.04,-2.17
720,-0.54,9.43,-2.54,0.01,-0.02,-0.04,-2.17
740,-0.57,9.38,-2.70,0.01,-0.03,-0.03,-2.17
760,-0.35,9.40,-2.52,0.01,-0.03,-0.02,-2.24
780,-0.43,9.39,-2.47,0.02,-0.01,-0.03,-2.24
800,-0.57,9.50,-2.58,0.01,-0.01,-0.03,-2.19
820,-0.58,9.44,-2.58,0.01,-0.02,-0.02,-2.19
840,-0.37,9.35,-2.56,0.01,-0.02,-0.02,-2.19
860,-0.40,9.47,-2.47,0.01,-0.00,-0.03,-2.05
880,-0.52,9.43,-2.55,0.01,-0.02,-0.03,-2.05
900,-0.37,9.36,-2.53,0.01,-0.02,-0.02,-2.05
920,-0.43,9.36,-2.59,0.02,-0.01,-0.02,-2.05
940,-0.47,9.45,-2.47,0.02,-0.01,-0.02,-2.05
960,-0.43,9.39,-2.68,0.02,-0.02,-0.02,-2.00
980,-0.44,9.42,-2.69,0.02,-0.01,-0.02,-2.00
1000,-0.41,9.42,-2.50,0.02,-0.02,-0.02,-1.92
