timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,-0.25,9.41,-1.90,0.11,-0.04,0.26,-5.51
20,-0.04,9.37,-2.01,0.09,0.12,0.15,-5.51
40,-0.36,9.41,-1.99,0.07,0.24,0.07,-5.51
60,-0.70,9.35,-2.17,0.03,0.30,0.03,-5.61
80,-0.66,9.32,-2.33,0.02,0.31,-0.01,-5.61
100,-0.40,9.27,-2.50,0.04,0.26,-0.03,-5.61
120,-0.49,9.22,-2.97,0.06,0.19,-0.06,-5.59
140,-0.62,9.17,-2.75,0.10,0.06,-0.09,-5.59
160,-0.92,9.15,-2.67,0.13,-0.19,-0.05,-5.63
180,0.06,9.24,-2.59,0.14,-0.30,-0.03,-5.63
200,0.56,9.11,-2.60,0.17,-0.24,-0.04,-5.63
220,0.39,9.09,-2.61,0.19,-0.18,-0.03,-5.63
240,0.42,9.01,-2.68,0.20,-0.14,-0.02,-5.63
260,0.50,9.14,-2.73,0.21,-0.04,-0.01,-5.88
280,0.37,8.89,-2.70,0.21,0.01,-0.00,-5.88
300,-0.02,9.11,-2.69,0.21,-0.01,0.01,-5.88
320,0.07,9.15,-2.89,0.18,-0.02,0.02,-5.79
340,0.17,9.04,-2.86,0.18,0.04,0.01,-5.79
360,-0.25,9.05,-2.54,0.21,0.13,-0.03,-5.74
380,-0.42,9.30,-2.64,0.22,0.23,-0.02,-5.74
400,-0.58,9.65,-2.06,0.10,0.26,-0.24,-5.74
420,0.71,8.61,-2.12,0.19,0.44,-0.26,-5.74
440,-0.09,12.03,-2.77,0.23,0.32,-0.48,-5.74
460,0.15,9.52,-2.42,0.27,0.12,-0.35,-5.79
480,-1.05,10.07,-2.54,0.10,0.13,-0.53,-5.79
500,-1.33,9.33,-2.36,0.22,-0.11,-0.43,-5.79
520,0.73,8.83,-2.87,0.27,-0.09,-0.43,-5.74
540,0.62,8.60,-3.53,0.33,0.10,-0.52,-5.74
560,-1.32,9.45,-3.34,0.33,-0.00,-0.52,-5.74
580,-2.63,9.58,-3.25,0.31,-0.27,-0.37,-5.74
600,-0.74,9.47,-3.32,0.31,-0.33,-0.25,-5.74
620,-0.80,9.67,-2.90,0.28,-0.29,-0.31,-5.74
640,-0.68,9.06,-3.82,0.31,-0.39,-0.30,-5.74
660,-0.62,9.15,-5.04,0.23,-0.27,-0.29,-6.08
680,-1.09,9.43,-4.22,0.16,-0.28,-0.30,-6.08
700,-0.74,9.04,-4.33,0.11,-0.41,-0.28,-6.08
