timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,0.19,9.62,-1.53,0.01,-0.02,-0.03,-1.02
20,0.27,9.65,-1.39,0.01,-0.03,-0.04,-0.70
40,0.17,9.68,-1.44,0.01,-0.03,-0.04,-0.70
60,0.16,9.67,-1.57,0.01,-0.03,-0.04,-0.70
80,0.17,9.64,-1.60,0.01,-0.04,-0.03,-0.89
100,0.17,9.64,-1.47,0.02,-0.03,-0.04,-0.89
120,0.19,9.60,-1.56,0.01,-0.02,-0.04,-0.89
140,0.22,9.61,-1.43,0.02,-0.02,-0.04,-0.89
160,0.15,9.63,-1.52,0.01,-0.02,-0.04,-0.89
180,0.15,9.70,-1.52,0.01,-0.02,-0.04,-1.04
200,0.14,9.59,-1.48,0.01,-0.02,-0.03,-1.04
220,0.27,9.61,-1.59,0.01,-0.01,-0.04,-0.81
240,0.10,9.68,-1.55,0.01,-0.02,-0.04,-0.81
260,0.17,9.62,-1.50,0.01,-0.03,-0.03,-0.81
280,0.27,9.64,-1.55,0.01,-0.02,-0.04,-0.78
300,0.17,9.61,-1.51,0.01,-0.01,-0.04,-0.78
320,0.05,9.64,-1.48,0.01,-0.02,-0.04,-0.78
340,0.16,9.67,-1.44,0.01,-0.02,-0.03,-0.78
360,0.14,9.64,-1.61,0.01,-0.02,-0.04,-0.78
380,0.10,9.62,-1.53,0.01,-0.02,-0.03,-0.54
400,0.23,9.61,-1.46,0.01,-0.03,-0.03,-0.54
420,0.20,9.68,-1.45,0.01,-0.02,-0.04,-0.70
440,0.18,9.61,-1.52,0.01,-0.02,-0.04,-0.70
460,0.15,9.62,-1.43,0.01,-0.02,-0.04,-0.70
480,0.18,9.63,-1.58,0.02,-0.02,-0.04,-0.68
500,0.17,9.61,-1.63,0.01,-0.02,-0.04,-0.68
520,0.12,9.62,-1.55,0.01,-0.02,-0.04,-0.68
540,0.11,9.61,-1.52,0.01,-0.02,-0.04,-0.68
560,0.16,9.60,-1.42,0.01,-0.02,-0.04,-0.68
580,0.20,9.63,-1.47,0.01,-0.02,-0.04,-0.65
600,0.12,9.67,-1.49,0.01,-0.01,-0.04,-0.65
620,0.24,9.63,-1.51,0.01,-0.02,-0.04,-0.58
640,0.20,9.66,-1.50,0.02,-0.02,-0.04,-0.58
660,0.21,9.64,-1.53,0.01,-0.02,-0.05,-0.58
680,0.05,9.63,-1.54,0.01,-0.01,-0.04,-0.58
700,0.17,9.64,-1.44,0.01,-0.03,-0.04,-0.58
720,0.16,9.61,-1.61,0.01,-0.02,-0.04,-0.58
740,0.14,9.70,-1.40,0.01,-0.02,-0.05,-0.58
760,0.17,9.68,-1.36,0.01,-0.01,-0.05,-0.58
780,0.07,9.61,-1.56,0.01,-0.02,-0.05,-0.54
800,0.03,9.67,-1.47,0.01,-0.02,-0.04,-0.54
820,0.15,9.68,-1.51,0.01,-0.03,-0.04,-0.66
840,0.12,9.65,-1.50,0.00,-0.03,-0.04,-0.66
860,0.08,9.66,-1.50,0.01,-0.04,-0.05,-0.66
880,0.17,9.61,-1.50,0.01,-0.04,-0.05,-0.43
900,0.16,9.59,-1.47,0.01,-0.02,-0.05,-0.43
920,0.08,9.59,-1.50,0.01,-0.02,-0.06,-0.43
940,0.08,9.63,-1.53,0.01,-0.03,-0.05,-0.43
960,0.10,9.58,-1.53,0.01,-0.03,-0.06,-0.43
980,0.08,9.67,-1.55,0.02,-0.03,-0.06,-0.73
1000,0.14,9.59,-1.45,0.02,-0.03,-0.06,-0.73
1020,0.13,9.65,-1.54,0.01,-0.03,-0.06,-0.29
1040,0.09,9.69,-1.44,0.02,-0.02,-0.06,-0.29
1060,-0.01,9.64,-1.53,0.01,-0.02,-0.06,-0.29
1080,-0.04,9.68,-1.53,0.01,-0.02,-0.06,-0.83
1100,0.00,9.63,-1.52,0.01,-0.03,-0.05,-0.83
1120,-0.00,9.57,-1.52,0.01,-0.05,-0.05,-0.76
1140,0.04,9.56,-1.42,0.01,-0.05,-0.05,-0.76
1160,0.04,9.66,-1.44,0.01,-0.05,-0.04,-0.76
1180,0.04,9.59,-1.41,0.01,-0.03,-0.05,-0.76
1200,0.02,9.65,-1.33,0.01,-0.03,-0.04,-0.76
1220,-0.06,9.56,-1.51,0.01,-0.04,-0.05,-0.87
1240,-0.06,9.60,-1.47,0.01,-0.05,-0.04,-0.87
1260,-0.00,9.63,-1.44,0.00,-0.05,-0.03,-0.87
1280,-0.05,9.66,-1.45,0.01,-0.05,-0.03,-0.72
1300,-0.06,9.62,-1.39,0.00,-0.05,-0.02,-0.72
1320,0.12,9.58,-1.39,0.00,-0.05,-0.02,-0.41
1340,0.09,9.71,-1.40,0.00,-0.03,-0.03,-0.41
1360,0.17,9.64,-1.35,0.01,-0.03,-0.03,-0.41
1380,0.01,9.65,-1.42,0.01,-0.03,-0.03,-0.41
1400,0.08,9.59,-1.40,0.02,-0.01,-0.04,-0.41
1420,0.07,9.62,-1.44,0.02,-0.01,-0.04,-0.61
1440,0.05,9.60,-1.48,0.02,-0.02,-0.04,-0.61
1460,0.06,9.65,-1.42,0.02,-0.04,-0.04,-0.61
1480,0.10,9.64,-1.41,0.02,-0.02,-0.04,-0.81
1500,0.02,9.65,-1.47,0.02,-0.02,-0.05,-0.81
1520,0.08,9.63,-1.42,0.02,-0.02,-0.05,-0.82
1540,0.03,9.65,-1.52,0.03,-0.01,-0.05,-0.82
1560,-0.01,9.60,-1.48,0.03,-0.01,-0.05,-0.82
1580,0.02,9.70,-1.45,0.02,-0.01,-0.04,-0.82
1600,0.07,9.65,-1.49,0.02,-0.02,-0.04,-0.82
1620,0.00,9.63,-1.45,0.03,-0.02,-0.04,-0.65
1640,-0.04,9.64,-1.45,0.02,-0.03,-0.04,-0.65
1660,0.05,9.62,-1.42,0.03,-0.03,-0.04,-0.65
1680,0.03,9.71,-1.42,0.03,-0.01,-0.05,-0.86
1700,0.04,9.65,-1.38,0.03,-0.01,-0.05,-0.86
1720,-0.08,9.57,-1.53,0.03,-0.01,-0.04,-0.81
1740,0.00,9.64,-1.50,0.03,-0.01,-0.03,-0.81
1760,-0.13,9.66,-1.47,0.02,-0.01,-0.04,-0.81
1780,-0.16,9.60,-1.50,0.02,-0.03,-0.03,-0.81
1800,0.02,9.58,-1.50,0.01,-0.05,-0.02,-0.81
1820,-0.01,9.66,-1.47,0.01,-0.03,-0.03,-0.53
1840,0.08,9.62,-1.31,0.02,-0.02,-0.03,-0.53
1860,0.07,9.63,-1.54,0.03,-0.02,-0.04,-0.53
1880,-0.05,9.67,-1.50,0.03,-0.02,-0.04,-0.82
1900,-0.05,9.60,-1.48,0.03,-0.03,-0.04,-0.82
1920,0.00,9.59,-1.51,0.03,-0.03,-0.04,-0.66
1940,-0.01,9.62,-1.45,0.03,-0.02,-0.04,-0.66
1960,-0.08,9.68,-1.44,0.03,-0.02,-0.04,-0.66
1980,0.00,9.67,-1.47,0.02,-0.01,-0.04,-0.66
2000,-0.08,9.65,-1.54,0.03,-0.02,-0.04,-0.66
2020,-0.09,9.64,-1.52,0.02,-0.02,-0.04,-0.40
2040,0.03,9.66,-1.45,0.02,-0.03,-0.04,-0.40
2060,-0.09,9.66,-1.58,0.02,-0.02,-0.04,-0.40
2080,-0.07,9.63,-1.56,0.01,-0.02,-0.04,-0.76
2100,-0.06,9.61,-1.46,0.02,-0.02,-0.04,-0.76
2120,-0.00,9.61,-1.53,0.02,-0.01,-0.04,-0.71
2140,-0.05,9.62,-1.52,0.01,-0.01,-0.04,-0.71
2160,-0.08,9.61,-1.62,0.02,-0.02,-0.04,-0.71
2180,-0.02,9.67,-1.52,0.01,-0.03,-0.03,-0.39
2200,0.03,9.65,-1.48,0.02,-0.03,-0.04,-0.39
2220,-0.15,9.65,-1.45,0.02,-0.02,-0.03,-0.39
2240,-0.11,9.62,-1.51,0.02,-0.03,-0.03,-0.39
2260,-0.09,9.58,-1.58,0.01,-0.02,-0.03,-0.39
2280,0.03,9.57,-1.50,0.01,-0.02,-0.03,-0.70
2300,-0.02,9.58,-1.56,0.02,-0.02,-0.03,-0.70
2320,-0.05,9.63,-1.47,0.01,-0.01,-0.03,-0.51
2340,-0.02,9.58,-1.51,0.01,-0.01,-0.03,-0.51
2360,-0.04,9.56,-1.53,0.01,-0.01,-0.03,-0.51
2380,-0.15,9.61,-1.54,0.01,-0.01,-0.02,-0.52
2400,-0.07,9.62,-1.53,0.01,-0.02,-0.02,-0.52
2420,-0.08,9.60,-1.57,0.01,-0.03,-0.02,-0.52
2440,-0.02,9.62,-1.61,0.01,-0.03,-0.02,-0.52
2460,-0.01,9.70,-1.58,0.01,-0.02,-0.02,-0.52
2480,-0.05,9.70,-1.46,0.01,-0.03,-0.01,-0.90
2500,0.01,9.61,-1.48,0.01,-0.03,-0.02,-0.90
2520,0.06,9.58,-1.38,0.02,-0.02,-0.02,-0.37
2540,-0.06,9.67,-1.51,0.01,-0.01,-0.02,-0.37
2560,0.01,9.66,-1.46,0.02,-0.02,-0.02,-0.37
2580,-0.12,9.64,-1.53,0.01,-0.01,-0.02,-0.88
2600,-0.08,9.52,-1.59,0.01,-0.02,-0.01,-0.88
2620,-0.02,9.62,-1.51,0.01,-0.03,-0.01,-0.88
2640,0.21,9.57,-1.55,0.01,-0.02,-0.01,-0.88
2660,0.01,9.60,-1.52,0.01,-0.01,-0.03,-0.88
2680,-0.09,9.63,-1.65,0.01,-0.01,-0.02,-0.46
2700,-0.01,9.61,-1.47,0.01,-0.02,-0.02,-0.46
2720,0.02,9.62,-1.45,0.01,-0.01,-0.01,-0.66
2740,-0.05,9.63,-1.39,0.01,-0.01,-0.01,-0.66
2760,-0.09,9.68,-1.53,0.01,-0.02,-0.01,-0.66
2780,0.01,9.65,-1.45,0.00,-0.02,-0.00,-0.45
2800,0.01,9.64,-1.52,0.01,-0.01,-0.01,-0.45
2820,-0.02,9.58,-1.51,0.01,-0.00,-0.01,-0.45
2840,0.02,9.61,-1.49,0.01,0.00,-0.01,-0.45
2860,0.06,9.65,-1.51,0.01,-0.01,-0.01,-0.45
2880,0.05,9.62,-1.54,0.01,0.00,-0.02,-0.62
2900,0.03,9.59,-1.53,0.01,0.01,-0.01,-0.62
2920,-0.02,9.61,-1.52,0.02,0.00,-0.02,-0.58
2940,0.05,9.62,-1.46,0.02,-0.01,-0.01,-0.58
2960,0.11,9.62,-1.44,0.01,-0.01,-0.02,-0.58
2980,0.03,9.64,-1.50,0.02,0.00,-0.02,-0.65
3000,0.00,9.64,-1.47,0.01,-0.00,-0.02,-0.65
3020,0.06,9.66,-1.54,0.02,-0.01,-0.02,-0.91
3040,0.15,9.67,-1.52,0.02,-0.00,-0.01,-0.91
3060,0.07,9.64,-1.52,0.02,-0.00,-0.02,-0.91
3080,0.01,9.67,-1.53,0.01,-0.01,-0.02,-0.91
3100,0.12,9.63,-1.55,0.01,-0.01,-0.02,-0.91
3120,0.09,9.62,-1.47,0.01,-0.00,-0.02,-0.47
3140,0.08,9.62,-1.37,0.02,-0.01,-0.03,-0.47
3160,0.08,9.62,-1.60,0.02,-0.01,-0.03,-0.47
3180,0.11,9.65,-1.49,0.02,-0.01,-0.03,-0.84
3200,0.08,9.58,-1.56,0.02,-0.01,-0.03,-0.84
3220,0.02,9.59,-1.49,0.02,-0.01,-0.03,-0.67
3240,0.02,9.64,-1.53,0.02,-0.02,-0.03,-0.67
3260,0.15,9.70,-1.47,0.02,-0.02,-0.02,-0.67
3280,0.07,9.63,-1.42,0.02,-0.02,-0.03,-0.67
3300,0.12,9.73,-1.47,0.02,-0.01,-0.03,-0.67
3320,0.05,9.56,-1.50,0.02,-0.02,-0.03,-0.76
3340,0.01,9.56,-1.59,0.02,-0.02,-0.03,-0.76
3360,0.14,9.60,-1.48,0.02,-0.02,-0.03,-0.76
3380,0.16,9.64,-1.50,0.02,-0.01,-0.04,-0.73
3400,0.06,9.65,-1.47,0.03,-0.00,-0.04,-0.73
3420,0.10,9.64,-1.51,0.02,-0.02,-0.04,-0.64
3440,0.04,9.64,-1.57,0.02,-0.02,-0.04,-0.64
3460,0.01,9.55,-1.57,0.02,-0.02,-0.03,-0.64
3480,0.09,9.62,-1.60,0.02,-0.02,-0.03,-0.64
3500,-0.01,9.65,-1.49,0.02,-0.02,-0.03,-0.64
3520,0.10,9.63,-1.53,0.02,-0.02,-0.04,-0.61
3540,0.05,9.64,-1.51,0.02,-0.02,-0.04,-0.61
3560,0.10,9.56,-1.48,0.02,-0.02,-0.04,-0.61
3580,0.10,9.61,-1.58,0.02,-0.02,-0.04,-0.61
3600,0.02,9.60,-1.44,0.02,-0.02,-0.04,-0.61
3620,-0.06,9.67,-1.55,0.02,-0.02,-0.03,-0.55
3640,0.00,9.59,-1.64,0.01,-0.03,-0.04,-0.55
3660,0.12,9.63,-1.52,0.02,-0.02,-0.04,-0.55
3680,0.03,9.64,-1.43,0.02,-0.03,-0.04,-0.55
3700,0.07,9.65,-1.38,0.02,-0.02,-0.04,-0.55
3720,0.03,9.65,-1.64,0.02,-0.02,-0.04,-0.51
3740,-0.07,9.60,-1.53,0.02,-0.02,-0.04,-0.51
3760,-0.11,9.64,-1.54,0.01,-0.02,-0.04,-0.51
3780,0.04,9.60,-1.51,0.02,-0.03,-0.03,-0.73
3800,0.01,9.63,-1.54,0.02,-0.03,-0.04,-0.73
3820,0.05,9.58,-1.57,0.02,-0.03,-0.04,-0.68
3840,0.05,9.59,-1.51,0.02,-0.03,-0.04,-0.68
3860,0.07,9.63,-1.58,0.02,-0.02,-0.04,-0.68
3880,-0.01,9.58,-1.51,0.02,-0.02,-0.04,-0.68
3900,0.04,9.61,-1.59,0.02,-0.02,-0.04,-0.68
3920,0.08,9.64,-1.59,0.02,-0.02,-0.04,-0.63
3940,0.06,9.58,-1.49,0.02,-0.02,-0.05,-0.63
3960,0.04,9.64,-1.54,0.02,-0.02,-0.05,-0.63
3980,-0.02,9.61,-1.56,0.03,-0.02,-0.04,-0.83
4000,-0.06,9.63,-1.60,0.02,-0.02,-0.04,-0.83
4020,0.02,9.65,-1.54,0.02,-0.02,-0.03,-0.74
4040,-0.01,9.63,-1.56,0.02,-0.02,-0.04,-0.74
4060,0.04,9.68,-1.52,0.02,-0.02,-0.03,-0.74
4080,-0.01,9.57,-1.50,0.01,-0.02,-0.04,-0.57
4100,0.02,9.66,-1.60,0.02,-0.01,-0.04,-0.57
4120,-0.06,9.64,-1.57,0.02,-0.03,-0.04,-0.57
4140,0.00,9.60,-1.57,0.02,-0.03,-0.04,-0.57
4160,0.03,9.60,-1.62,0.02,-0.01,-0.04,-0.57
4180,-0.03,9.65,-1.59,0.01,-0.01,-0.04,-0.66
4200,-0.05,9.65,-1.60,0.02,-0.02,-0.04,-0.66
4220,0.00,9.62,-1.58,0.02,-0.02,-0.03,-0.69
4240,0.06,9.69,-1.50,0.02,-0.02,-0.04,-0.69
4260,-0.04,9.63,-1.62,0.01,-0.01,-0.03,-0.69
4280,0.01,9.58,-1.57,0.02,-0.02,-0.04,-0.62
4300,-0.01,9.62,-1.58,0.02,-0.02,-0.04,-0.62
4320,-0.04,9.61,-1.55,0.02,-0.02,-0.03,-0.62
4340,0.04,9.63,-1.65,0.01,-0.03,-0.04,-0.62
4360,-0.01,9.66,-1.60,0.02,-0.02,-0.04,-0.62
4380,-0.03,9.60,-1.61,0.02,-0.02,-0.04,-0.56
4400,0.10,9.66,-1.53,0.02,-0.02,-0.04,-0.56
4420,0.05,9.62,-1.55,0.02,-0.01,-0.05,-0.66
4440,-0.06,9.57,-1.58,0.02,-0.01,-0.05,-0.66
4460,-0.13,9.62,-1.59,0.02,-0.02,-0.04,-0.66
4480,-0.02,9.59,-1.48,0.02,-0.02,-0.04,-0.69
4500,0.02,9.62,-1.61,0.02,-0.01,-0.05,-0.69
4520,-0.06,9.61,-1.53,0.02,-0.00,-0.05,-0.69
4540,-0.12,9.63,-1.54,0.02,-0.01,-0.04,-0.69
4560,-0.03,9.64,-1.58,0.02,-0.02,-0.04,-0.69
4580,-0.03,9.65,-1.53,0.02,-0.02,-0.04,-0.46
4600,-0.02,9.62,-1.52,0.02,-0.02,-0.04,-0.46
4620,-0.08,9.61,-1.59,0.01,-0.02,-0.03,-0.68
4640,-0.07,9.58,-1.64,0.02,-0.02,-0.03,-0.68
4660,-0.06,9.63,-1.59,0.01,-0.03,-0.03,-0.68
4680,-0.08,9.56,-1.58,0.01,-0.02,-0.03,-0.72
4700,-0.03,9.57,-1.51,0.01,-0.02,-0.03,-0.72
4720,-0.06,9.59,-1.61,0.02,-0.02,-0.03,-0.72
4740,-0.11,9.55,-1.58,0.02,-0.02,-0.03,-0.72
4760,-0.08,9.64,-1.57,0.02,-0.02,-0.03,-0.72
4780,-0.03,9.61,-1.61,0.02,-0.03,-0.02,-0.64
4800,-0.12,9.59,-1.66,0.01,-0.02,-0.03,-0.64
4820,0.08,9.58,-1.49,0.01,-0.02,-0.02,-0.93
4840,-0.05,9.61,-1.60,0.02,-0.02,-0.03,-0.93
4860,-0.03,9.60,-1.63,0.02,-0.02,-0.02,-0.93
4880,-0.04,9.58,-1.59,0.02,-0.01,-0.02,-0.61
4900,-0.05,9.58,-1.52,0.01,-0.02,-0.02,-0.61
4920,-0.01,9.59,-1.59,0.02,-0.02,-0.02,-0.61
4940,0.02,9.67,-1.60,0.01,-0.01,-0.02,-0.61
