timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,-0.84,10.41,-3.04,0.04,-0.27,-1.14,0.54
20,-1.13,11.56,-3.07,0.03,-0.53,-1.14,0.62
40,1.20,11.54,-2.17,-0.08,-0.71,-1.20,0.62
60,2.20,10.58,-3.67,0.07,-0.57,-1.30,0.71
80,0.83,10.44,-4.03,0.15,-0.35,-1.36,0.71
100,-1.48,9.15,-3.77,0.21,-0.41,-1.28,0.71
120,-2.97,8.31,-4.07,0.31,-0.56,-0.98,0.32
140,-2.44,7.66,-3.67,0.24,-0.84,-0.35,0.32
160,0.09,6.83,-1.72,0.00,-1.31,0.45,0.32
180,2.46,6.51,-1.52,-0.03,-1.24,1.10,0.32
200,3.93,6.48,-1.97,0.04,-0.71,1.59,0.32
220,4.27,7.48,-2.06,0.07,0.02,1.98,0.39
240,2.78,8.31,-2.18,0.12,0.57,2.28,0.39
260,1.54,9.85,-2.20,0.09,0.87,2.57,0.52
280,0.49,10.62,-2.09,-0.01,0.96,2.76,0.52
300,0.09,10.94,-1.88,-0.10,0.98,2.89,0.52
320,-0.06,11.30,-1.89,-0.16,0.96,2.85,0.18
340,-0.34,11.32,-1.73,-0.15,0.89,2.70,0.18
360,-0.30,11.24,-1.46,-0.18,0.79,2.50,0.18
380,-0.69,11.15,-1.31,-0.20,0.81,2.21,0.18
400,-1.09,10.12,-0.99,-0.23,0.89,1.65,0.18
420,-1.69,9.64,-1.75,-0.17,0.82,1.13,0.61
440,-2.51,9.45,-1.92,-0.12,0.55,0.58,0.61
460,-2.83,9.08,-2.33,0.00,0.27,0.01,0.68
480,-2.55,9.37,-2.70,0.08,0.10,-0.46,0.68
500,-1.77,9.75,-2.88,0.12,0.09,-0.91,0.68
520,1.40,11.09,-2.54,0.12,0.31,-1.17,0.59
540,6.79,10.11,0.88,0.02,0.33,-0.70,0.59
560,3.99,10.15,-0.64,0.28,0.55,-1.08,0.59
580,1.43,9.46,-1.82,0.44,0.69,-1.18,0.59
600,1.97,8.49,-3.18,0.57,0.76,-1.11,0.59
620,0.08,9.77,-3.85,0.64,0.65,-1.11,0.59
640,-1.94,10.15,-2.75,0.35,0.08,-0.96,0.59
660,-3.22,10.36,-1.29,0.21,-0.71,-0.92,0.78
680,-0.90,9.75,-2.14,0.04,-1.24,-0.66,0.78
700,1.07,9.29,-2.13,0.11,-1.33,-0.58,0.78
720,1.55,9.73,-1.71,0.23,-0.73,-0.62,0.77
740,1.89,9.48,-2.04,0.25,-0.13,-0.68,0.77
760,-0.96,9.63,-2.55,0.31,0.20,-0.65,0.77
780,-2.10,9.58,-3.02,0.25,0.03,-0.47,0.77
800,-1.15,9.46,-3.07,0.18,-0.27,-0.29,0.77
820,-0.28,9.59,-2.93,0.16,-0.34,-0.19,0.70
840,0.96,9.53,-2.34,0.17,-0.25,-0.17,0.70
860,1.12,9.64,-2.44,0.19,-0.06,-0.23,0.83
880,0.51,9.77,-2.46,0.19,0.00,-0.26,0.83
900,-0.07,9.67,-2.80,0.18,-0.10,-0.26,0.83
920,0.00,9.69,-2.90,0.16,-0.25,-0.24,0.93
940,0.76,9.40,-2.77,0.16,-0.25,-0.25,0.93
960,0.88,9.83,-3.17,0.15,-0.19,-0.31,0.78
980,0.99,9.22,-3.28,0.10,-0.17,-0.37,0.78
1000,0.23,9.49,-3.25,0.07,-0.17,-0.41,0.78
1020,-0.13,9.45,-2.94,0.05,-0.22,-0.41,0.78
1040,0.11,9.22,-2.91,0.03,-0.22,-0.41,0.78
1060,0.08,9.17,-2.98,0.03,-0.14,-0.42,0.51
1080,-0.10,9.07,-2.85,0.01,-0.10,-0.44,0.51
1100,-0.21,9.07,-3.10,0.01,-0.10,-0.44,0.51
1120,-0.38,9.15,-2.85,0.02,-0.09,-0.45,0.51
1140,-0.40,9.06,-2.66,0.01,-0.07,-0.46,0.51
1160,-0.26,8.84,-2.86,0.01,-0.06,-0.52,0.64
1180,0.00,8.75,-2.94,-0.02,-0.10,-0.62,0.64
1200,0.54,9.34,-3.42,0.05,-0.08,-0.70,0.64
1220,-1.05,10.44,-2.54,0.06,-0.14,-0.73,0.64
1240,-1.14,9.25,-2.37,0.08,-0.22,-0.71,0.64
1260,-1.39,9.34,-3.10,0.09,-0.18,-0.71,0.59
1280,-1.29,9.28,-3.48,0.06,-0.17,-0.70,0.59
1300,-1.06,9.60,-4.00,0.01,-0.22,-0.71,0.59
1320,-1.05,10.15,-3.90,-0.05,-0.35,-0.75,0.69
1340,-0.36,10.35,-3.70,-0.09,-0.45,-0.84,0.69
1360,0.08,10.18,-3.46,-0.13,-0.47,-0.99,0.54
1380,0.02,10.50,-3.13,-0.10,-0.50,-1.14,0.54
1400,-0.51,10.65,-3.18,-0.09,-0.65,-1.32,0.54
1420,-1.61,10.98,-3.15,-0.02,-0.82,-1.45,0.54
1440,-0.39,12.64,-1.49,-0.06,-0.93,-1.56,0.54
1460,0.26,13.19,-2.15,0.01,-0.82,-1.74,0.41
1480,1.22,13.25,-2.51,0.07,-0.81,-1.93,0.41
1500,0.02,12.93,-2.37,0.12,-0.79,-2.11,0.41
1520,-0.64,13.26,-2.83,0.24,-0.99,-2.08,0.60
1540,-0.30,12.49,-3.22,0.29,-1.29,-1.99,0.60
1560,-1.01,10.45,-3.52,0.29,-1.32,-1.92,0.32
1580,-4.36,9.43,-3.69,0.41,-0.92,-2.01,0.32
1600,-5.31,8.54,-4.45,0.43,-0.58,-2.08,0.32
1620,-5.15,7.90,-3.17,0.37,-0.60,-1.70,0.32
1640,-4.39,5.42,-3.07,0.34,-0.53,-1.28,0.32
1660,-3.93,4.72,-3.30,0.28,-0.58,-0.69,0.31
1680,-1.58,3.62,-2.09,0.09,-0.41,0.17,0.31
1700,3.62,4.43,-2.25,0.05,0.56,0.89,0.31
1720,2.80,3.95,-1.47,0.13,1.45,1.29,0.45
1740,-0.49,4.30,-2.70,0.16,1.99,1.71,0.45
1760,-2.83,5.86,-2.42,-0.07,2.03,2.35,0.47
1780,-3.76,6.21,-2.17,-0.26,1.85,2.90,0.47
1800,-3.85,6.79,-2.15,-0.46,1.49,3.46,0.47
1820,-4.88,7.77,-2.11,-0.63,0.88,3.97,0.04
1840,-5.98,9.05,-2.75,-0.78,0.08,4.37,0.04
1860,-4.75,9.50,-2.20,-0.86,-0.54,4.37,0.04
1880,-3.23,10.42,-2.47,-0.66,-0.85,4.37,0.04
1900,-1.59,11.30,-2.39,-0.42,-0.82,4.37,0.04
1920,0.35,11.48,-1.92,-0.10,-0.25,4.37,0.31
1940,1.27,12.33,-1.62,0.20,0.47,4.11,0.31
1960,1.87,14.31,-1.89,0.12,1.38,3.37,0.52
1980,0.83,13.33,-2.06,0.00,2.15,2.69,0.52
2000,-0.70,11.53,-2.51,0.00,2.62,1.85,0.52
2020,-4.68,10.65,-3.35,0.08,2.45,0.94,0.33
2040,-7.70,9.62,-3.64,0.16,1.50,-0.00,0.33
2060,-8.28,9.52,-3.05,0.20,0.24,-0.72,0.33
2080,-5.92,9.13,-2.39,0.27,-0.37,-1.08,0.33
2100,0.72,12.74,-2.35,0.15,-0.21,-1.31,0.33
2120,10.44,11.11,2.59,-0.06,0.02,-0.65,0.54
2140,7.03,9.00,0.59,0.28,0.62,-1.23,0.54
2160,1.20,9.60,-2.67,0.57,1.06,-1.49,0.47
2180,1.42,10.06,-3.55,0.65,1.01,-1.43,0.47
2200,-1.35,9.41,-3.17,0.59,0.61,-1.27,0.47
2220,-4.49,9.83,-3.30,0.60,-0.04,-1.18,0.37
2240,-3.23,10.35,-3.26,0.45,-0.75,-0.87,0.37
2260,-0.72,9.18,-3.02,0.40,-1.18,-0.63,0.37
2280,1.01,9.48,-2.81,0.41,-1.12,-0.53,0.37
2300,3.43,9.90,-2.81,0.41,-0.62,-0.58,0.37
2320,3.58,9.10,-2.44,0.49,0.15,-0.78,0.51
2340,0.34,9.85,-2.22,0.51,0.42,-0.86,0.51
2360,-1.63,10.35,-2.43,0.47,0.08,-0.72,0.62
2380,-1.13,9.82,-3.57,0.41,-0.33,-0.56,0.62
2400,-0.35,9.67,-3.52,0.31,-0.60,-0.43,0.62
2420,0.62,9.35,-3.31,0.29,-0.67,-0.34,0.64
2440,1.10,9.48,-3.57,0.30,-0.52,-0.33,0.64
2460,0.51,9.65,-3.45,0.26,-0.38,-0.34,0.31
2480,-0.07,9.75,-3.43,0.22,-0.38,-0.31,0.31
2500,-0.10,9.37,-3.53,0.20,-0.50,-0.24,0.31
2520,0.31,9.34,-3.61,0.15,-0.62,-0.21,0.27
2540,1.28,9.05,-3.64,0.13,-0.58,-0.24,0.27
2560,1.52,8.94,-3.53,0.13,-0.44,-0.32,0.47
2580,1.08,8.94,-3.68,0.15,-0.36,-0.39,0.47
2600,0.51,8.91,-3.24,0.15,-0.37,-0.43,0.47
2620,0.15,9.17,-3.56,0.15,-0.42,-0.45,0.39
2640,0.39,9.12,-3.60,0.14,-0.42,-0.49,0.39
2660,0.25,9.26,-3.60,0.12,-0.38,-0.54,0.49
2680,-0.12,9.26,-3.59,0.11,-0.41,-0.57,0.49
2700,-0.55,9.21,-3.54,0.09,-0.47,-0.59,0.49
2720,-0.52,9.13,-3.48,0.08,-0.54,-0.60,0.49
2740,0.28,8.66,-3.44,0.10,-0.51,-0.63,0.49
2760,0.16,8.77,-3.40,0.11,-0.34,-0.72,0.45
2780,-0.73,9.14,-3.80,0.09,-0.26,-0.78,0.45
2800,-2.42,9.76,-3.72,0.05,-0.36,-0.79,0.45
2820,-1.94,9.76,-3.41,0.03,-0.69,-0.71,0.59
2840,-0.14,9.89,-3.90,-0.02,-0.80,-0.76,0.59
2860,-0.30,9.61,-3.83,-0.05,-0.76,-0.88,0.54
2880,-0.78,10.03,-4.15,-0.15,-0.77,-0.97,0.54
2900,-0.27,10.25,-4.84,-0.28,-0.81,-1.05,0.54
2920,-0.16,10.39,-3.69,-0.32,-0.73,-1.18,0.54
2940,-1.02,10.84,-3.48,-0.30,-0.64,-1.32,0.54
2960,-1.35,11.38,-3.03,-0.26,-0.73,-1.42,0.46
2980,-1.47,11.14,-2.64,-0.24,-0.82,-1.53,0.46
3000,-1.47,11.31,-2.59,-0.23,-0.91,-1.56,0.46
3020,-0.34,12.38,-3.14,-0.24,-1.02,-1.56,0.18
3040,1.81,12.17,-3.25,-0.21,-0.95,-1.67,0.18
3060,1.26,12.53,-2.77,-0.13,-0.73,-1.78,0.38
3080,2.70,12.63,-2.25,-0.07,-0.68,-1.81,0.38
3100,2.50,11.63,-2.91,-0.01,-0.34,-2.07,0.38
3120,-1.22,10.26,-3.54,0.01,0.28,-2.49,0.38
3140,-5.84,11.95,-5.30,0.05,0.51,-2.67,0.38
3160,-4.94,7.98,-4.53,0.06,0.51,-2.35,0.48
3180,-4.91,6.72,-6.06,0.31,0.58,-2.02,0.48
3200,-3.88,6.23,-5.87,0.08,0.43,-1.30,0.48
3220,0.15,3.96,-3.99,-0.19,0.31,-0.10,0.21
3240,3.77,5.33,-1.54,-0.29,0.68,0.82,0.21
3260,0.59,4.49,-2.82,-0.23,1.07,1.42,0.27
3280,-1.89,5.24,-3.52,-0.35,1.05,2.10,0.27
3300,-3.41,5.86,-2.02,-0.64,0.82,2.90,0.27
3320,-2.93,5.03,-1.68,-0.66,0.71,3.58,0.17
3340,-2.76,6.01,-2.32,-0.64,0.69,4.17,0.17
3360,-4.63,7.80,-3.09,-0.77,0.39,4.37,0.17
3380,-4.89,8.31,-2.28,-0.81,-0.04,4.37,0.17
3400,-5.07,9.66,-1.41,-0.64,-0.45,4.37,0.17
3420,-4.41,11.81,-1.75,-0.52,-0.91,4.37,0.14
3440,-2.59,11.55,-1.24,-0.27,-0.69,4.37,0.14
3460,0.52,13.28,-0.85,0.11,0.19,4.37,-0.05
3480,2.84,14.41,-1.22,0.09,1.41,4.24,-0.05
3500,0.34,14.80,-0.97,-0.04,2.81,3.05,-0.05
3520,-3.01,13.10,-2.72,-0.08,3.53,1.85,0.39
3540,-8.43,10.68,-4.54,-0.02,3.26,0.50,0.39
3560,-11.42,9.04,-4.18,0.15,1.95,-0.91,0.39
3580,-12.10,8.71,-4.60,0.25,0.67,-1.59,0.39
3600,-4.21,11.75,-5.54,0.37,0.00,-1.61,0.39
3620,9.17,11.62,1.83,-0.09,-0.74,-0.46,0.64
3640,7.18,9.19,-0.46,0.29,-0.06,-1.24,0.64
3660,4.42,10.99,-2.56,0.55,0.86,-1.57,0.59
3680,0.98,10.76,-1.27,0.64,1.05,-1.80,0.59
3700,-4.51,9.78,-2.11,0.68,0.68,-1.60,0.59
3720,-4.58,9.15,-3.02,0.71,0.08,-1.22,0.46
3740,-2.76,10.68,-3.87,0.62,-0.56,-0.91,0.46
3760,-0.86,9.54,-3.22,0.49,-1.06,-0.74,0.46
3780,1.27,9.38,-3.58,0.49,-0.94,-0.67,0.46
3800,3.50,9.55,-3.70,0.43,-0.52,-0.67,0.46
3820,2.30,8.80,-2.82,0.30,-0.04,-0.75,0.45
3840,-0.14,9.40,-2.38,0.43,0.18,-0.75,0.45
3860,-0.91,10.42,-3.14,0.31,-0.11,-0.64,0.70
3880,-1.56,9.87,-2.65,0.24,-0.42,-0.58,0.70
3900,-0.80,9.86,-1.99,0.20,-0.68,-0.50,0.70
3920,0.89,9.58,-2.76,0.22,-0.73,-0.45,0.53
3940,1.36,9.89,-3.21,0.22,-0.47,-0.51,0.53
3960,0.64,9.46,-3.36,0.18,-0.23,-0.57,0.53
3980,-0.74,9.56,-3.24,0.12,-0.23,-0.54,0.53
4000,-1.22,9.51,-3.11,0.09,-0.36,-0.44,0.53
4020,-0.55,9.51,-3.14,0.08,-0.42,-0.37,0.47
4040,0.25,9.30,-3.06,0.04,-0.38,-0.37,0.47
4060,0.39,9.25,-2.70,0.05,-0.24,-0.40,0.47
4080,0.15,9.19,-2.63,0.06,-0.15,-0.44,0.47
4100,-0.22,9.17,-2.93,0.05,-0.18,-0.47,0.47
4120,-0.26,8.96,-2.87,0.07,-0.20,-0.48,0.57
4140,-0.12,9.17,-2.84,0.08,-0.20,-0.53,0.57
4160,-0.35,9.25,-2.67,0.08,-0.25,-0.58,0.54
4180,-0.09,9.28,-2.39,0.10,-0.33,-0.63,0.54
4200,-0.62,9.43,-2.15,0.14,-0.35,-0.70,0.54
4220,-0.86,9.98,-3.31,0.13,-0.53,-0.71,0.54
4240,0.09,9.26,-3.96,0.11,-0.58,-0.76,0.54
4260,-0.67,9.62,-3.33,0.06,-0.50,-0.83,0.59
4280,-0.60,9.61,-3.70,0.01,-0.49,-0.88,0.59
4300,-0.52,9.83,-3.81,-0.04,-0.45,-0.97,0.59
4320,-0.83,10.41,-4.07,-0.09,-0.55,-1.07,0.31
4340,-0.99,10.57,-3.95,-0.14,-0.69,-1.18,0.31
4360,-1.21,10.99,-3.67,-0.17,-0.80,-1.27,0.42
4380,-0.90,11.93,-2.14,-0.23,-0.90,-1.35,0.42
4400,0.08,12.28,-1.85,-0.24,-0.91,-1.49,0.42
4420,-0.12,12.51,-2.16,-0.23,-0.91,-1.69,0.42
4440,-0.50,13.58,-2.92,-0.24,-0.99,-1.80,0.42
4460,2.14,13.30,-3.25,-0.30,-1.09,-1.91,0.39
4480,3.25,13.06,-3.03,-0.19,-1.06,-2.06,0.39
4500,1.88,12.76,-2.83,-0.00,-0.89,-2.15,0.39
4520,0.38,11.54,-2.84,0.05,-0.92,-2.14,0.70
4540,-2.43,10.11,-3.47,0.14,-0.60,-2.32,0.70
4560,-4.27,11.11,-4.52,0.20,-0.17,-2.46,0.43
4580,-4.07,8.95,-3.71,0.25,-0.24,-2.19,0.43
4600,-2.76,6.57,-3.82,0.29,-0.16,-1.74,0.43
4620,-3.29,4.82,-3.45,0.39,-0.10,-1.25,0.43
4640,-4.60,4.76,-3.65,0.31,-0.29,-0.40,0.43
4660,1.28,6.27,-2.58,-0.04,0.25,0.70,0.25
4680,2.41,4.02,-1.41,-0.05,0.69,1.23,0.25
4700,0.78,3.61,-2.70,0.17,1.39,1.59,0.25
4720,-1.11,4.90,-2.79,0.12,1.80,2.22,0.30
4740,-3.21,5.57,-2.33,0.00,1.85,2.78,0.30
4760,-4.51,5.80,-2.02,-0.13,1.62,3.53,0.24
4780,-4.78,6.80,-1.72,-0.28,1.13,4.17,0.24
4800,-5.35,7.60,-2.19,-0.49,0.29,4.37,0.24
4820,-4.86,8.51,-2.24,-0.55,-0.36,4.37,0.24
4840,-3.62,9.73,-1.70,-0.41,-0.62,4.37,0.24
4860,-2.93,11.96,-2.64,-0.25,-0.83,4.37,-0.06
4880,-1.69,12.92,-1.72,-0.00,-0.48,4.37,-0.06
4900,0.90,12.83,-0.61,0.29,0.41,4.37,-0.06
4920,1.87,14.61,-1.45,0.45,1.57,4.21,0.24
