timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,-2.32,11.57,-4.44,0.42,0.01,-2.62,-0.40
20,-2.43,11.05,-3.69,0.52,0.20,-2.42,-0.40
40,-0.92,9.78,-2.89,0.55,0.25,-2.00,-0.40
60,-0.08,7.95,-2.10,0.59,0.40,-1.52,-0.31
80,0.34,6.47,-1.71,0.62,0.55,-0.97,-0.31
100,1.19,5.42,-1.34,0.66,0.75,-0.36,-0.11
120,1.38,4.63,-1.00,0.65,0.98,0.17,-0.11
140,1.11,4.21,-0.59,0.64,1.18,0.68,-0.11
160,0.58,4.33,-0.73,0.58,1.34,1.17,-0.63
180,-0.92,4.44,-0.27,0.46,1.31,1.58,-0.63
200,-2.59,4.62,-0.09,0.32,1.20,1.93,-0.63
220,-3.70,4.79,0.35,0.17,0.91,2.16,-0.63
240,-5.41,4.84,0.49,-0.01,0.57,2.28,-0.63
260,-5.96,5.04,0.12,-0.17,0.26,2.23,-0.44
280,-6.41,4.79,-0.35,-0.28,0.21,1.95,-0.44
300,-7.32,5.49,-1.28,-0.37,0.28,1.53,-0.54
320,-6.79,5.16,-2.17,-0.42,0.40,1.07,-0.54
340,-10.41,2.30,-8.52,0.51,1.16,0.19,-0.54
360,-19.61,19.61,-19.61,1.21,1.32,-2.18,-0.61
380,1.07,12.07,10.39,-0.78,-2.98,-0.65,-0.61
400,7.70,5.96,1.99,-0.26,-1.14,-0.54,-0.61
420,-5.88,4.78,-4.52,0.26,-0.07,-1.05,-0.61
440,-6.96,6.64,-1.81,0.17,-0.20,-0.90,-0.61
460,-3.10,6.64,-1.68,0.24,-0.03,-0.79,-0.16
480,-7.29,9.82,-4.00,0.22,0.28,-0.59,-0.16
500,-3.94,9.20,-4.38,0.19,-0.20,-0.32,-0.35
520,-4.17,8.90,-3.57,0.19,-0.37,-0.24,-0.35
540,-2.39,8.64,-3.79,0.23,-0.37,-0.26,-0.35
