timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,-0.62,9.41,-1.88,0.19,0.03,0.01,0.79
20,-0.87,9.40,-2.44,0.17,0.10,0.03,0.79
40,-1.04,9.26,-2.12,0.18,0.09,0.08,0.71
60,-0.67,9.36,-2.51,0.17,0.07,0.11,0.71
80,-0.24,9.07,-2.71,0.11,0.12,0.12,0.83
100,-0.07,9.15,-2.64,0.16,0.16,0.14,0.83
120,-0.54,9.45,-2.01,0.16,0.21,0.13,0.83
140,-0.58,9.60,-2.34,0.17,0.21,0.13,0.88
160,-0.36,9.64,-2.44,0.15,0.16,0.13,0.88
180,0.17,9.64,-2.94,0.13,0.11,0.10,0.88
200,0.09,9.84,-2.84,0.11,0.06,0.06,0.88
220,0.04,9.71,-2.61,0.07,-0.05,0.04,0.88
240,0.00,9.55,-2.63,0.07,-0.12,0.00,0.65
260,-0.03,9.68,-2.80,0.06,-0.14,-0.02,0.65
280,-0.13,9.61,-2.84,0.05,-0.14,-0.03,0.80
300,-0.22,9.45,-2.60,0.04,-0.11,-0.03,0.80
320,-0.80,9.64,-2.65,0.03,-0.09,-0.01,0.80
340,-0.61,9.47,-2.74,0.02,-0.13,0.03,0.64
360,-0.14,9.43,-2.88,-0.02,-0.15,0.02,0.64
380,0.58,9.64,-3.02,-0.03,-0.21,-0.03,0.64
400,1.31,9.66,-2.91,-0.05,-0.28,-0.13,0.64
420,1.30,10.11,-3.18,-0.11,-0.34,-0.30,0.64
440,3.54,10.57,-3.47,-0.21,-0.49,-0.54,0.81
460,6.23,11.18,-2.53,-0.21,-0.58,-1.02,0.81
480,4.65,10.90,-2.17,-0.08,-0.57,-1.59,0.58
500,0.91,12.21,-2.85,0.09,-0.52,-1.79,0.58
520,-2.39,14.34,-3.69,0.13,-0.66,-1.78,0.58
540,-1.05,14.58,-4.30,0.15,-0.92,-1.73,0.81
560,-4.97,15.08,-5.45,0.22,-1.30,-1.78,0.81
580,-1.19,16.60,-6.17,0.03,-1.34,-1.75,0.81
600,0.97,12.58,-5.31,0.06,-0.77,-1.93,0.81
620,0.00,11.57,-4.87,0.21,-0.06,-1.96,0.81
640,-1.22,10.58,-4.14,0.27,0.32,-1.75,1.01
660,0.21,8.96,-3.29,0.27,0.56,-1.38,1.01
680,0.37,7.26,-2.89,0.30,0.87,-0.93,0.76
700,0.36,6.05,-2.43,0.35,1.01,-0.49,0.76
720,0.04,5.49,-2.43,0.39,1.02,0.04,0.76
740,0.14,5.30,-2.35,0.39,1.01,0.57,0.88
760,0.19,5.01,-2.13,0.41,1.05,1.02,0.88
780,0.16,5.18,-1.98,0.39,1.18,1.44,0.88
800,-0.97,5.60,-2.09,0.37,1.31,1.72,0.88
820,-2.17,6.18,-1.95,0.31,1.25,1.95,0.88
840,-3.42,6.70,-2.16,0.21,1.03,2.09,0.61
860,-3.81,6.81,-1.89,0.06,0.75,2.12,0.61
880,-4.11,6.77,-1.76,-0.11,0.53,2.02,0.63
900,-4.07,6.77,-1.62,-0.28,0.42,1.81,0.63
920,-5.55,5.82,-3.39,-0.08,0.59,1.36,0.63
940,-13.20,14.60,-7.12,0.36,0.52,-0.19,0.25
960,-18.70,11.05,-5.86,-0.03,-0.20,-1.60,0.25
980,-2.90,3.00,1.81,-0.65,-0.80,-0.99,0.49
1000,6.93,4.79,-2.53,0.00,-0.14,-0.99,0.49
1020,-0.64,5.70,-4.71,0.78,0.17,-1.05,0.49
1040,-7.21,10.96,-4.29,0.31,-0.11,-1.27,0.49
1060,-8.82,9.01,1.02,0.12,-1.17,-0.83,0.49
1080,0.64,11.28,-4.20,0.17,-0.69,-0.68,0.50
1100,-0.64,7.20,-4.08,0.25,-0.17,-0.85,0.50
1120,-5.52,7.88,-3.88,0.28,0.05,-0.70,0.50
1140,-5.58,9.03,-4.69,0.21,0.01,-0.39,0.57
1160,-5.26,9.00,-4.66,0.11,-0.00,-0.14,0.57
1180,-4.62,8.90,-3.44,0.08,-0.04,0.09,0.72
1200,-3.64,8.76,-3.80,0.08,-0.03,0.19,0.72
1220,-3.42,9.17,-3.92,0.08,-0.09,0.31,0.72
1240,-3.01,9.15,-4.26,0.14,-0.11,0.40,0.72
1260,-3.23,8.94,-4.79,0.14,-0.20,0.49,0.72
1280,-3.36,9.56,-5.00,0.08,-0.40,0.63,0.58
1300,-2.38,8.80,-4.70,0.01,-0.52,0.70,0.58
1320,-1.72,8.42,-4.67,0.02,-0.48,0.73,0.58
1340,-1.72,8.76,-4.94,-0.02,-0.43,0.72,0.41
1360,-1.12,8.36,-5.25,-0.13,-0.34,0.70,0.41
1380,-0.68,7.74,-5.44,-0.20,-0.15,0.66,0.62
