timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,0.41,9.57,-1.86,-0.01,-0.02,-0.00,-0.49
20,0.45,9.56,-1.70,-0.01,-0.02,0.00,-0.49
40,0.51,9.53,-1.75,-0.00,-0.02,-0.00,-0.49
60,0.51,9.61,-1.68,0.00,-0.02,-0.01,-0.54
80,0.44,9.53,-1.81,-0.00,-0.02,-0.01,-0.54
100,0.35,9.61,-1.77,-0.00,-0.03,-0.01,-0.41
120,0.47,9.63,-1.69,-0.01,-0.03,-0.01,-0.41
140,0.54,9.55,-1.69,-0.01,-0.02,-0.03,-0.41
160,0.55,9.58,-1.77,0.00,-0.00,-0.03,-0.41
180,0.43,9.61,-1.74,0.00,-0.00,-0.04,-0.41
200,0.41,9.62,-1.72,0.00,-0.02,-0.04,-0.34
220,0.52,9.55,-1.70,0.00,-0.02,-0.03,-0.34
240,0.48,9.59,-1.74,0.01,-0.01,-0.04,-0.34
260,0.40,9.58,-1.75,0.01,-0.00,-0.04,-0.34
280,0.44,9.58,-1.71,0.01,-0.01,-0.04,-0.34
300,0.61,9.59,-1.65,0.02,-0.01,-0.04,-0.16
320,0.57,9.57,-1.78,0.03,0.01,-0.05,-0.16
340,0.41,9.58,-1.79,0.02,0.01,-0.05,-0.16
360,0.38,9.63,-1.66,0.02,0.01,-0.05,-0.16
380,0.46,9.58,-1.71,0.01,-0.01,-0.05,-0.16
400,0.44,9.54,-1.70,0.01,-0.02,-0.05,-0.41
420,0.52,9.56,-1.79,0.02,-0.01,-0.05,-0.41
440,0.49,9.61,-1.65,0.02,-0.00,-0.06,-0.41
460,0.40,9.61,-1.83,0.03,0.01,-0.06,-0.51
480,0.42,9.62,-1.74,0.02,-0.00,-0.05,-0.51
500,0.32,9.52,-1.75,0.03,-0.00,-0.05,-0.34
520,0.38,9.61,-1.67,0.03,-0.00,-0.04,-0.34
540,0.28,9.61,-1.86,0.02,-0.02,-0.04,-0.34
560,0.37,9.65,-1.75,0.02,-0.02,-0.04,-0.20
580,0.41,9.62,-1.75,0.02,-0.02,-0.04,-0.20
600,0.39,9.61,-1.64,0.02,-0.01,-0.04,-0.20
620,0.39,9.59,-1.72,0.03,-0.02,-0.04,-0.20
640,0.43,9.60,-1.74,0.03,-0.00,-0.04,-0.20
660,0.41,9.63,-1.87,0.03,-0.00,-0.04,-0.66
680,0.31,9.59,-1.88,0.02,-0.02,-0.03,-0.66
700,0.40,9.55,-1.81,0.02,-0.02,-0.03,-0.54
720,0.46,9.60,-1.68,0.02,-0.02,-0.03,-0.54
740,0.47,9.59,-1.78,0.03,-0.00,-0.04,-0.54
760,0.50,9.55,-1.75,0.02,0.01,-0.05,-0.21
780,0.26,9.61,-1.78,0.02,0.00,-0.05,-0.21
800,0.31,9.60,-1.80,0.02,-0.01,-0.05,-0.21
820,0.41,9.62,-1.70,0.02,-0.01,-0.04,-0.21
840,0.41,9.55,-1.70,0.02,-0.01,-0.04,-0.21
860,0.39,9.56,-1.79,0.02,-0.01,-0.05,-0.29
880,0.44,9.56,-1.73,0.03,-0.01,-0.05,-0.29
900,0.42,9.63,-1.74,0.03,-0.00,-0.05,-0.29
920,0.37,9.61,-1.75,0.02,0.00,-0.05,-0.29
940,0.40,9.56,-1.87,0.03,0.00,-0.05,-0.29
960,0.28,9.63,-1.79,0.02,-0.01,-0.05,-0.39
980,0.27,9.61,-1.88,0.02,-0.02,-0.04,-0.39
1000,0.31,9.61,-1.80,0.02,-0.02,-0.04,-0.39
1020,0.38,9.58,-1.82,0.02,-0.01,-0.04,-0.39
