timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,-0.02,9.67,-1.03,0.01,0.25,-0.35,-1.27
20,-0.30,9.62,-1.24,0.03,0.14,-0.36,-1.27
40,-0.27,9.48,-1.42,0.04,0.08,-0.35,-1.27
60,-0.04,9.61,-1.56,0.05,0.16,-0.37,-1.27
80,-0.33,9.51,-1.25,0.08,0.22,-0.39,-1.27
100,-0.68,9.45,-1.11,0.10,0.21,-0.37,-1.20
120,-0.88,9.52,-1.28,0.13,0.17,-0.32,-1.20
140,-0.94,9.61,-1.38,0.15,0.16,-0.27,-1.27
160,-1.02,9.52,-1.20,0.16,0.16,-0.24,-1.27
180,-0.88,9.44,-0.93,0.19,0.16,-0.20,-1.27
200,-0.71,9.35,-1.07,0.26,0.25,-0.16,-1.14
220,-0.68,9.47,-1.40,0.30,0.32,-0.14,-1.14
240,-0.62,9.37,-1.76,0.33,0.39,-0.15,-1.14
260,-0.91,9.50,-2.11,0.32,0.33,-0.15,-1.14
280,-0.57,9.41,-1.94,0.30,0.19,-0.13,-1.14
300,-0.06,9.57,-2.15,0.31,0.17,-0.17,-1.42
320,0.06,9.53,-2.31,0.31,0.22,-0.27,-1.42
340,-1.39,9.73,-2.27,0.28,0.08,-0.28,-1.43
360,-1.88,10.07,-2.79,0.19,-0.12,-0.20,-1.43
380,-0.35,9.98,-3.06,0.13,-0.20,-0.18,-1.43
400,-0.73,9.63,-3.17,0.06,-0.18,-0.20,-1.31
420,-1.41,9.55,-2.75,-0.00,-0.27,-0.18,-1.31
440,-1.15,9.48,-2.11,-0.03,-0.40,-0.16,-1.31
460,-0.77,9.80,-2.75,-0.07,-0.53,-0.20,-1.31
480,-0.08,9.97,-2.09,-0.11,-0.69,-0.31,-1.31
500,1.40,9.54,-2.15,-0.14,-0.80,-0.52,-1.46
520,3.06,9.93,-3.13,-0.21,-0.66,-0.94,-1.46
540,2.01,10.71,-3.93,-0.40,-0.64,-1.37,-1.24
560,1.50,12.39,-4.42,-0.58,-0.82,-1.63,-1.24
580,-1.18,14.20,-2.18,-0.62,-1.09,-1.86,-1.24
600,-1.05,19.61,-2.33,-0.73,-1.69,-1.95,-1.31
620,8.14,19.61,-1.16,-0.94,-1.81,-2.19,-1.31
640,7.43,19.61,-3.33,-0.93,-0.96,-2.83,-1.31
660,4.84,18.36,-4.34,-0.94,-0.64,-2.77,-1.31
680,2.60,9.69,-6.36,-0.48,0.63,-2.65,-1.31
700,-4.75,9.70,-5.57,0.08,1.91,-2.99,-1.09
720,-11.30,10.69,-4.51,0.54,1.26,-2.52,-1.09
740,-8.93,7.89,-1.14,0.41,-0.11,-1.22,-1.39
760,-3.71,6.49,-3.06,0.70,-0.30,-0.33,-1.39
780,0.74,3.54,-1.71,0.79,-0.10,0.42,-1.39
800,1.63,3.11,-0.80,0.93,0.50,0.92,-1.64
820,1.64,4.97,-0.91,1.03,0.96,1.53,-1.64
840,0.47,5.71,-0.40,0.95,1.30,2.12,-1.65
860,-1.69,5.51,0.42,0.81,1.48,2.55,-1.65
880,-2.56,5.94,0.55,0.57,1.37,3.06,-1.65
900,-2.78,6.03,0.95,0.32,1.24,3.40,-1.69
920,-3.82,5.80,1.13,0.12,1.23,3.53,-1.69
940,-3.98,5.97,0.56,-0.09,1.30,3.43,-1.79
960,-4.83,6.71,-0.41,-0.25,1.52,3.06,-1.79
980,-7.51,7.59,-1.51,-0.40,1.94,2.41,-1.79
1000,-10.47,6.22,-4.48,-0.31,2.21,1.48,-1.59
1020,-18.35,11.76,-4.10,-0.11,1.43,-0.10,-1.59
1040,-19.61,18.13,-13.17,0.31,0.79,-3.09,-1.37
1060,-6.44,3.76,1.53,-0.73,-0.92,-1.17,-1.37
1080,16.90,-5.86,4.10,-0.05,-1.51,-0.45,-1.37
1100,-0.45,7.20,-10.66,0.97,0.32,-1.72,-1.37
1120,-17.01,19.40,5.68,-0.17,0.13,-1.45,-1.37
