timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,0.36,9.81,-2.04,-0.10,-0.09,-0.37,-3.80
20,0.12,9.86,-1.91,-0.12,-0.14,-0.42,-3.80
40,0.03,9.83,-1.74,-0.13,-0.20,-0.48,-3.78
60,0.13,9.95,-1.81,-0.14,-0.23,-0.54,-3.78
80,-0.04,10.30,-1.82,-0.18,-0.28,-0.62,-3.78
100,-0.11,10.56,-1.79,-0.22,-0.37,-0.69,-3.75
120,0.57,11.06,-1.93,-0.28,-0.44,-0.78,-3.75
140,1.02,12.00,-2.02,-0.34,-0.48,-0.94,-3.48
160,1.96,12.42,-1.85,-0.42,-0.50,-1.12,-3.48
180,2.31,12.94,-1.58,-0.50,-0.45,-1.34,-3.48
200,2.08,12.81,-1.45,-0.54,-0.32,-1.50,-3.48
220,0.58,11.89,-1.62,-0.50,-0.13,-1.55,-3.48
240,-0.78,10.12,-2.37,-0.39,0.09,-1.46,-3.78
260,-1.28,7.50,-2.69,-0.20,0.49,-1.26,-3.78
280,-3.12,6.27,-2.41,0.01,0.70,-1.15,-3.78
300,-4.56,5.69,-2.01,0.15,0.46,-0.77,-3.57
320,-5.04,4.98,-0.61,0.13,-0.26,-0.14,-3.57
340,-3.35,4.26,-1.01,0.25,-0.71,0.58,-3.72
360,-0.97,4.32,-1.34,0.42,-0.70,1.02,-3.72
380,0.76,4.25,-1.07,0.55,-0.46,1.34,-3.72
400,0.58,4.80,-1.01,0.73,-0.06,1.57,-3.72
420,0.11,5.95,-1.40,0.86,0.29,1.83,-3.72
440,-0.45,7.06,-1.08,0.89,0.43,2.09,-3.47
460,-0.73,7.92,-0.48,0.86,0.49,2.23,-3.47
480,-1.39,8.56,-0.33,0.78,0.39,2.31,-3.47
500,-2.05,9.35,-0.46,0.66,0.21,2.35,-3.50
520,-2.37,9.80,-0.92,0.49,0.06,2.31,-3.50
540,-1.97,9.39,-1.28,0.31,-0.06,2.11,-3.64
560,-1.38,8.75,-1.47,0.20,-0.09,1.86,-3.64
580,-0.55,8.33,-1.62,0.13,0.01,1.54,-3.64
600,-0.07,7.65,-1.75,0.14,0.24,1.14,-3.64
620,-0.59,7.25,-1.41,0.22,0.35,0.68,-3.64
640,-0.88,7.59,-1.16,0.23,0.23,0.31,-3.47
660,-0.39,8.34,-0.81,0.19,-0.19,0.03,-3.47
680,0.50,7.69,-0.28,0.07,-0.58,-0.25,-3.47
700,-0.26,6.44,-0.32,-0.02,-0.79,-0.61,-3.42
720,-4.73,3.54,-3.87,0.90,-1.04,-1.40,-3.42
740,-15.38,19.61,7.58,-1.06,1.21,-3.67,-3.45
760,19.61,19.61,-4.41,0.01,0.33,-1.74,-3.45
780,14.31,7.81,-6.45,0.90,2.68,-3.00,-3.45
800,6.78,19.61,1.24,-0.04,3.17,-3.48,-3.38
820,-6.91,8.93,-2.22,0.37,2.40,-3.73,-3.38
840,-15.10,4.12,-2.72,0.32,0.48,-2.78,-3.38
860,-10.61,5.59,-5.19,0.13,-0.41,-1.66,-3.38
880,-7.10,10.76,-2.47,-0.08,-0.34,-1.01,-3.38
900,-0.26,12.63,-3.53,-0.06,0.08,-1.06,-3.45
920,-3.19,10.57,-3.98,-0.10,-0.13,-1.27,-3.45
940,-4.23,7.34,-1.76,-0.09,-0.54,-1.10,-3.41
960,-3.49,8.62,-1.83,-0.04,-0.58,-0.90,-3.41
980,-1.85,8.95,-3.02,-0.02,-0.65,-0.94,-3.41
1000,-3.28,9.71,-2.34,-0.02,-0.78,-1.16,-3.41
1020,-1.14,8.51,-2.21,0.02,-0.98,-1.36,-3.41
1040,-2.88,8.55,-2.33,0.06,-1.08,-1.56,-3.41
1060,-2.77,8.72,-3.20,0.05,-1.30,-1.63,-3.41
1080,-3.95,8.50,-2.39,0.11,-1.47,-1.82,-3.41
1100,-5.02,8.91,-1.21,0.04,-1.76,-1.94,-3.54
1120,-3.81,10.57,-1.64,-0.10,-1.76,-2.13,-3.54
1140,-0.68,15.01,-3.51,-0.15,-1.67,-2.55,-3.30
1160,-0.70,12.31,-3.29,-0.10,-1.53,-2.99,-3.30
1180,-8.04,14.83,-4.62,-0.17,-1.44,-3.12,-3.30
1200,-4.77,18.67,-4.49,-0.47,-1.63,-2.89,-3.34
1220,-1.11,15.09,-4.03,-0.57,-0.99,-2.66,-3.34
