timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,1.12,9.60,-1.44,0.01,0.01,-0.01,-0.98
20,1.18,9.64,-1.37,0.01,0.00,-0.01,-0.98
40,1.22,9.57,-1.47,0.01,0.01,-0.01,-0.98
60,1.29,9.55,-1.41,0.02,0.01,-0.02,-1.16
80,1.20,9.63,-1.39,0.02,-0.01,-0.03,-1.16
100,1.33,9.49,-1.35,0.03,-0.00,-0.03,-0.94
120,1.32,9.62,-1.45,0.03,0.00,-0.05,-0.94
140,1.32,9.59,-1.41,0.04,0.01,-0.06,-0.94
160,1.20,9.49,-1.52,0.04,0.02,-0.07,-1.07
180,1.15,9.57,-1.52,0.04,0.02,-0.07,-1.07
200,1.13,9.63,-1.51,0.04,0.02,-0.07,-1.07
220,1.09,9.58,-1.60,0.05,0.01,-0.08,-1.07
240,0.98,9.63,-1.55,0.05,0.01,-0.07,-1.07
260,1.07,9.58,-1.49,0.04,0.00,-0.06,-1.05
280,1.03,9.57,-1.55,0.04,0.00,-0.06,-1.05
300,1.08,9.57,-1.52,0.04,-0.01,-0.04,-0.92
320,1.14,9.59,-1.48,0.04,-0.02,-0.04,-0.92
340,1.11,9.60,-1.47,0.05,-0.01,-0.04,-0.92
360,1.13,9.57,-1.52,0.05,-0.01,-0.04,-0.89
380,1.22,9.56,-1.58,0.05,-0.03,-0.05,-0.89
400,1.23,9.51,-1.51,0.05,-0.02,-0.06,-0.89
420,1.13,9.61,-1.52,0.06,-0.02,-0.07,-0.89
440,1.12,9.61,-1.59,0.07,-0.03,-0.07,-0.89
460,1.09,9.65,-1.55,0.06,-0.01,-0.08,-0.72
480,1.04,9.56,-1.71,0.06,-0.02,-0.08,-0.72
500,1.06,9.58,-1.55,0.06,-0.02,-0.07,-0.79
520,1.07,9.62,-1.61,0.06,-0.03,-0.06,-0.79
540,1.12,9.62,-1.63,0.05,-0.03,-0.06,-0.79
560,1.05,9.58,-1.63,0.05,-0.02,-0.06,-0.96
580,1.04,9.61,-1.72,0.05,-0.01,-0.06,-0.96
600,1.01,9.61,-1.58,0.04,-0.02,-0.05,-1.10
620,1.04,9.60,-1.72,0.04,-0.02,-0.05,-1.10
640,1.08,9.56,-1.66,0.04,-0.02,-0.04,-1.10
660,1.07,9.57,-1.71,0.04,-0.02,-0.05,-1.10
680,1.08,9.61,-1.65,0.03,-0.02,-0.05,-1.10
700,1.11,9.62,-1.66,0.03,-0.01,-0.05,-0.86
720,0.98,9.56,-1.69,0.03,-0.01,-0.05,-0.86
740,1.02,9.62,-1.69,0.03,-0.02,-0.05,-0.86
760,1.01,9.67,-1.72,0.03,-0.02,-0.05,-1.07
780,1.14,9.52,-1.60,0.03,-0.03,-0.05,-1.07
800,1.11,9.68,-1.59,0.02,-0.02,-0.06,-0.87
820,1.11,9.62,-1.60,0.03,-0.02,-0.06,-0.87
840,0.87,9.60,-1.68,0.02,-0.02,-0.06,-0.87
860,0.91,9.63,-1.76,0.01,-0.03,-0.05,-0.87
880,1.00,9.59,-1.64,0.01,-0.04,-0.05,-0.87
900,1.02,9.60,-1.73,0.01,-0.03,-0.05,-0.81
920,0.96,9.61,-1.73,0.01,-0.01,-0.05,-0.81
940,0.91,9.63,-1.76,0.01,-0.03,-0.04,-0.81
960,0.97,9.60,-1.71,0.00,-0.04,-0.04,-0.75
980,1.00,9.56,-1.67,0.00,-0.04,-0.04,-0.75
1000,1.01,9.59,-1.69,0.00,-0.03,-0.05,-1.01
1020,0.96,9.58,-1.69,-0.00,-0.02,-0.05,-1.01
1040,0.88,9.66,-1.67,-0.01,-0.02,-0.05,-1.01
1060,0.94,9.57,-1.66,-0.00,-0.02,-0.05,-1.01
1080,0.97,9.57,-1.67,-0.00,-0.02,-0.05,-1.01
1100,0.96,9.62,-1.69,-0.01,-0.02,-0.04,-0.96
1120,0.86,9.62,-1.62,-0.01,-0.02,-0.04,-0.96
1140,0.96,9.58,-1.64,-0.02,-0.02,-0.03,-0.96
1160,1.00,9.60,-1.70,-0.01,-0.02,-0.04,-1.27
1180,0.91,9.61,-1.66,-0.01,-0.02,-0.04,-1.27
1200,0.95,9.60,-1.53,-0.02,-0.03,-0.05,-1.29
1220,0.97,9.58,-1.63,-0.01,-0.02,-0.05,-1.29
1240,0.94,9.62,-1.59,-0.01,-0.02,-0.05,-1.29
1260,0.92,9.63,-1.56,-0.01,-0.02,-0.04,-1.29
1280,0.96,9.60,-1.55,-0.01,-0.01,-0.04,-1.29
1300,0.79,9.65,-1.59,-0.01,-0.02,-0.04,-1.24
1320,0.89,9.61,-1.56,-0.01,-0.02,-0.03,-1.24
1340,0.85,9.64,-1.61,-0.01,-0.03,-0.03,-1.24
1360,0.91,9.62,-1.57,-0.01,-0.03,-0.03,-1.32
1380,0.89,9.60,-1.58,-0.02,-0.02,-0.03,-1.32
1400,0.96,9.61,-1.50,-0.01,-0.02,-0.02,-1.37
1420,0.95,9.62,-1.50,-0.01,-0.02,-0.03,-1.37
1440,1.01,9.58,-1.48,-0.01,-0.03,-0.03,-1.37
1460,1.00,9.62,-1.56,-0.00,-0.02,-0.03,-1.37
1480,0.96,9.63,-1.53,-0.00,-0.02,-0.03,-1.37
1500,0.97,9.61,-1.49,-0.00,-0.02,-0.03,-0.99
1520,0.96,9.59,-1.50,-0.00,-0.02,-0.03,-0.99
1540,0.93,9.57,-1.56,-0.00,-0.03,-0.04,-0.99
1560,0.93,9.62,-1.55,0.00,-0.02,-0.04,-0.82
1580,0.91,9.59,-1.50,0.00,-0.02,-0.04,-0.82
1600,0.98,9.64,-1.50,0.00,-0.02,-0.04,-1.26
1620,0.94,9.58,-1.55,0.01,-0.01,-0.04,-1.26
1640,0.85,9.62,-1.49,0.01,-0.01,-0.05,-1.26
1660,0.89,9.64,-1.57,0.01,-0.02,-0.04,-1.05
1680,0.91,9.62,-1.55,0.01,-0.02,-0.04,-1.05
1700,0.96,9.66,-1.50,0.01,-0.02,-0.04,-1.05
1720,0.95,9.61,-1.44,0.01,-0.02,-0.05,-1.05
1740,0.97,9.60,-1.53,0.01,-0.02,-0.05,-1.05
1760,0.98,9.62,-1.49,0.01,-0.02,-0.05,-0.82
1780,0.90,9.62,-1.43,0.02,-0.02,-0.05,-0.82
1800,0.92,9.59,-1.46,0.02,-0.02,-0.05,-1.05
1820,0.84,9.56,-1.55,0.01,-0.02,-0.05,-1.05
1840,0.88,9.60,-1.50,0.02,-0.02,-0.04,-1.05
1860,0.88,9.62,-1.57,0.01,-0.03,-0.04,-1.01
1880,0.89,9.59,-1.55,0.01,-0.03,-0.04,-1.01
1900,0.93,9.62,-1.48,0.01,-0.02,-0.04,-1.01
1920,1.01,9.60,-1.58,0.02,-0.02,-0.05,-1.01
1940,0.87,9.58,-1.61,0.02,-0.01,-0.05,-1.01
1960,0.88,9.64,-1.49,0.02,-0.01,-0.05,-1.05
1980,0.85,9.62,-1.59,0.02,-0.02,-0.05,-1.05
2000,0.93,9.65,-1.54,0.02,-0.03,-0.04,-1.00
2020,0.85,9.62,-1.58,0.02,-0.03,-0.04,-1.00
2040,0.81,9.59,-1.55,0.02,-0.02,-0.04,-1.00
2060,0.85,9.65,-1.55,0.02,-0.02,-0.04,-0.97
2080,0.87,9.62,-1.55,0.02,-0.03,-0.03,-0.97
2100,0.84,9.64,-1.54,0.01,-0.02,-0.03,-0.97
2120,0.91,9.58,-1.54,0.01,-0.02,-0.03,-0.97
2140,0.86,9.55,-1.42,0.02,-0.01,-0.03,-0.97
2160,0.82,9.59,-1.49,0.01,-0.01,-0.03,-1.04
2180,0.85,9.61,-1.50,0.02,-0.02,-0.03,-1.04
2200,0.84,9.60,-1.54,0.01,-0.03,-0.02,-0.94
2220,0.91,9.59,-1.58,0.01,-0.02,-0.03,-0.94
2240,0.77,9.64,-1.48,0.02,-0.01,-0.03,-0.94
2260,0.77,9.60,-1.54,0.02,-0.01,-0.02,-0.88
2280,0.92,9.59,-1.45,0.02,-0.01,-0.02,-0.88
2300,0.83,9.56,-1.50,0.02,-0.01,-0.02,-0.88
2320,0.89,9.63,-1.50,0.02,-0.01,-0.02,-0.88
2340,0.89,9.61,-1.63,0.02,-0.02,-0.02,-0.88
2360,0.95,9.59,-1.47,0.02,-0.02,-0.02,-0.89
2380,0.95,9.57,-1.56,0.02,-0.01,-0.02,-0.89
2400,0.90,9.62,-1.40,0.02,-0.00,-0.02,-1.04
2420,0.78,9.62,-1.56,0.02,-0.00,-0.02,-1.04
2440,0.86,9.63,-1.61,0.02,-0.00,-0.01,-1.04
2460,0.93,9.56,-1.56,0.02,0.01,-0.01,-0.83
2480,0.88,9.60,-1.52,0.02,0.03,-0.01,-0.83
2500,0.76,9.62,-1.63,0.01,0.02,-0.00,-0.83
2520,0.87,9.62,-1.41,0.01,-0.00,0.01,-0.83
2540,0.92,9.60,-1.54,0.01,-0.00,0.01,-0.83
2560,0.98,9.62,-1.55,0.01,0.00,0.01,-0.96
2580,0.92,9.56,-1.49,0.01,0.02,-0.00,-0.96
2600,0.89,9.63,-1.49,0.00,0.01,0.00,-1.33
2620,0.88,9.60,-1.50,0.01,0.00,0.01,-1.33
2640,0.94,9.60,-1.57,0.00,0.00,0.00,-1.33
2660,0.93,9.64,-1.57,-0.00,-0.02,0.00,-1.11
2680,1.06,9.60,-1.59,0.01,-0.01,0.00,-1.11
2700,1.13,9.67,-1.56,0.01,-0.00,-0.00,-1.04
2720,1.06,9.58,-1.33,0.02,-0.02,-0.01,-1.04
2740,1.04,9.56,-1.41,0.03,-0.00,-0.02,-1.04
2760,1.08,9.62,-1.49,0.03,-0.01,-0.03,-1.04
2780,1.03,9.58,-1.58,0.03,-0.01,-0.03,-1.04
2800,0.91,9.63,-1.57,0.03,-0.00,-0.03,-1.03
2820,0.94,9.57,-1.50,0.03,-0.01,-0.03,-1.03
2840,0.95,9.59,-1.57,0.03,0.00,-0.03,-1.03
2860,0.93,9.59,-1.53,0.03,-0.01,-0.03,-1.38
2880,0.97,9.65,-1.69,0.03,-0.01,-0.02,-1.38
2900,0.99,9.64,-1.58,0.03,-0.00,-0.02,-1.25
2920,1.00,9.59,-1.57,0.03,0.00,-0.02,-1.25
2940,1.03,9.63,-1.54,0.02,-0.01,-0.01,-1.25
2960,1.08,9.62,-1.62,0.02,-0.00,-0.03,-1.25
2980,1.04,9.69,-1.50,0.03,-0.00,-0.03,-1.25
3000,1.03,9.64,-1.57,0.03,-0.01,-0.03,-1.04
3020,1.00,9.64,-1.55,0.02,-0.02,-0.03,-1.04
3040,1.05,9.62,-1.64,0.03,-0.02,-0.03,-1.04
3060,1.08,9.58,-1.59,0.03,-0.02,-0.03,-0.95
