timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,1.02,9.28,-3.72,0.03,-0.09,-0.04,-0.52
20,0.94,9.28,-3.67,0.00,-0.11,-0.05,-0.74
40,0.93,9.22,-3.63,-0.03,-0.15,-0.07,-0.74
60,0.99,9.17,-3.57,-0.04,-0.19,-0.09,-0.74
80,1.02,9.22,-3.47,-0.05,-0.18,-0.11,-0.74
100,0.87,9.23,-3.32,-0.05,-0.17,-0.14,-0.74
120,0.71,9.17,-3.48,-0.05,-0.18,-0.14,-0.56
140,0.77,9.12,-3.47,-0.05,-0.19,-0.15,-0.56
160,0.69,9.21,-3.43,-0.05,-0.15,-0.15,-0.49
180,0.61,9.17,-3.56,-0.06,-0.14,-0.15,-0.49
200,0.52,9.15,-3.41,-0.08,-0.14,-0.14,-0.49
220,0.59,9.18,-3.42,-0.10,-0.14,-0.15,-0.70
240,0.75,9.22,-3.24,-0.10,-0.14,-0.15,-0.70
260,0.67,9.22,-3.36,-0.11,-0.13,-0.19,-0.70
280,0.66,9.23,-3.43,-0.12,-0.15,-0.22,-0.70
300,0.54,9.27,-3.39,-0.14,-0.19,-0.24,-0.70
320,0.93,9.28,-3.26,-0.15,-0.22,-0.29,-0.31
340,0.80,9.36,-3.18,-0.15,-0.21,-0.35,-0.31
360,0.77,9.34,-3.27,-0.15,-0.21,-0.43,-0.58
380,0.74,9.38,-3.15,-0.15,-0.21,-0.50,-0.58
400,0.89,9.28,-3.15,-0.15,-0.18,-0.59,-0.58
420,0.82,9.39,-3.40,-0.16,-0.17,-0.69,-0.63
440,0.99,9.52,-3.58,-0.19,-0.18,-0.81,-0.63
460,0.90,9.56,-3.38,-0.19,-0.22,-0.95,-0.63
480,0.63,9.90,-3.32,-0.20,-0.26,-1.07,-0.63
500,0.48,10.36,-3.01,-0.23,-0.32,-1.20,-0.63
520,0.39,10.75,-2.50,-0.24,-0.38,-1.31,-0.72
540,0.06,10.79,-2.26,-0.24,-0.42,-1.43,-0.72
560,-0.18,11.05,-2.09,-0.25,-0.47,-1.55,-0.79
580,0.13,11.21,-2.08,-0.26,-0.49,-1.64,-0.79
600,-0.24,11.32,-2.07,-0.25,-0.55,-1.74,-0.79
620,-0.61,11.48,-2.00,-0.21,-0.72,-1.84,-0.85
640,-1.73,13.13,-2.92,-0.28,-1.04,-1.82,-0.85
660,2.41,11.47,-3.73,-0.14,-1.29,-1.94,-0.68
680,0.26,10.92,-4.88,0.02,-1.24,-2.12,-0.68
700,-2.47,10.86,-4.34,0.04,-1.10,-2.05,-0.68
720,-2.94,9.84,-4.32,0.07,-0.74,-2.19,-0.68
740,-4.01,7.79,-3.48,0.06,-0.47,-2.11,-0.68
760,-3.71,6.35,-3.40,0.08,-0.34,-1.72,-0.87
780,-2.97,6.27,-2.99,-0.01,-0.34,-1.15,-0.87
800,-1.19,5.72,-1.67,-0.16,-0.18,-0.44,-0.87
820,-0.27,4.75,-1.22,-0.19,0.17,0.01,-0.77
840,-0.64,5.75,-2.12,-0.14,0.68,0.53,-0.77
860,0.09,5.35,-2.02,-0.21,0.93,1.05,-0.76
880,-0.76,5.54,-1.85,-0.17,1.07,1.40,-0.76
900,-1.47,6.18,-1.93,-0.11,1.17,1.85,-0.76
920,-1.73,6.83,-1.73,-0.15,1.11,2.34,-0.76
940,-1.81,7.82,-1.49,-0.21,0.97,2.79,-0.76
960,-1.28,8.64,-1.38,-0.24,0.91,3.19,-0.93
980,-1.20,9.56,-1.21,-0.28,0.97,3.49,-0.93
1000,-0.80,10.54,-1.41,-0.32,1.09,3.76,-0.93
1020,-0.57,11.55,-1.66,-0.35,1.28,3.91,-0.98
1040,-0.43,12.70,-2.03,-0.37,1.47,3.97,-0.98
1060,-0.27,13.79,-2.37,-0.36,1.65,3.92,-0.82
1080,-0.77,14.25,-2.59,-0.36,1.65,3.83,-0.82
1100,-1.22,13.87,-2.66,-0.35,1.48,3.59,-0.82
1120,-1.65,13.22,-2.44,-0.32,1.17,3.21,-0.82
1140,-3.22,11.81,-2.73,-0.41,0.92,2.67,-0.82
1160,-2.89,9.67,-2.23,-0.30,0.70,2.07,-0.87
1180,-4.25,9.14,-2.31,-0.16,0.36,1.27,-0.87
1200,-5.11,7.80,-2.20,0.05,-0.04,0.35,-0.87
1220,-4.12,8.45,-2.40,0.26,-0.33,-0.54,-0.69
1240,-4.88,9.14,-3.11,0.33,-0.41,-1.48,-0.69
1260,7.63,13.42,0.26,-0.01,-0.75,-0.67,-0.81
1280,12.65,10.56,0.58,0.17,-0.54,-0.95,-0.81
1300,-1.20,11.80,0.68,0.55,0.23,-1.65,-0.81
1320,-1.93,10.27,-2.41,0.81,-0.20,-1.42,-0.81
1340,3.52,9.54,-4.94,0.95,0.30,-1.55,-0.81
1360,2.54,8.25,-4.74,0.87,0.81,-1.60,-0.48
1380,-2.55,9.94,-3.73,0.63,0.68,-1.39,-0.48
1400,-2.56,10.10,-2.59,0.49,-0.32,-0.98,-0.48
1420,-0.86,9.43,-2.50,0.38,-0.73,-0.63,-0.81
1440,0.64,9.31,-2.35,0.38,-0.75,-0.44,-0.81
1460,2.49,9.73,-2.46,0.46,-0.36,-0.41,-0.64
1480,2.67,9.47,-3.14,0.51,0.14,-0.49,-0.64
1500,1.94,9.36,-3.59,0.47,0.50,-0.53,-0.64
1520,0.36,9.58,-3.95,0.34,0.25,-0.50,-0.64
1540,-0.03,9.40,-3.51,0.23,-0.26,-0.36,-0.64
1560,1.53,9.21,-3.25,0.17,-0.61,-0.34,-0.80
1580,2.46,9.14,-3.21,0.15,-0.58,-0.43,-0.80
1600,2.77,9.08,-3.44,0.16,-0.39,-0.58,-0.80
1620,1.80,9.15,-3.39,0.16,-0.29,-0.71,-0.55
1640,1.21,9.21,-3.11,0.15,-0.33,-0.78,-0.55
1660,0.70,9.22,-3.28,0.14,-0.43,-0.79,-0.86
1680,0.39,9.36,-3.44,0.10,-0.52,-0.78,-0.86
1700,0.28,9.32,-3.28,0.08,-0.56,-0.77,-0.86
1720,0.57,9.28,-3.42,0.08,-0.51,-0.77,-0.60
1740,-0.19,9.47,-3.34,0.06,-0.46,-0.75,-0.60
1760,-0.51,9.64,-3.30,0.03,-0.49,-0.71,-0.60
1780,-0.70,9.71,-3.50,-0.01,-0.55,-0.68,-0.60
1800,-0.57,9.87,-3.30,-0.04,-0.58,-0.65,-0.60
1820,-0.64,9.99,-3.16,-0.08,-0.63,-0.65,-0.68
1840,0.06,10.02,-3.06,-0.12,-0.59,-0.71,-0.68
1860,0.28,10.23,-3.29,-0.16,-0.51,-0.83,-0.45
1880,0.20,10.17,-3.43,-0.18,-0.48,-0.94,-0.45
1900,-0.03,10.33,-3.26,-0.22,-0.54,-1.06,-0.45
1920,0.23,10.22,-2.94,-0.23,-0.55,-1.20,-0.64
1940,0.43,10.22,-2.91,-0.29,-0.51,-1.39,-0.64
1960,1.13,10.78,-2.97,-0.33,-0.38,-1.64,-0.64
1980,1.14,10.98,-2.91,-0.34,-0.26,-1.88,-0.64
2000,0.70,11.73,-2.41,-0.32,-0.30,-2.09,-0.64
2020,0.79,12.62,-2.48,-0.27,-0.48,-2.24,-0.62
2040,0.34,12.84,-2.24,-0.16,-0.81,-2.30,-0.62
2060,-1.23,14.97,-3.89,-0.14,-1.47,-2.16,-0.86
2080,4.16,11.85,-3.82,0.17,-1.83,-2.30,-0.86
2100,0.78,11.35,-5.87,0.09,-1.11,-2.74,-0.86
2120,-5.27,11.47,-4.83,0.05,-0.41,-3.13,-1.24
2140,-5.22,10.15,-3.79,0.01,-0.42,-2.74,-1.24
2160,-4.75,8.08,-4.57,0.04,-0.46,-2.27,-1.24
2180,-1.44,6.18,-3.38,-0.08,-0.53,-1.34,-1.24
2200,0.36,4.40,-1.49,-0.21,-0.29,-0.58,-1.24
2220,-1.20,3.96,-1.91,-0.14,0.24,-0.11,-0.98
2240,-0.52,3.45,-1.81,-0.22,0.75,0.85,-0.98
2260,-0.96,2.87,-1.36,-0.22,0.99,1.50,-1.21
2280,-1.70,3.31,-1.79,-0.14,1.17,2.10,-1.21
2300,-1.54,4.00,-2.22,-0.15,1.15,2.74,-1.21
2320,-1.30,5.14,-1.38,-0.18,1.17,3.21,-0.97
2340,-2.79,7.07,-1.29,-0.20,1.07,3.63,-0.97
2360,-2.38,8.39,-0.97,-0.30,0.89,4.11,-0.97
2380,-1.40,9.63,-0.93,-0.41,1.02,4.37,-0.97
2400,-2.33,11.48,-1.18,-0.50,1.19,4.37,-0.97
2420,-2.18,12.55,-1.90,-0.57,1.17,4.37,-1.30
2440,-1.65,13.41,-2.43,-0.53,1.24,4.37,-1.30
2460,-1.56,15.01,-3.42,-0.35,1.42,4.37,-1.52
2480,-2.29,16.10,-3.67,-0.20,1.42,4.37,-1.52
2500,-3.41,15.73,-3.46,-0.22,1.12,4.16,-1.52
2520,-3.67,14.12,-1.88,-0.30,0.96,3.21,-1.10
2540,-7.63,11.71,-3.22,-0.36,0.98,2.16,-1.10
2560,-6.20,6.79,-3.84,-0.02,0.73,0.94,-0.92
2580,-7.23,7.82,-3.73,0.29,0.49,-0.32,-0.92
2600,-6.21,8.87,-3.29,0.47,0.21,-1.46,-0.92
2620,-1.18,13.45,-3.06,0.15,0.27,-2.02,-0.92
2640,16.38,11.31,7.09,0.14,-0.51,-0.50,-0.92
2660,0.39,10.98,0.09,0.78,0.98,-2.44,-0.94
2680,-8.88,11.16,-5.03,1.19,0.75,-2.01,-0.94
2700,0.95,12.24,-3.36,1.24,0.48,-1.94,-0.94
2720,5.56,6.97,-7.78,1.02,0.59,-2.16,-0.67
2740,-7.97,10.16,-2.95,0.54,0.21,-1.62,-0.67
2760,-3.07,9.75,-2.87,0.47,-1.04,-0.83,-0.78
2780,0.37,9.41,-2.52,0.39,-1.10,-0.58,-0.78
2800,2.34,9.51,-3.56,0.47,-0.73,-0.56,-0.78
2820,2.65,9.86,-2.68,0.45,-0.10,-0.66,-0.78
2840,1.65,9.46,-3.56,0.40,0.27,-0.77,-0.78
2860,-0.63,9.58,-4.33,0.22,-0.03,-0.68,-0.99
2880,0.01,9.67,-3.26,0.15,-0.28,-0.56,-0.99
2900,0.25,9.41,-3.29,0.11,-0.55,-0.50,-0.99
2920,1.40,9.46,-3.28,0.09,-0.53,-0.52,-0.85
2940,1.22,9.39,-3.38,0.08,-0.32,-0.60,-0.85
2960,0.24,9.34,-3.25,0.05,-0.19,-0.63,-0.62
2980,-0.20,9.25,-3.19,0.04,-0.25,-0.61,-0.62
3000,-0.44,9.38,-3.17,0.02,-0.42,-0.57,-0.62
3020,-0.28,9.38,-3.20,-0.01,-0.55,-0.54,-0.62
3040,0.02,9.57,-3.07,-0.02,-0.55,-0.54,-0.62
3060,0.03,9.79,-3.14,-0.04,-0.45,-0.57,-0.53
3080,-0.30,9.73,-3.28,-0.07,-0.43,-0.59,-0.53
3100,-0.88,9.74,-3.18,-0.12,-0.49,-0.58,-0.53
3120,-0.53,9.63,-3.19,-0.15,-0.57,-0.57,-0.80
3140,-0.15,9.64,-2.98,-0.18,-0.59,-0.61,-0.80
3160,0.40,9.92,-2.97,-0.21,-0.51,-0.73,-0.63
3180,0.59,9.95,-2.99,-0.25,-0.43,-0.87,-0.63
3200,1.14,9.83,-3.13,-0.27,-0.37,-1.09,-0.63
3220,1.28,10.67,-3.02,-0.29,-0.30,-1.35,-0.63
3240,1.68,11.43,-3.07,-0.34,-0.22,-1.64,-0.63
3260,1.41,11.64,-2.43,-0.31,-0.22,-1.95,-0.45
3280,1.04,12.30,-2.21,-0.24,-0.32,-2.17,-0.45
3300,0.45,12.89,-1.93,-0.10,-0.58,-2.33,-0.45
3320,-0.66,12.92,-2.40,0.09,-0.92,-2.40,-0.70
3340,-1.88,15.14,-4.11,0.06,-1.54,-2.16,-0.70
3360,2.99,10.92,-4.29,0.23,-2.01,-2.21,-0.62
3380,-0.58,9.95,-5.00,0.17,-1.31,-2.47,-0.62
3400,-6.18,10.16,-4.36,0.18,-0.88,-2.68,-0.62
3420,-5.07,8.05,-4.00,0.26,-1.06,-2.14,-0.62
3440,-2.54,6.96,-3.45,0.16,-1.22,-1.34,-0.62
3460,-0.28,5.11,-2.11,0.07,-1.10,-0.54,-0.73
3480,-0.66,3.48,-1.63,0.09,-0.67,-0.04,-0.73
3500,0.27,3.87,-1.71,0.13,0.10,0.66,-0.73
3520,0.36,3.32,-1.29,0.14,0.70,1.22,-0.77
3540,-1.30,3.62,-1.22,0.19,1.01,1.77,-0.77
3560,-1.29,4.40,-1.13,0.22,1.12,2.41,-1.04
