timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,-0.23,6.60,-2.26,0.33,0.67,0.51,-1.82
20,0.20,6.36,-1.97,0.22,0.81,0.74,-1.65
40,1.19,6.18,-1.71,0.10,1.04,0.94,-1.65
60,1.68,5.99,-1.39,-0.05,1.43,1.12,-1.65
80,1.45,5.81,-1.39,-0.17,1.86,1.30,-1.65
100,0.52,5.83,-1.57,-0.29,2.07,1.48,-1.65
120,-1.10,6.26,-1.91,-0.43,2.02,1.72,-1.51
140,-1.90,6.65,-2.05,-0.56,1.74,1.90,-1.51
160,-2.52,7.58,-2.06,-0.67,1.38,1.99,-1.51
180,-2.48,8.30,-2.16,-0.78,1.14,1.97,-1.83
200,-2.53,8.59,-2.56,-0.81,1.12,1.80,-1.83
220,-2.57,8.48,-3.10,-0.74,1.24,1.53,-1.74
240,-2.74,8.88,-4.13,-0.65,1.35,1.27,-1.74
260,-2.67,8.95,-4.50,-0.51,1.32,0.91,-1.74
280,-2.42,8.67,-4.46,-0.32,1.15,0.55,-1.65
300,-2.86,9.20,-7.90,0.30,1.28,0.09,-1.65
320,2.07,19.61,-2.79,-0.40,-0.14,0.08,-1.65
340,2.05,12.25,1.10,-0.19,-1.57,-0.25,-1.65
360,2.47,6.51,-2.65,0.11,-0.84,-0.25,-1.65
380,3.58,6.04,-2.82,0.01,-0.28,-0.09,-1.84
400,0.27,8.41,-2.49,0.12,0.20,-0.36,-1.84
420,0.57,8.78,-2.79,0.09,0.19,-0.26,-1.97
440,1.42,10.49,-2.29,0.02,0.12,-0.24,-1.97
460,1.73,10.73,-2.22,0.02,0.01,-0.23,-1.97
480,2.17,9.48,-2.32,0.06,-0.02,-0.24,-1.86
500,2.90,8.85,-2.32,0.09,-0.03,-0.30,-1.86
520,2.12,9.37,-2.64,0.10,-0.01,-0.37,-1.86
540,1.23,9.60,-2.35,0.08,-0.12,-0.37,-1.86
560,1.26,9.65,-2.36,0.07,-0.22,-0.32,-1.86
580,1.61,9.44,-2.22,0.09,-0.20,-0.33,-1.75
600,1.76,9.06,-2.37,0.11,-0.11,-0.34,-1.75
620,1.74,9.15,-2.37,0.13,-0.06,-0.38,-1.75
640,1.71,9.32,-2.40,0.14,-0.07,-0.40,-1.75
660,1.85,9.48,-2.47,0.18,-0.06,-0.42,-1.75
680,1.30,9.50,-2.66,0.17,-0.04,-0.45,-1.81
700,1.03,9.32,-2.76,0.16,-0.07,-0.45,-1.81
720,1.18,9.14,-2.74,0.15,-0.03,-0.47,-1.81
740,1.08,9.34,-2.72,0.14,0.00,-0.48,-1.81
760,1.17,9.24,-2.66,0.15,-0.00,-0.51,-1.81
780,1.15,9.42,-2.39,0.17,-0.01,-0.54,-2.09
800,1.28,9.13,-2.49,0.20,-0.07,-0.59,-2.09
820,1.09,9.31,-2.77,0.22,-0.05,-0.64,-1.86
840,0.85,9.30,-2.60,0.24,-0.05,-0.71,-1.86
860,0.76,9.17,-2.67,0.27,-0.08,-0.76,-1.86
880,0.87,9.15,-2.81,0.30,-0.09,-0.82,-1.63
900,0.58,9.35,-2.83,0.32,-0.10,-0.87,-1.63
920,0.24,9.07,-2.95,0.33,-0.11,-0.91,-1.63
