timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,-1.17,17.52,-4.20,-0.07,-1.18,-1.90,-1.44
20,3.89,17.93,-3.21,-0.09,-1.72,-1.86,-1.44
40,5.21,16.73,-3.05,-0.12,-1.24,-2.03,-1.44
60,0.80,14.06,-4.73,-0.15,-0.65,-1.93,-1.89
80,-1.31,11.43,-7.60,0.04,-0.01,-2.02,-1.89
100,-7.55,12.80,-7.75,0.15,0.15,-2.52,-1.59
120,-11.78,11.83,-5.99,0.18,-0.30,-2.57,-1.59
140,-8.49,11.46,-5.35,0.21,-0.67,-2.22,-1.59
160,-4.85,8.78,-4.39,0.37,-0.72,-2.01,-1.56
180,-4.98,7.10,-3.73,0.63,-0.44,-1.85,-1.56
200,-2.73,6.30,-3.63,0.89,-0.13,-1.42,-1.56
220,-0.43,5.28,-2.50,0.96,0.16,-1.13,-1.56
240,-0.88,4.53,-1.45,0.99,0.44,-0.81,-1.56
260,0.01,3.85,-0.92,0.82,0.57,-0.38,-1.51
280,0.43,3.58,-0.58,0.60,0.72,0.11,-1.51
300,1.01,3.70,-0.10,0.31,0.70,0.69,-1.63
320,1.70,4.01,0.28,0.08,0.65,1.16,-1.63
340,2.10,4.24,0.75,-0.14,0.80,1.59,-1.63
360,1.84,4.35,0.65,-0.29,1.18,1.95,-1.85
380,0.07,4.72,0.29,-0.44,1.48,2.28,-1.85
400,-1.85,5.77,-0.31,-0.63,1.38,2.59,-1.85
420,-2.62,6.54,-0.83,-0.83,1.11,2.75,-1.85
440,-3.78,7.51,-0.87,-1.02,0.86,2.73,-1.85
460,-4.16,8.44,-1.39,-1.16,0.74,2.59,-2.11
480,-4.56,8.74,-2.53,-1.23,0.87,2.32,-2.11
500,-4.88,8.88,-3.94,-1.14,0.99,1.94,-1.88
520,-4.65,8.84,-4.85,-0.96,1.03,1.45,-1.88
540,-5.31,8.44,-5.04,-0.71,1.02,0.87,-1.88
560,-5.22,8.50,-5.13,-0.46,0.86,0.39,-1.76
580,-4.76,8.60,-9.01,0.07,1.08,-0.06,-1.76
600,-6.87,19.61,-13.25,0.59,0.27,-1.29,-1.59
620,-4.32,3.26,3.54,-0.13,-2.19,-1.21,-1.59
640,6.92,5.34,-0.58,0.17,-1.57,-0.31,-1.59
660,1.81,8.52,-4.26,0.67,0.25,-1.32,-1.59
680,-2.91,8.20,-2.66,0.46,0.33,-1.23,-1.59
700,-4.05,10.10,-2.33,0.51,0.25,-1.17,-1.54
720,-2.01,10.04,-4.53,0.41,0.17,-1.01,-1.54
740,-0.66,9.08,-3.31,0.34,-0.05,-0.93,-1.54
760,-1.57,8.86,-2.81,0.53,-0.17,-0.98,-1.44
780,-3.09,8.74,-3.52,0.55,-0.15,-0.84,-1.44
800,-3.78,9.11,-4.08,0.44,-0.31,-0.59,-1.77
820,-3.15,9.24,-4.22,0.36,-0.37,-0.37,-1.77
840,-2.27,8.97,-4.47,0.26,-0.23,-0.26,-1.77
860,-2.03,8.82,-4.78,0.12,-0.11,-0.21,-1.77
880,-3.02,8.87,-4.04,0.08,-0.10,-0.11,-1.77
900,-2.51,8.83,-4.24,0.05,-0.09,0.01,-1.59
920,-2.99,8.96,-4.18,0.04,-0.11,0.12,-1.59
940,-2.22,9.14,-4.09,0.01,-0.11,0.23,-1.59
960,-2.57,9.20,-4.16,-0.06,-0.07,0.29,-1.59
980,-2.81,8.81,-3.66,-0.09,-0.06,0.40,-1.59
1000,-2.53,9.02,-3.63,-0.11,-0.02,0.53,-1.51
1020,-2.62,8.87,-3.86,-0.14,-0.01,0.62,-1.51
1040,-2.22,8.93,-3.87,-0.18,-0.01,0.73,-1.51
1060,-1.72,9.05,-3.68,-0.20,-0.03,0.79,-1.51
1080,-1.84,9.15,-3.68,-0.21,-0.07,0.78,-1.51
1100,-0.76,9.09,-3.54,-0.20,-0.09,0.78,-1.64
1120,-0.68,8.90,-3.64,-0.19,-0.07,0.71,-1.64
1140,-0.36,9.06,-3.26,-0.17,-0.09,0.67,-1.64
1160,-0.06,9.03,-3.16,-0.14,-0.05,0.58,-1.56
1180,0.02,8.77,-3.17,-0.10,-0.06,0.52,-1.56
1200,0.30,9.22,-3.00,-0.09,-0.13,0.43,-1.71
1220,0.19,9.20,-3.62,-0.08,-0.12,0.34,-1.71
1240,0.55,9.11,-3.11,-0.07,-0.21,0.24,-1.71
1260,0.84,9.02,-3.09,-0.04,-0.28,0.09,-1.71
1280,0.91,9.00,-3.09,0.00,-0.26,-0.06,-1.71
1300,1.27,9.13,-3.11,0.02,-0.18,-0.23,-1.62
1320,0.04,9.10,-3.20,-0.01,-0.18,-0.35,-1.62
1340,-0.21,9.22,-3.31,-0.00,-0.17,-0.39,-1.62
1360,-0.21,9.60,-3.63,-0.02,-0.18,-0.43,-1.61
1380,-0.88,9.26,-3.46,-0.03,-0.22,-0.42,-1.61
1400,-0.74,9.42,-3.20,-0.05,-0.27,-0.42,-1.63
1420,-0.82,9.52,-3.31,-0.06,-0.31,-0.44,-1.63
1440,-0.70,9.44,-3.79,-0.08,-0.30,-0.45,-1.63
1460,-1.04,9.81,-3.51,-0.14,-0.36,-0.44,-1.63
1480,-0.91,9.94,-3.30,-0.19,-0.46,-0.43,-1.63
1500,-0.88,11.03,-3.09,-0.25,-0.52,-0.45,-1.85
1520,-0.87,10.53,-2.95,-0.30,-0.50,-0.47,-1.85
1540,-0.92,10.72,-3.19,-0.37,-0.49,-0.49,-1.85
1560,-0.80,10.76,-3.65,-0.46,-0.44,-0.47,-1.88
1580,-1.03,12.04,-3.92,-0.59,-0.49,-0.40,-1.88
1600,-0.91,12.93,-3.06,-0.71,-0.56,-0.31,-1.65
1620,-0.19,13.32,-2.57,-0.79,-0.65,-0.22,-1.65
1640,1.37,13.28,-2.20,-0.80,-0.69,-0.15,-1.65
1660,3.55,13.12,-2.09,-0.77,-0.63,-0.13,-1.78
1680,4.15,12.71,-2.35,-0.70,-0.61,-0.16,-1.78
1700,4.20,10.61,-4.01,-0.52,-0.38,-0.28,-1.78
1720,0.81,9.78,-5.34,-0.24,0.25,-0.78,-1.78
1740,-4.28,11.31,-6.59,0.11,0.59,-1.35,-1.78
1760,-5.88,11.54,-6.03,0.21,0.06,-1.71,-1.66
1780,-6.64,11.98,-6.32,0.38,0.06,-2.70,-1.66
1800,-9.09,13.63,-3.25,0.44,-0.32,-3.36,-1.63
1820,-8.71,14.98,-5.50,0.44,-0.50,-3.56,-1.63
1840,-5.41,12.42,-3.48,0.59,-0.42,-3.63,-1.63
1860,-7.69,12.02,-4.24,0.85,-0.23,-3.95,-1.79
1880,-7.80,11.24,-3.71,0.95,-0.27,-3.77,-1.79
1900,-6.10,9.51,-2.50,1.03,-0.22,-3.37,-1.79
1920,-4.92,8.00,-1.93,1.09,-0.02,-2.98,-1.79
1940,-3.63,6.48,-1.58,1.06,0.39,-2.46,-1.79
1960,-2.25,5.06,-0.11,1.08,0.75,-2.00,-1.94
1980,-0.29,5.09,1.11,1.05,0.90,-1.52,-1.94
2000,-0.28,4.72,1.53,0.83,0.88,-0.98,-1.77
2020,-0.38,3.12,1.60,0.55,0.96,-0.40,-1.77
2040,0.40,2.87,1.02,0.31,1.33,0.24,-1.77
2060,0.63,2.39,0.34,0.11,1.52,0.89,-1.94
2080,0.54,2.20,-0.15,-0.08,1.47,1.56,-1.94
2100,0.54,2.29,-0.47,-0.27,1.41,2.23,-1.94
2120,-0.09,2.44,-0.81,-0.38,1.39,2.71,-1.94
2140,-1.15,2.77,-1.33,-0.45,1.34,3.14,-1.94
2160,-2.51,3.17,-1.86,-0.49,1.11,3.50,-2.06
2180,-3.95,3.72,-2.34,-0.55,0.71,3.80,-2.06
2200,-5.41,4.45,-2.33,-0.57,0.22,3.94,-2.21
2220,-6.25,5.20,-2.41,-0.54,-0.11,3.90,-2.21
2240,-7.13,6.75,-2.85,-0.52,-0.20,3.65,-2.21
2260,-8.16,8.20,-3.61,-0.53,-0.07,3.20,-2.56
2280,-8.30,9.27,-4.33,-0.60,0.11,2.55,-2.56
2300,-8.13,9.07,-4.83,-0.65,0.37,1.70,-2.56
2320,-7.75,8.15,-5.01,-0.58,0.64,0.96,-2.56
2340,-6.96,6.93,-5.29,-0.42,0.87,0.30,-2.56
