timestamp,aX,aY,aZ,gX,gY,gZ,xP
0,-2.01,8.33,-4.09,0.37,-0.12,-1.01,-3.90
20,-2.75,8.43,-4.48,0.32,-0.18,-0.95,-3.90
40,-2.50,8.63,-4.08,0.32,-0.30,-0.90,-3.90
60,-2.13,8.65,-3.96,0.33,-0.34,-0.93,-3.90
80,-2.24,8.26,-4.20,0.37,-0.35,-1.02,-3.90
100,-2.95,7.97,-4.29,0.35,-0.33,-1.03,-3.91
120,-3.36,7.77,-4.58,0.33,-0.30,-1.02,-3.91
140,-3.30,8.15,-4.63,0.33,-0.32,-1.00,-4.12
160,-3.16,7.94,-4.19,0.31,-0.36,-1.01,-4.12
180,-4.39,7.82,-4.40,0.29,-0.37,-0.99,-4.12
200,-3.01,8.41,-4.26,0.26,-0.44,-0.99,-3.76
220,-4.41,7.78,-4.44,0.22,-0.44,-0.99,-3.76
240,-4.85,7.18,-4.52,0.19,-0.42,-0.95,-3.76
260,-4.99,7.95,-4.74,0.16,-0.47,-0.87,-3.76
280,-4.28,8.06,-4.63,0.14,-0.55,-0.90,-3.76
300,-5.03,8.01,-4.55,0.13,-0.61,-0.88,-3.78
320,-3.91,8.11,-4.09,0.12,-0.63,-0.95,-3.78
340,-5.48,6.62,-4.08,0.10,-0.63,-0.96,-3.82
360,-5.60,6.84,-4.07,0.11,-0.65,-0.93,-3.82
380,-5.34,7.63,-4.39,0.13,-0.70,-0.93,-3.82
400,-5.16,6.38,-3.78,0.16,-0.73,-0.96,-3.97
420,-5.79,6.96,-3.73,0.18,-0.78,-1.00,-3.97
440,-5.42,8.10,-3.98,0.19,-0.85,-1.09,-3.97
460,-6.47,8.57,-4.13,0.15,-0.79,-1.15,-3.97
480,-6.30,9.42,-4.43,0.03,-0.69,-1.15,-3.97
500,-7.02,8.45,-4.46,-0.05,-0.52,-1.16,-3.63
520,-6.28,7.98,-4.00,-0.10,-0.39,-1.12,-3.63
540,-6.51,6.84,-4.24,-0.14,-0.08,-1.05,-3.77
560,-6.93,5.85,-4.51,-0.29,0.13,-0.95,-3.77
580,-7.95,4.14,-4.60,-0.46,0.18,-0.81,-3.77
600,-7.99,3.05,-4.06,-0.55,0.07,-0.62,-3.83
620,-8.24,1.02,-2.32,-0.61,-0.19,-0.43,-3.83
640,-8.81,1.79,-2.54,-0.62,-0.29,-0.22,-3.83
660,-8.03,2.61,-2.45,-0.57,-0.32,-0.08,-3.83
